Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.039406,4.24329,[3 2] ; [ 4 20],[1.20689655 3.79310345] ; [ 5.79310345 18.20689655],0
s8,1,0.039406,4.24329,[3 2] ; [ 4 20],[1.20689655 3.79310345] ; [ 5.79310345 18.20689655],0
r3,1,0.074653,3.177629,[2 3] ; [19  5],[3.62068966 1.37931034] ; [17.37931034  6.62068966],0
d1,1,0.123819,2.368333,[3 2] ; [ 6 18],[1.55172414 3.44827586] ; [ 7.44827586 16.55172414],0
s7,1,0.164725,1.930303,[2 2] ; [ 4 18],[0.92307692 3.07692308] ; [ 5.07692308 16.92307692],0
p8,1,0.186978,1.741272,[3 2] ; [ 7 17],[1.72413793 3.27586207] ; [ 8.27586207 15.72413793],0
v1,1,0.186978,1.741272,[3 2] ; [ 7 17],[1.72413793 3.27586207] ; [ 8.27586207 15.72413793],0
s1,1,0.203708,1.615586,[1 4] ; [ 1 23],[0.34482759 4.65517241] ; [ 1.65517241 22.34482759],0
a2,1,0.203708,1.615586,[1 4] ; [ 1 23],[0.34482759 4.65517241] ; [ 1.65517241 22.34482759],0
s4,1,0.203708,1.615586,[1 4] ; [ 1 23],[0.34482759 4.65517241] ; [ 1.65517241 22.34482759],0
d5,1,0.219786,1.505769,[4 1] ; [12 12],[2.75862069 2.24137931] ; [13.24137931 10.75862069],0
u3,1,0.247004,1.340171,[2 1] ; [4 9],[1.125 1.875] ; [4.875 8.125],0
b4,1,0.263585,1.249832,[2 3] ; [16  8],[3.10344828 1.89655172] ; [14.89655172  9.10344828],0
n6,1,0.285982,1.13844,[1 4] ; [11 13],[2.06896552 2.93103448] ; [ 9.93103448 14.06896552],0
a7,1,0.352732,0.863603,[2 3] ; [15  9],[2.93103448 2.06896552] ; [14.06896552  9.93103448],0
p10,1,0.352732,0.863603,[3 2] ; [ 9 15],[2.06896552 2.93103448] ; [ 9.93103448 14.06896552],0
v2,1,0.362232,0.830141,[2 3] ; [ 5 19],[1.20689655 3.79310345] ; [ 5.79310345 18.20689655],0
a4,1,0.362232,0.830141,[2 3] ; [ 5 19],[1.20689655 3.79310345] ; [ 5.79310345 18.20689655],0
r4,1,0.362232,0.830141,[2 3] ; [ 5 19],[1.20689655 3.79310345] ; [ 5.79310345 18.20689655],0
p3,1,0.392742,0.730435,[2 3] ; [ 5 18],[1.25 3.75] ; [ 5.75 17.25],0
p4,1,0.453319,0.56234,[3 2] ; [10 14],[2.24137931 2.75862069] ; [10.75862069 13.24137931],0
a5,1,0.453319,0.56234,[3 2] ; [10 14],[2.24137931 2.75862069] ; [10.75862069 13.24137931],0
b1,1,0.453889,0.560921,[4 1] ; [15  9],[3.27586207 1.72413793] ; [15.72413793  8.27586207],0
s2,1,0.4948,0.466071,[2 3] ; [ 6 18],[1.37931034 3.62068966] ; [ 6.62068966 17.37931034],0
a6,1,0.564144,0.332579,[3 2] ; [11 13],[2.4137931 2.5862069] ; [11.5862069 12.4137931],0
p7,1,0.564144,0.332579,[3 2] ; [11 13],[2.4137931 2.5862069] ; [11.5862069 12.4137931],0
s3,1,0.639703,0.21913,[1 4] ; [ 7 16],[1.42857143 3.57142857] ; [ 6.57142857 16.42857143],0
p11,1,0.683949,0.165714,[2 3] ; [12 12],[2.4137931 2.5862069] ; [11.5862069 12.4137931],0
p6,1,0.687031,0.162319,[1 4] ; [ 3 20],[0.71428571 4.28571429] ; [ 3.28571429 19.71428571],0
n4,1,0.775404,0.081404,[2 3] ; [ 8 16],[1.72413793 3.27586207] ; [ 8.27586207 15.72413793],0
p2,1,0.775404,0.081404,[3 2] ; [16  8],[3.27586207 1.72413793] ; [15.72413793  8.27586207],0
a3,1,0.811414,0.056931,[2 3] ; [11 13],[2.24137931 2.75862069] ; [10.75862069 13.24137931],0
s5,1,0.857541,0.032222,[1 4] ; [ 4 20],[0.86206897 4.13793103] ; [ 4.13793103 19.86206897],0
r1,1,0.916528,0.010985,[2 3] ; [ 9 15],[1.89655172 3.10344828] ; [ 9.10344828 14.89655172],0
v4,1,0.916528,0.010985,[3 2] ; [15  9],[3.10344828 1.89655172] ; [14.89655172  9.10344828],0
p9,1,0.945119,0.004739,[2 3] ; [10 14],[2.06896552 2.93103448] ; [ 9.93103448 14.06896552],0
b5,1,0.945119,0.004739,[3 2] ; [14 10],[2.93103448 2.06896552] ; [14.06896552  9.93103448],0
