Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,161.112083,[426  67] ; [42 88],[370.3434992 122.6565008] ; [97.6565008 32.3434992],1
n6,1,0.0,54.22236,[433  59] ; [79 52],[404.34028892  87.65971108] ; [107.65971108  23.34028892],1
s7,1,0.0,25.969096,[253 216] ; [35 89],[227.77740304 241.22259696] ; [60.22259696 63.77740304],1
a5,1,1e-06,23.612528,[397  98] ; [79 53],[375.78947368 119.21052632] ; [100.21052632  31.78947368],1
p6,1,1.5e-05,18.691035,[187 301] ; [ 23 105],[166.36363636 321.63636364] ; [43.63636364 84.36363636],1
p4,1,8.2e-05,15.51946,[305 185] ; [56 74],[285.30645161 204.69354839] ; [75.69354839 54.30645161],1
d2,1,8.8e-05,15.373245,[266 226] ; [46 86],[246. 246.] ; [66. 66.],1
p10,1,0.00014,14.500752,[405  84] ; [88 42],[389.46203554  99.53796446] ; [103.53796446  26.46203554],1
p3,1,0.000295,13.100686,[256 235] ; [45 86],[237.60610932 253.39389068] ; [63.39389068 67.60610932],1
s8,1,0.000333,12.875454,[236 255] ; [40 91],[217.87138264 273.12861736] ; [58.12861736 72.87138264],1
p11,1,0.000942,10.937345,[404  92] ; [90 42],[390.1656051 105.8343949] ; [103.8343949  28.1656051],1
s6,1,0.001196,10.496207,[328 160] ; [68 63],[312.19386107 175.80613893] ; [83.80613893 47.19386107],0
a8,1,0.001276,10.377171,[ 83 359] ; [  8 113],[ 71.44227353 370.55772647] ; [ 19.55772647 101.44227353],0
s2,1,0.00197,9.577499,[247 244] ; [46 85],[231.29099678 259.70900322] ; [61.70900322 69.29099678],0
v3,1,0.002086,9.472256,[220 255] ; [38 85],[204.93311037 270.06688963] ; [53.06688963 69.93311037],0
r2,1,0.002401,9.214229,[478  13] ; [120  11],[472.05466238  18.94533762] ; [125.94533762   5.05466238],0
a4,1,0.00481,7.949526,[243 249] ; [47 85],[228.65384615 263.34615385] ; [61.34615385 70.65384615],0
d5,1,0.006744,7.339937,[413  80] ; [97 35],[402.288  90.712] ; [107.712  24.288],0
s3,1,0.007843,7.068941,[273 213] ; [56 74],[259.56818182 226.43181818] ; [69.43181818 60.56818182],0
p2,1,0.00812,7.00677,[419  73] ; [98 32],[408.94533762  83.05466238] ; [108.05466238  21.94533762],0
p9,1,0.009291,6.765952,[408  79] ; [96 34],[397.80875203  89.19124797] ; [106.19124797  23.80875203],0
r4,1,0.009646,6.699215,[473  23] ; [118  14],[466.77707006  29.22292994] ; [124.22292994   7.77707006],0
p7,1,0.010361,6.571683,[317 162] ; [69 59],[304.6029654 174.3970346] ; [81.3970346 46.6029654],0
p5,1,0.010805,6.497065,[ 66 423] ; [  7 123],[ 57.66882068 431.33117932] ; [ 15.33117932 114.66882068],0
d1,1,0.011239,6.427147,[312 184] ; [67 65],[299.33757962 196.66242038] ; [79.66242038 52.33757962],0
u1,1,0.01234,6.261298,[104 392] ; [ 15 117],[ 93.98726115 402.01273885] ; [ 25.01273885 106.98726115],0
p1,1,0.012428,6.24876,[ 49 443] ; [  4 126],[ 41.92282958 450.07717042] ; [ 11.07717042 118.92282958],0
n1,1,0.013156,6.147975,[43 51] ; [12 37],[36.15384615 57.84615385] ; [18.84615385 30.15384615],0
a2,1,0.01503,5.912898,[138 358] ; [ 23 109],[127.15923567 368.84076433] ; [33.84076433 98.15923567],0
a3,1,0.019691,5.439068,[363 128] ; [84 48],[352.2905297 138.7094703] ; [94.7094703 37.2905297],0
s5,1,0.037806,4.313744,[159 323] ; [30 98],[149.34098361 332.65901639] ; [39.65901639 88.34098361],0
v1,1,0.038919,4.264388,[280 204] ; [61 67],[269.67973856 214.32026144] ; [71.32026144 56.67973856],0
p12,1,0.07673,3.132844,[ 46 443] ; [  6 125],[ 41.01290323 447.98709677] ; [ 10.98709677 120.01290323],0
p8,1,0.104533,2.634985,[264 220] ; [61 70],[255.77235772 228.22764228] ; [69.22764228 61.77235772],0
b2,1,0.106379,2.60721,[138 190] ; [20 44],[132.20408163 195.79591837] ; [25.79591837 38.20408163],0
b3,1,0.106379,2.60721,[138 190] ; [20 44],[132.20408163 195.79591837] ; [25.79591837 38.20408163],0
v4,1,0.131607,2.273442,[475  19] ; [121   9],[471.83333333  22.16666667] ; [124.16666667   5.83333333],0
u2,1,0.141729,2.159087,[75 56] ; [32 14],[79.1920904 51.8079096] ; [27.8079096 18.1920904],0
r3,1,0.143697,2.137919,[474  19] ; [123   9],[470.9136  22.0864] ; [126.0864   5.9136],0
u4,1,0.167319,1.906802,[ 14 482] ; [  1 131],[ 11.84713376 484.15286624] ; [  3.15286624 128.84713376],0
b1,1,0.178406,1.810849,[201 295] ; [45 87],[194.29299363 301.70700637] ; [51.70700637 80.29299363],0
v2,1,0.326455,0.962908,[293 184] ; [69 53],[288.27045075 188.72954925] ; [73.72954925 48.27045075],0
a1,1,0.328123,0.956293,[ 25 471] ; [  4 128],[ 22.9044586 473.0955414] ; [  6.0955414 125.9044586],0
n2,1,0.360708,0.835425,[71 25] ; [32 16],[68.66666667 27.33333333] ; [34.33333333 13.66666667],0
d3,1,0.521376,0.411171,[343 150] ; [88 44],[339.9728 153.0272] ; [91.0272 40.9728],0
b4,1,0.547598,0.361638,[290 206] ; [81 51],[293.01910828 202.98089172] ; [77.98089172 54.01910828],0
u3,1,0.603225,0.270159,[81 52] ; [30 16],[82.47486034 50.52513966] ; [28.52513966 17.47486034],0
s1,1,0.653897,0.201023,[ 18 469] ; [  6 126],[ 18.88206785 468.11793215] ; [  5.11793215 126.88206785],0
a6,1,0.677847,0.172559,[341 151] ; [89 43],[339.03846154 152.96153846] ; [90.96153846 41.03846154],0
n3,1,0.69525,0.15346,[65 28] ; [32 16],[63.9787234 29.0212766] ; [33.0212766 14.9787234],0
b5,1,0.83169,0.045171,[288 208] ; [78 54],[289.07006369 206.92993631] ; [76.92993631 55.07006369],0
d4,1,0.862878,0.02983,[413  78] ; [111  20],[413.63987138  77.36012862] ; [110.36012862  20.63987138],0
a7,1,0.999428,1e-06,[366 127] ; [98 34],[366.0032 126.9968] ; [97.9968 34.0032],0
