Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,99.162703,[ 28 152] ; [86 32],[ 68.8590604 111.1409396] ; [45.1409396 72.8590604],1
s2,1,0.0,65.761804,[ 46 132] ; [87 31],[79.97972973 98.02027027] ; [53.02027027 64.97972973],1
s6,1,0.0,39.573331,[82 95] ; [97 20],[107.76530612  69.23469388] ; [71.23469388 45.76530612],1
s3,1,0.0,37.403856,[ 72 105] ; [90 27],[97.53061224 79.46938776] ; [64.46938776 52.53061224],1
n4,1,0.000225,13.608117,[106  74] ; [93 24],[120.60606061  59.39393939] ; [78.39393939 38.60606061],1
p6,1,0.000433,12.386208,[ 21 157] ; [32 82],[ 32.30821918 145.69178082] ; [20.69178082 93.30821918],1
s5,1,0.00062,11.714188,[ 37 136] ; [45 67],[ 49.7754386 123.2245614] ; [32.2245614 79.7754386],1
a3,1,0.000643,11.64756,[106  72] ; [92 25],[119.47118644  58.52881356] ; [78.52881356 38.47118644],1
p7,1,0.003432,8.562142,[ 71 103] ; [65 46],[83.03157895 90.96842105] ; [52.96842105 58.03157895],0
u1,1,0.004739,7.9763,[ 15 165] ; [23 95],[ 22.95302013 157.04697987] ; [ 15.04697987 102.95302013],0
a5,1,0.005942,7.567666,[108  72] ; [89 29],[118.99328859  61.00671141] ; [78.00671141 39.99328859],0
u3,1,0.011772,6.344954,[30 44] ; [18  8],[35.52 38.48] ; [12.48 13.52],0
r1,1,0.014497,5.976582,[121  58] ; [95 23],[130.18181818  48.81818182] ; [85.81818182 32.18181818],0
v2,1,0.014542,5.971073,[78 89] ; [69 43],[87.98924731 79.01075269] ; [59.01075269 52.98924731],0
s4,1,0.014797,5.940451,[ 24 154] ; [29 89],[ 31.87162162 146.12837838] ; [21.12837838 96.87162162],0
v3,1,0.015012,5.915095,[ 50 125] ; [48 65],[ 59.54861111 115.45138889] ; [38.45138889 74.54861111],0
s1,1,0.01929,5.474998,[  2 174] ; [  7 111],[  5.3877551 170.6122449] ; [  3.6122449 114.3877551],0
d2,1,0.037165,4.342842,[ 61 118] ; [54 63],[ 69.54391892 109.45608108] ; [45.45608108 71.54391892],0
b2,1,0.050621,3.82076,[27 61] ; [35 42],[33.06666667 54.93333333] ; [28.93333333 48.06666667],0
b3,1,0.050621,3.82076,[27 61] ; [35 42],[33.06666667 54.93333333] ; [28.93333333 48.06666667],0
p3,1,0.064427,3.419599,[ 35 144] ; [34 84],[ 41.58585859 137.41414141] ; [27.41414141 90.58585859],0
a8,1,0.064509,3.41749,[ 20 151] ; [21 85],[ 25.31046931 145.68953069] ; [15.68953069 90.31046931],0
n5,1,0.065226,3.399256,[111  68] ; [84 32],[118.3220339  60.6779661] ; [76.6779661 39.3220339],0
p8,1,0.074497,3.18105,[ 57 121] ; [49 67],[ 64.17687075 113.82312925] ; [41.82312925 74.17687075],0
p1,1,0.090738,2.861229,[  9 170] ; [ 12 106],[ 12.65656566 166.34343434] ; [  8.34343434 109.65656566],0
v1,1,0.092773,2.825585,[ 74 100] ; [60 54],[80.95833333 93.04166667] ; [53.04166667 60.95833333],0
d1,1,0.098037,2.737192,[ 80 100] ; [64 54],[86.97986577 93.02013423] ; [57.02013423 60.97986577],0
p5,1,0.099106,2.719867,[  5 173] ; [  8 109],[  7.8440678 170.1559322] ; [  5.1559322 111.8440678],0
b4,1,0.143091,2.144399,[110  70] ; [62 56],[103.89261745  76.10738255] ; [68.10738255 49.89261745],0
b5,1,0.164432,1.932985,[121  59] ; [70 48],[115.36912752  64.63087248] ; [75.63087248 42.36912752],0
v4,1,0.165085,1.927018,[163  15] ; [112   5],[165.93220339  12.06779661] ; [109.06779661   7.93220339],0
p10,1,0.177532,1.818165,[149  30] ; [104  13],[152.99662162  26.00337838] ; [100.00337838  16.99662162],0
n1,1,0.207473,1.58897,[16 36] ; [15 19],[18.74418605 33.25581395] ; [12.25581395 21.74418605],0
d5,1,0.243271,1.361537,[130  49] ; [92 25],[134.25  44.75] ; [87.75 29.25],0
b1,1,0.245858,1.346685,[ 54 126] ; [43 75],[ 58.59060403 121.40939597] ; [38.40939597 79.59060403],0
a4,1,0.25108,1.317285,[ 64 115] ; [50 68],[ 68.70707071 110.29292929] ; [45.29292929 72.70707071],0
d4,1,0.253212,1.305495,[136  44] ; [95 22],[140.  40.] ; [91. 26.],0
a2,1,0.26597,1.237416,[ 29 151] ; [25 93],[ 32.61744966 147.38255034] ; [21.38255034 96.61744966],0
r2,1,0.303577,1.058413,[165  13] ; [110   5],[167.06484642  10.93515358] ; [107.93515358   7.06484642],0
n2,1,0.362377,0.82964,[41 12] ; [29  5],[42.64367816 10.35632184] ; [27.35632184  6.64367816],0
p12,1,0.378325,0.776137,[  8 171] ; [  8 109],[  9.67567568 169.32432432] ; [  6.32432432 110.67567568],0
r3,1,0.379589,0.772032,[167  12] ; [112   5],[168.71959459  10.28040541] ; [110.28040541   6.71959459],0
a6,1,0.39057,0.737168,[122  58] ; [73 43],[118.58108108  61.41891892] ; [76.41891892 39.58108108],0
r4,1,0.41854,0.65441,[151  29] ; [103  15],[153.42281879  26.57718121] ; [100.57718121  17.42281879],0
n6,1,0.550579,0.35628,[142  38] ; [94 21],[144.  36.] ; [92. 23.],0
n3,1,0.614277,0.253993,[40 13] ; [24 10],[38.98850575 14.01149425] ; [25.01149425  8.98850575],0
d3,1,0.627308,0.235729,[113  65] ; [71 46],[111.02372881  66.97627119] ; [72.97627119 44.02372881],0
a7,1,0.671247,0.180147,[127  52] ; [81 37],[125.36026936  53.63973064] ; [82.63973064 35.36026936],0
u2,1,0.729482,0.119588,[34 40] ; [12 12],[34.73469388 39.26530612] ; [11.26530612 12.73469388],0
a1,1,0.760888,0.092607,[  9 171] ; [  5 113],[  8.45637584 171.54362416] ; [  5.54362416 112.45637584],0
p11,1,0.804936,0.060991,[141  39] ; [91 27],[140.13422819  39.86577181] ; [91.86577181 26.13422819],0
p2,1,0.889855,0.019179,[137  41] ; [90 28],[136.50675676  41.49324324] ; [90.49324324 27.50675676],0
u4,1,0.985186,0.000345,[  3 177] ; [  2 116],[  3.02013423 176.97986577] ; [  1.97986577 116.02013423],0
