Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,9.8e-05,15.166326,[ 2 36] ; [6 5],[ 6.20408163 31.79591837] ; [1.79591837 9.20408163],1
u3,1,0.010097,6.617647,[ 4 16] ; [4 1],[ 6.4 13.6] ; [1.6 3.4],0
s6,1,0.013359,6.120897,[15 23] ; [9 2],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
v1,1,0.035584,4.416941,[11 27] ; [7 4],[13.95918367 24.04081633] ; [4.04081633 6.95918367],0
p3,1,0.035584,4.416941,[11 27] ; [7 4],[13.95918367 24.04081633] ; [4.04081633 6.95918367],0
s7,1,0.049265,3.866288,[ 9 25] ; [6 4],[11.59090909 22.40909091] ; [3.40909091 6.59090909],0
r4,1,0.050494,3.824979,[ 9 29] ; [6 5],[11.63265306 26.36734694] ; [3.36734694 7.63265306],0
d4,1,0.058447,3.580909,[23 15] ; [10  1],[25.59183673 12.40816327] ; [7.40816327 3.59183673],0
p4,1,0.111424,2.533908,[21 17] ; [9 2],[23.26530612 14.73469388] ; [6.73469388 4.26530612],0
d5,1,0.111424,2.533908,[21 17] ; [9 2],[23.26530612 14.73469388] ; [6.73469388 4.26530612],0
n3,1,0.125249,2.350427,[12  6] ; [1 3],[10.63636364  7.36363636] ; [2.36363636 1.63636364],0
n2,1,0.125249,2.350427,[12  6] ; [1 3],[10.63636364  7.36363636] ; [2.36363636 1.63636364],0
b1,1,0.155941,2.01315,[23 15] ; [4 7],[20.93877551 17.06122449] ; [6.06122449 4.93877551],0
p6,1,0.159275,1.9811,[ 9 29] ; [5 6],[10.85714286 27.14285714] ; [3.14285714 7.85714286],0
p11,1,0.177452,1.818834,[27 11] ; [10  1],[28.69387755  9.30612245] ; [8.30612245 2.69387755],0
b5,1,0.207637,1.587829,[22 16] ; [4 7],[20.16326531 17.83673469] ; [5.83673469 5.16326531],0
p10,1,0.224684,1.474201,[23 14] ; [9 2],[24.66666667 12.33333333] ; [7.33333333 3.66666667],0
d2,1,0.225179,1.471057,[10 28] ; [5 6],[11.63265306 26.36734694] ; [3.36734694 7.63265306],0
v3,1,0.298379,1.081426,[ 8 30] ; [4 7],[ 9.30612245 28.69387755] ; [2.69387755 8.30612245],0
b2,1,0.299328,1.077188,[ 5 17] ; [3 4],[ 6.06896552 15.93103448] ; [1.93103448 5.06896552],0
b3,1,0.299328,1.077188,[ 5 17] ; [3 4],[ 6.06896552 15.93103448] ; [1.93103448 5.06896552],0
p7,1,0.299358,1.077054,[21 17] ; [8 3],[22.48979592 15.51020408] ; [6.51020408 4.48979592],0
p12,1,0.320913,0.985222,[ 3 35] ; [2 9],[ 3.87755102 34.12244898] ; [1.12244898 9.87755102],0
d3,1,0.373717,0.791268,[23 15] ; [5 6],[21.71428571 16.28571429] ; [6.28571429 4.71428571],0
n4,1,0.373934,0.790548,[22 16] ; [8 3],[23.26530612 14.73469388] ; [6.73469388 4.26530612],0
b4,1,0.424837,0.636896,[19 19] ; [7 4],[20.16326531 17.83673469] ; [5.83673469 5.16326531],0
p9,1,0.449238,0.572573,[26 11] ; [9 2],[26.97916667 10.02083333] ; [8.02083333 2.97916667],0
s3,1,0.449238,0.572573,[11 26] ; [2 9],[10.02083333 26.97916667] ; [2.97916667 8.02083333],0
s4,1,0.521215,0.411489,[ 7 31] ; [3 8],[ 7.75510204 30.24489796] ; [2.24489796 8.75510204],0
p8,1,0.56594,0.329523,[17 21] ; [6 5],[17.83673469 20.16326531] ; [5.16326531 5.83673469],0
a4,1,0.580636,0.305207,[10 28] ; [2 9],[ 9.30612245 28.69387755] ; [2.69387755 8.30612245],0
a1,1,0.640982,0.217461,[ 2 36] ; [ 1 10],[ 2.32653061 35.67346939] ; [ 0.67346939 10.32653061],0
a6,1,0.674975,0.175837,[18 20] ; [6 5],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
a3,1,0.674975,0.175837,[18 20] ; [6 5],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
a5,1,0.674975,0.175837,[18 20] ; [6 5],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
n6,1,0.676855,0.173688,[26 11] ; [7 4],[25.4375 11.5625] ; [7.5625 3.4375],0
r3,1,0.695413,0.153288,[29  8] ; [8 3],[28.52083333  8.47916667] ; [8.47916667 2.52083333],0
n1,1,0.695895,0.152778,[ 3 15] ; [1 3],[ 3.27272727 14.72727273] ; [0.72727273 3.27272727],0
r1,1,0.722279,0.12632,[15 23] ; [5 6],[15.51020408 22.48979592] ; [4.48979592 6.51020408],0
v2,1,0.722279,0.12632,[15 23] ; [5 6],[15.51020408 22.48979592] ; [4.48979592 6.51020408],0
s8,1,0.7657,0.088807,[12 26] ; [4 7],[12.40816327 25.59183673] ; [3.59183673 7.40816327],0
v4,1,0.784933,0.074472,[26 12] ; [8 3],[26.36734694 11.63265306] ; [7.63265306 3.36734694],0
d1,1,0.784933,0.074472,[12 26] ; [3 8],[11.63265306 26.36734694] ; [3.36734694 7.63265306],0
a7,1,0.790566,0.07053,[19 19] ; [5 6],[18.6122449 19.3877551] ; [5.3877551 5.6122449],0
a8,1,0.806243,0.06016,[ 4 30] ; [ 1 10],[ 3.77777778 30.22222222] ; [1.22222222 9.77777778],0
n5,1,0.852108,0.034756,[23 15] ; [7 4],[23.26530612 14.73469388] ; [6.73469388 4.26530612],0
s2,1,0.874925,0.024776,[11 26] ; [3 8],[10.79166667 26.20833333] ; [3.20833333 7.79166667],0
