Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.1e-05,19.397214,[10  7] ; [11 78],[ 3.36792453 13.63207547] ; [17.63207547 71.36792453],1
s2,1,7.5e-05,15.68007,[12  5] ; [20 69],[ 5.13207547 11.86792453] ; [26.86792453 62.13207547],1
s6,1,0.000138,14.527691,[13  4] ; [25 64],[ 6.09433962 10.90566038] ; [31.90566038 57.09433962],1
s7,1,0.000909,11.004007,[10  7] ; [16 65],[ 4.51020408 12.48979592] ; [21.48979592 59.51020408],1
v1,1,0.005504,7.705843,[11  4] ; [31 57],[6.11650485 8.88349515] ; [35.88349515 52.11650485],0
s3,1,0.007132,7.239305,[13  4] ; [36 52],[7.93333333 9.06666667] ; [41.06666667 46.93333333],0
s4,1,0.011119,6.446251,[ 6 11] ; [10 79],[ 2.56603774 14.43396226] ; [13.43396226 75.56603774],0
d4,1,0.022314,5.221127,[16  1] ; [58 29],[12.09615385  4.90384615] ; [61.90384615 25.09615385],0
d1,1,0.050282,3.832041,[10  7] ; [30 59],[ 6.41509434 10.58490566] ; [33.58490566 55.41509434],0
d5,1,0.097226,2.750467,[14  3] ; [54 34],[11.00952381  5.99047619] ; [56.99047619 31.00952381],0
p10,1,0.112152,2.523639,[11  6] ; [38 49],[8.00961538 8.99038462] ; [40.99038462 46.00961538],0
a1,1,0.139375,2.184845,[ 3 14] ; [ 6 83],[ 1.44339623 15.55660377] ; [ 7.55660377 81.44339623],0
p2,1,0.151369,2.0584,[12  5] ; [46 43],[9.30188679 7.69811321] ; [48.69811321 40.30188679],0
r2,1,0.152076,2.051299,[15  1] ; [69 19],[12.92307692  3.07692308] ; [71.07692308 16.92307692],0
p9,1,0.152892,2.043153,[12  5] ; [45 42],[9.31730769 7.68269231] ; [47.68269231 39.31730769],0
a4,1,0.164251,1.934649,[ 3 14] ; [31 58],[ 5.45283019 11.54716981] ; [28.54716981 60.45283019],0
a3,1,0.204473,1.610133,[13  4] ; [53 35],[10.68571429  6.31428571] ; [55.31428571 32.68571429],0
v3,1,0.226947,1.459893,[ 2 15] ; [21 62],[ 3.91 13.09] ; [19.09 63.91],0
r3,1,0.240937,1.375105,[14  3] ; [60 28],[11.98095238  5.01904762] ; [62.01904762 25.98095238],0
u3,1,0.245661,1.347814,[3 1] ; [16 20],[1.9 2.1] ; [17.1 18.9],0
v2,1,0.252543,1.30918,[8 9] ; [27 56],[ 5.95 11.05] ; [29.05 53.95],0
p6,1,0.263264,1.25151,[ 3 13] ; [ 8 78],[ 1.7254902 14.2745098] ; [ 9.2745098 76.7254902],0
a8,1,0.263264,1.25151,[ 3 13] ; [ 8 78],[ 1.7254902 14.2745098] ; [ 9.2745098 76.7254902],0
n3,1,0.273206,1.200577,[2 4] ; [19 14],[3.23076923 2.76923077] ; [17.76923077 15.23076923],0
b2,1,0.312886,1.018456,[5 7] ; [12 33],[3.57894737 8.42105263] ; [13.42105263 31.57894737],0
b3,1,0.312886,1.018456,[5 7] ; [12 33],[3.57894737 8.42105263] ; [13.42105263 31.57894737],0
p3,1,0.349185,0.876417,[ 5 12] ; [17 71],[ 3.56190476 13.43809524] ; [18.43809524 69.56190476],0
v4,1,0.392598,0.730879,[14  3] ; [63 24],[12.58653846  4.41346154] ; [64.41346154 22.58653846],0
d2,1,0.405799,0.691074,[8 9] ; [32 56],[ 6.47619048 10.52380952] ; [33.52380952 54.47619048],0
d3,1,0.417284,0.657951,[11  6] ; [47 40],[9.48076923 7.51923077] ; [48.51923077 38.48076923],0
n1,1,0.4603,0.545165,[3 3] ; [12 23],[2.19512195 3.80487805] ; [12.80487805 22.19512195],0
b1,1,0.478145,0.503091,[ 7 10] ; [45 44],[8.33962264 8.66037736] ; [43.66037736 45.33962264],0
b4,1,0.514591,0.424721,[11  6] ; [50 39],[9.78301887 7.21698113] ; [51.21698113 37.78301887],0
a6,1,0.516377,0.421123,[9 8] ; [54 34],[10.2  6.8] ; [52.8 35.2],0
p8,1,0.530236,0.393939,[ 3 13] ; [23 65],[ 4. 12.] ; [22. 66.],0
r4,1,0.570318,0.32215,[11  6] ; [51 38],[9.94339623 7.05660377] ; [52.05660377 36.94339623],0
p11,1,0.60291,0.27063,[9 8] ; [41 48],[8.01886792 8.98113208] ; [41.98113208 47.01886792],0
a7,1,0.617166,0.249872,[10  7] ; [58 31],[10.90566038  6.09433962] ; [57.09433962 31.90566038],0
p1,1,0.665286,0.187166,[ 1 16] ; [ 8 80],[ 1.45714286 15.54285714] ; [ 7.54285714 80.45714286],0
n5,1,0.774491,0.082086,[ 7 10] ; [40 49],[7.53773585 9.46226415] ; [39.46226415 49.53773585],0
p7,1,0.823785,0.049586,[ 5 11] ; [29 56],[ 5.38613861 10.61386139] ; [28.61386139 56.38613861],0
n4,1,0.857294,0.032335,[9 8] ; [45 44],[8.66037736 8.33962264] ; [45.33962264 43.66037736],0
a5,1,0.857294,0.032335,[9 8] ; [45 44],[8.66037736 8.33962264] ; [45.33962264 43.66037736],0
b5,1,0.907497,0.013501,[10  7] ; [51 38],[9.78301887 7.21698113] ; [51.21698113 37.78301887],0
u1,1,0.965524,0.001868,[ 1 16] ; [ 5 84],[ 0.96226415 16.03773585] ; [ 5.03773585 83.96226415],0
r1,1,0.970748,0.001345,[11  6] ; [58 31],[11.06603774  5.93396226] ; [57.93396226 31.06603774],0
