Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,63.832218,[36 86] ; [198  76],[72.09090909 49.90909091] ; [161.90909091 112.09090909],1
p6,1,0.0,42.227339,[23 96] ; [149 123],[52.34782609 66.65217391] ; [119.65217391 152.34782609],1
p3,1,0.0,27.576498,[46 75] ; [183  93],[69.79596977 51.20403023] ; [159.20403023 116.79596977],1
p10,1,0.0,26.47706,[84 36] ; [248  26],[101.11675127  18.88324873] ; [230.88324873  43.11675127],1
p4,1,1e-06,24.735627,[60 62] ; [206  70],[81.53768844 40.46231156] ; [184.46231156  91.53768844],1
n5,1,1e-06,23.892569,[79 43] ; [237  38],[97.10831234 24.89168766] ; [218.89168766  56.10831234],1
p2,1,1.7e-05,18.445968,[94 28] ; [255  21],[106.9798995  15.0201005] ; [242.0201005  33.9798995],1
p11,1,4.4e-05,16.685828,[84 38] ; [239  38],[98.76190476 23.23809524] ; [224.23809524  52.76190476],1
n6,1,5.8e-05,16.157507,[91 30] ; [248  26],[103.84556962  17.15443038] ; [235.15443038  38.84556962],1
s8,1,0.000439,12.358012,[45 75] ; [156 119],[61.06329114 58.93670886] ; [139.93670886 135.06329114],1
p9,1,0.00186,9.68243,[96 23] ; [252  23],[105.10659898  13.89340102] ; [242.89340102  32.10659898],0
a3,1,0.009116,6.800024,[85 37] ; [224  51],[94.95717884 27.04282116] ; [214.04282116  60.95717884],0
r4,1,0.015554,5.8526,[105  17] ; [259  18],[111.29824561  10.70175439] ; [252.70175439  24.29824561],0
n4,1,0.016654,5.732436,[89 33] ; [230  46],[97.7839196 24.2160804] ; [221.2160804  54.7839196],0
s7,1,0.017182,5.67765,[49 63] ; [152 114],[59.55555556 52.44444444] ; [141.44444444 124.55555556],0
r1,1,0.0389,4.265241,[95 27] ; [237  38],[102.02518892  19.97481108] ; [229.97481108  45.02518892],0
p5,1,0.041989,4.135634,[ 11 109] ; [ 47 229],[ 17.57575758 102.42424242] ; [ 40.42424242 235.57575758],0
v4,1,0.05308,3.741394,[114   8] ; [268   7],[117.39042821   4.60957179] ; [264.60957179  10.39042821],0
s5,1,0.053653,3.723458,[39 74] ; [122 148],[47.50130548 65.49869452] ; [113.49869452 156.50130548],0
a8,1,0.053983,3.713234,[11 98] ; [ 45 203],[17.09803922 91.90196078] ; [ 38.90196078 209.09803922],0
u2,1,0.100249,2.701585,[25 11] ; [27 25],[21.27272727 14.72727273] ; [30.72727273 21.27272727],0
a1,1,0.127102,2.327551,[  4 118] ; [ 20 257],[  7.33834586 114.66165414] ; [ 16.66165414 260.33834586],0
v3,1,0.176812,1.824214,[52 62] ; [143 126],[58.04177546 55.95822454] ; [136.95822454 132.04177546],0
u1,1,0.240077,1.380142,[23 99] ; [ 67 210],[27.51879699 94.48120301] ; [ 62.48120301 214.51879699],0
r3,1,0.309961,1.030844,[116   6] ; [269   8],[117.71929825   4.28070175] ; [267.28070175   9.71929825],0
n3,1,0.325546,0.966534,[21 13] ; [29 11],[22.97297297 11.02702703] ; [27.02702703 12.97297297],0
n2,1,0.346997,0.884407,[24 10] ; [32  8],[25.72972973  8.27027027] ; [30.27027027  9.72972973],0
s6,1,0.35926,0.840478,[82 37] ; [199  72],[85.74102564 33.25897436] ; [195.25897436  75.74102564],0
r2,1,0.365255,0.819744,[114   8] ; [261  12],[115.82278481   6.17721519] ; [259.17721519  13.82278481],0
a5,1,0.376829,0.781022,[93 29] ; [222  55],[96.31578947 25.68421053] ; [218.68421053  58.31578947],0
b5,1,0.411374,0.674825,[81 41] ; [172 105],[77.35839599 44.64160401] ; [175.64160401 101.35839599],0
a4,1,0.440091,0.596046,[67 55] ; [140 136],[63.45226131 58.54773869] ; [143.54773869 132.45226131],0
v2,1,0.465463,0.532727,[78 38] ; [193  79],[81.02061856 34.97938144] ; [189.97938144  82.02061856],0
d1,1,0.496112,0.463244,[84 38] ; [200  77],[86.83709273 35.16290727] ; [197.16290727  79.83709273],0
d5,1,0.510351,0.433347,[106  16] ; [247  30],[107.93483709  14.06516291] ; [245.06516291  31.93483709],0
s2,1,0.514085,0.425743,[70 49] ; [152 123],[67.05076142 51.94923858] ; [154.94923858 120.05076142],0
a7,1,0.556497,0.345806,[91 31] ; [198  78],[88.5879397 33.4120603] ; [200.4120603  75.5879397],0
s3,1,0.60425,0.268634,[65 55] ; [155 117],[67.34693878 52.65306122] ; [152.65306122 119.34693878],0
u3,1,0.605043,0.267457,[25 12] ; [33 20],[23.84444444 13.15555556] ; [34.15555556 18.84444444],0
a2,1,0.638083,0.221258,[32 90] ; [ 79 198],[33.93984962 88.06015038] ; [ 77.06015038 199.93984962],0
b4,1,0.719763,0.12872,[75 47] ; [165 112],[73.38345865 48.61654135] ; [166.61654135 110.38345865],0
p12,1,0.742132,0.108262,[ 14 106] ; [ 29 246],[ 13.06329114 106.93670886] ; [ 29.93670886 245.06329114],0
a6,1,0.747586,0.10357,[82 40] ; [190  86],[83.37688442 38.62311558] ; [188.62311558  87.37688442],0
s4,1,0.790312,0.070706,[ 17 102] ; [ 42 232],[ 17.86513995 101.13486005] ; [ 41.13486005 232.86513995],0
s1,1,0.81055,0.057464,[  3 118] ; [  8 267],[  3.36111111 117.63888889] ; [  7.63888889 267.36111111],0
u4,1,0.833299,0.044298,[  4 118] ; [  8 269],[  3.66917293 118.33082707] ; [  8.33082707 268.66917293],0
b1,1,0.852556,0.034543,[47 75] ; [104 173],[46.17042607 75.82957393] ; [104.82957393 172.17042607],0
b2,1,0.879896,0.022832,[32 39] ; [ 81 103],[31.4627451 39.5372549] ; [ 81.5372549 102.4627451],0
b3,1,0.879896,0.022832,[32 39] ; [ 81 103],[31.4627451 39.5372549] ; [ 81.5372549 102.4627451],0
d2,1,0.883769,0.021373,[65 56] ; [151 126],[65.66834171 55.33165829] ; [150.33165829 126.66834171],0
n1,1,0.888675,0.019595,[15 19] ; [17 23],[14.7027027 19.2972973] ; [17.2972973 22.7027027],0
p1,1,0.963654,0.002076,[ 10 112] ; [ 23 253],[ 10.11557789 111.88442211] ; [ 22.88442211 253.11557789],0
d3,1,0.963762,0.002064,[94 28] ; [214  63],[94.1754386 27.8245614] ; [213.8245614  63.1754386],0
