Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00035,12.779895,[14  2] ; [ 8 18],[8.38095238 7.61904762] ; [13.61904762 12.38095238],1
s5,1,0.004632,8.017936,[7 9] ; [ 2 25],[ 3.34883721 12.65116279] ; [ 5.65116279 21.34883721],0
p4,1,0.018043,5.591991,[13  3] ; [12 15],[9.30232558 6.69767442] ; [15.69767442 11.30232558],0
p6,1,0.024473,5.060802,[7 8] ; [ 4 23],[ 3.92857143 11.07142857] ; [ 7.07142857 19.92857143],0
p11,1,0.030713,4.668924,[14  2] ; [15 12],[10.79069767  5.20930233] ; [18.20930233  8.79069767],0
n3,1,0.057224,3.616071,[3 5] ; [6 1],[4.8 3.2] ; [4.2 2.8],0
a3,1,0.075724,3.154376,[11  5] ; [11 16],[8.18604651 7.81395349] ; [13.81395349 13.18604651],0
s7,1,0.090602,2.863636,[7 7] ; [ 5 17],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
p12,1,0.100613,2.695795,[ 3 13] ; [ 1 26],[ 1.48837209 14.51162791] ; [ 2.51162791 24.48837209],0
a2,1,0.100613,2.695795,[ 3 13] ; [ 1 26],[ 1.48837209 14.51162791] ; [ 2.51162791 24.48837209],0
b4,1,0.140917,2.167917,[7 9] ; [18  9],[9.30232558 6.69767442] ; [15.69767442 11.30232558],0
s2,1,0.161077,1.964085,[ 5 10] ; [ 4 23],[ 3.21428571 11.78571429] ; [ 5.78571429 21.21428571],0
s6,1,0.167665,1.9037,[10  6] ; [11 16],[7.81395349 8.18604651] ; [13.18604651 13.81395349],0
d4,1,0.170273,1.880539,[15  1] ; [21  6],[13.39534884  2.60465116] ; [22.60465116  4.39534884],0
p8,1,0.181623,1.784294,[8 8] ; [ 8 19],[ 5.95348837 10.04651163] ; [10.04651163 16.95348837],0
a6,1,0.188536,1.729019,[11  5] ; [13 14],[8.93023256 7.06976744] ; [15.06976744 11.93023256],0
p2,1,0.20692,1.592848,[13  3] ; [17 10],[11.1627907  4.8372093] ; [18.8372093  8.1627907],0
v3,1,0.227954,1.453584,[7 9] ; [ 7 20],[ 5.20930233 10.79069767] ; [ 8.79069767 18.20930233],0
