Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,34.451772,[ 6 16] ; [92 15],[16.71317829  5.28682171] ; [81.28682171 25.71317829],1
v4,1,3e-06,21.63035,[13  9] ; [99  6],[19.4015748  2.5984252] ; [92.5984252 12.4015748],1
r3,1,0.007925,7.050237,[15  7] ; [96 11],[18.93023256  3.06976744] ; [92.06976744 14.93023256],0
b1,1,0.014322,5.997982,[14  8] ; [38 69],[ 8.86821705 13.13178295] ; [43.13178295 63.86821705],0
u3,1,0.01676,5.721327,[5 9] ; [32 13],[8.77966102 5.22033898] ; [28.22033898 16.77966102],0
r1,1,0.025115,5.015923,[ 9 13] ; [71 36],[13.64341085  8.35658915] ; [66.35658915 40.64341085],0
d5,1,0.036341,4.381029,[10 12] ; [73 33],[14.265625  7.734375] ; [68.734375 37.265625],0
s4,1,0.045074,4.015874,[ 1 21] ; [25 82],[ 4.43410853 17.56589147] ; [21.56589147 85.43410853],0
s3,1,0.048409,3.895741,[ 5 16] ; [50 56],[ 9.09448819 11.90551181] ; [45.90551181 60.09448819],0
a3,1,0.069691,3.29029,[ 8 14] ; [61 45],[11.859375 10.140625] ; [57.140625 48.859375],0
p11,1,0.078866,3.088111,[10 12] ; [70 37],[13.64341085  8.35658915] ; [66.35658915 40.64341085],0
d2,1,0.083596,2.993564,[ 4 18] ; [40 67],[ 7.50387597 14.49612403] ; [36.49612403 70.50387597],0
a5,1,0.091697,2.844333,[ 8 14] ; [60 47],[11.59689922 10.40310078] ; [56.40310078 50.59689922],0
d1,1,0.105456,2.621036,[ 5 17] ; [44 63],[ 8.35658915 13.64341085] ; [40.64341085 66.35658915],0
a7,1,0.114213,2.494932,[12 10] ; [76 30],[15.125  6.875] ; [72.875 33.125],0
p9,1,0.116182,2.468051,[11 11] ; [71 34],[14.20472441  7.79527559] ; [67.79527559 37.20472441],0
p5,1,0.167805,1.902445,[ 2 20] ; [  3 103],[ 0.859375 21.140625] ; [  4.140625 101.859375],0
p6,1,0.195756,1.673755,[ 3 19] ; [28 77],[ 5.37007874 16.62992126] ; [25.62992126 79.37007874],0
p12,1,0.215083,1.536878,[ 1 21] ; [  1 105],[ 0.34375 21.65625] ; [  1.65625 104.34375],0
s6,1,0.228322,1.451287,[ 8 14] ; [53 52],[10.56692913 11.43307087] ; [50.43307087 54.56692913],0
n6,1,0.247283,1.338587,[10 12] ; [63 44],[12.4496124  9.5503876] ; [60.5503876 46.4496124],0
n2,1,0.268948,1.222104,[4 5] ; [22 12],[5.44186047 3.55813953] ; [20.55813953 13.44186047],0
s2,1,0.276221,1.185592,[ 6 16] ; [42 64],[ 8.25 13.75] ; [39.75 66.25],0
a1,1,0.277585,1.178876,[ 2 20] ; [  4 103],[ 1.02325581 20.97674419] ; [  4.97674419 102.02325581],0
a4,1,0.279934,1.167409,[ 5 17] ; [37 70],[ 7.1627907 14.8372093] ; [34.8372093 72.1627907],0
p3,1,0.289731,1.12087,[ 6 16] ; [42 65],[ 8.18604651 13.81395349] ; [39.81395349 67.18604651],0
a6,1,0.29077,1.116053,[ 9 13] ; [57 50],[11.25581395 10.74418605] ; [54.74418605 52.25581395],0
p10,1,0.300339,1.072688,[11 11] ; [65 40],[13.16535433  8.83464567] ; [62.83464567 42.16535433],0
b4,1,0.332012,0.941034,[15  7] ; [61 46],[12.96124031  9.03875969] ; [63.03875969 43.96124031],0
a2,1,0.343927,0.895738,[ 1 21] ; [12 95],[ 2.21705426 19.78294574] ; [10.78294574 96.21705426],0
n4,1,0.367229,0.81302,[ 6 16] ; [40 67],[ 7.84496124 14.15503876] ; [38.15503876 68.84496124],0
p8,1,0.416312,0.660704,[ 7 15] ; [44 63],[ 8.69767442 13.30232558] ; [42.30232558 64.69767442],0
b5,1,0.416312,0.660704,[15  7] ; [63 44],[13.30232558  8.69767442] ; [64.69767442 42.30232558],0
s7,1,0.536035,0.382937,[ 5 15] ; [32 68],[ 6.16666667 13.83333333] ; [30.83333333 69.16666667],0
s5,1,0.586485,0.295868,[ 5 17] ; [29 73],[ 6.03225806 15.96774194] ; [27.96774194 74.03225806],0
p2,1,0.604869,0.267714,[15  7] ; [78 28],[15.984375  6.015625] ; [77.015625 28.984375],0
s1,1,0.623069,0.241578,[ 1 21] ; [ 8 99],[ 1.53488372 20.46511628] ; [ 7.46511628 99.53488372],0
p4,1,0.647404,0.209188,[10 12] ; [43 64],[ 9.03875969 12.96124031] ; [43.96124031 63.03875969],0
n1,1,0.668952,0.182831,[2 7] ; [10 24],[2.51162791 6.48837209] ; [ 9.48837209 24.51162791],0
a8,1,0.688635,0.160567,[ 2 19] ; [ 7 93],[ 1.56198347 19.43801653] ; [ 7.43801653 92.56198347],0
d4,1,0.804209,0.061456,[17  5] ; [80 27],[16.54263566  5.45736434] ; [80.45736434 26.54263566],0
v3,1,0.821947,0.050644,[ 3 19] ; [16 87],[ 3.344 18.656] ; [15.656 87.344],0
p7,1,0.822953,0.050064,[12 10] ; [54 50],[11.52380952 10.47619048] ; [54.47619048 49.52380952],0
d3,1,0.845331,0.038056,[13  9] ; [65 41],[13.40625  8.59375] ; [64.59375 41.40625],0
u2,1,0.849263,0.036122,[8 6] ; [27 18],[8.30508475 5.69491525] ; [26.69491525 18.30508475],0
s8,1,0.860498,0.030885,[ 6 16] ; [27 79],[ 5.671875 16.328125] ; [27.328125 78.671875],0
n3,1,0.861623,0.030383,[6 3] ; [23 10],[6.21428571 2.78571429] ; [22.78571429 10.21428571],0
b2,1,0.886724,0.020292,[3 9] ; [17 46],[3.2 8.8] ; [16.8 46.2],0
b3,1,0.886724,0.020292,[3 9] ; [17 46],[3.2 8.8] ; [16.8 46.2],0
v1,1,0.902188,0.015104,[ 6 16] ; [30 75],[ 6.23622047 15.76377953] ; [29.76377953 75.23622047],0
