Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000153,14.334086,[69 38] ; [277  61],[83.19550562 23.80449438] ; [262.80449438  75.19550562],1
v3,1,0.000369,12.682824,[31 75] ; [157 163],[46.77934272 59.22065728] ; [141.22065728 178.77934272],1
s5,1,0.00243,9.192828,[61 37] ; [146 180],[47.84433962 50.15566038] ; [159.15566038 166.84433962],0
a8,1,0.003113,8.73976,[ 6 92] ; [ 58 255],[15.26034063 82.73965937] ; [ 48.73965937 264.26034063],0
b3,1,0.005392,7.742927,[12 41] ; [ 96 125],[20.89051095 32.10948905] ; [ 87.10948905 133.89051095],0
b2,1,0.005392,7.742927,[12 41] ; [ 96 125],[20.89051095 32.10948905] ; [ 87.10948905 133.89051095],0
v2,1,0.005624,7.667008,[49 54] ; [204 120],[61.02810304 41.97189696] ; [191.97189696 132.02810304],0
n5,1,0.007185,7.226163,[73 34] ; [271  65],[83.08803612 23.91196388] ; [260.91196388  75.08803612],0
n1,1,0.028652,4.788382,[ 8 23] ; [33 34],[12.96938776 18.03061224] ; [28.03061224 38.96938776],0
r1,1,0.032853,4.553404,[82 25] ; [288  49],[89.16666667 17.83333333] ; [280.83333333  56.16666667],0
v1,1,0.037198,4.34132,[53 53] ; [201 126],[62.18013857 43.81986143] ; [191.81986143 135.18013857],0
s6,1,0.04429,4.045481,[95  8] ; [282  52],[88.85812357 14.14187643] ; [288.14187643  45.85812357],0
u4,1,0.091305,2.851206,[  1 106] ; [ 15 325],[  3.82997763 103.17002237] ; [ 12.17002237 327.82997763],0
p12,1,0.106252,2.609095,[ 7 99] ; [ 41 295],[11.51131222 94.48868778] ; [ 36.48868778 299.51131222],0
a5,1,0.11496,2.48468,[75 32] ; [263  76],[81.0896861 25.9103139] ; [256.9103139  82.0896861],0
d3,1,0.192105,1.701396,[80 26] ; [232 105],[74.65462754 31.34537246] ; [237.34537246  99.65462754],0
d4,1,0.197831,1.658314,[88 19] ; [293  43],[92.0248307 14.9751693] ; [288.9751693  47.0248307],0
p11,1,0.203283,1.618631,[77 30] ; [265  75],[81.86577181 25.13422819] ; [260.13422819  79.86577181],0
b5,1,0.204098,1.612803,[70 37] ; [199 141],[64.39149888 42.60850112] ; [204.60850112 135.39149888],0
p5,1,0.220326,1.502246,[10 97] ; [ 46 285],[13.6803653 93.3196347] ; [ 42.3196347 288.6803653],0
p4,1,0.223599,1.481121,[63 44] ; [219 116],[68.26696833 38.73303167] ; [213.73303167 121.26696833],0
r4,1,0.237841,1.393342,[98  9] ; [322  18],[100.53691275   6.46308725] ; [319.46308725  20.53691275],0
s7,1,0.264826,1.24335,[77 25] ; [226  98],[72.54929577 29.45070423] ; [230.45070423  93.54929577],0
u2,1,0.272995,1.201638,[16 15] ; [51 30],[18.54464286 12.45535714] ; [48.45535714 32.54464286],0
a1,1,0.292282,1.109078,[  4 103] ; [ 22 318],[  6.22371365 100.77628635] ; [ 19.77628635 320.22371365],0
a3,1,0.298247,1.082017,[76 31] ; [257  81],[80.06966292 26.93033708] ; [252.93033708  85.06966292],0
s3,1,0.333305,0.936015,[97 10] ; [292  43],[94.16968326 12.83031674] ; [294.83031674  40.16968326],0
n2,1,0.348378,0.879355,[23  8] ; [56 12],[24.73737374  6.26262626] ; [54.26262626 13.73737374],0
a2,1,0.351496,0.868049,[25 82] ; [ 95 245],[28.72483221 78.27516779] ; [ 91.27516779 248.72483221],0
p2,1,0.358698,0.842448,[86 21] ; [282  53],[89.08597285 17.91402715] ; [278.91402715  56.08597285],0
n6,1,0.36287,0.827936,[88 18] ; [290  45],[90.85714286 15.14285714] ; [287.14285714  47.85714286],0
p3,1,0.386779,0.749044,[53 54] ; [182 153],[56.88914027 50.11085973] ; [178.11085973 156.88914027],0
a4,1,0.416696,0.659614,[55 52] ; [159 180],[51.34080717 55.65919283] ; [162.65919283 176.34080717],0
s8,1,0.44197,0.591163,[63 44] ; [213 125],[66.36404494 40.63595506] ; [209.63595506 128.36404494],0
s1,1,0.460741,0.544093,[ 7 99] ; [ 16 319],[  5.52834467 100.47165533] ; [ 17.47165533 317.52834467],0
p9,1,0.502696,0.449241,[94 10] ; [293  40],[92.1006865 11.8993135] ; [294.8993135  38.1006865],0
n3,1,0.504629,0.445188,[24  7] ; [49 20],[22.63  8.37] ; [50.37 18.63],0
p6,1,0.585122,0.298027,[47 58] ; [139 194],[44.5890411 60.4109589] ; [141.4109589 191.5890411],0
p1,1,0.597389,0.278951,[ 9 98] ; [ 34 301],[10.40950226 96.59049774] ; [ 32.59049774 302.40950226],0
a6,1,0.655744,0.198735,[71 36] ; [215 121],[69.07900677 37.92099323] ; [216.92099323 119.07900677],0
r3,1,0.655916,0.198523,[101   4] ; [330  10],[101.69662921   3.30337079] ; [329.30337079  10.69662921],0
u3,1,0.662789,0.190153,[22  9] ; [54 27],[21.03571429  9.96428571] ; [54.96428571 26.03571429],0
b1,1,0.675924,0.17475,[41 66] ; [138 202],[42.84787472 64.15212528] ; [136.15212528 203.84787472],0
p8,1,0.717011,0.131375,[53 51] ; [177 157],[54.61187215 49.38812785] ; [175.38812785 158.61187215],0
u1,1,0.728166,0.120803,[25 82] ; [ 74 266],[23.69798658 83.30201342] ; [ 75.30201342 264.69798658],0
a7,1,0.787338,0.072775,[77 29] ; [250  88],[78.06756757 27.93243243] ; [248.93243243  89.06756757],0
p7,1,0.787962,0.072338,[66 36] ; [215 110],[67.12412178 34.87587822] ; [213.87587822 111.12412178],0
v4,1,0.799761,0.064342,[104   3] ; [330   8],[104.35505618   2.64494382] ; [329.64494382   8.35505618],0
d2,1,0.804144,0.061498,[56 51] ; [181 156],[57.11486486 49.88513514] ; [179.88513514 157.11486486],0
p10,1,0.826222,0.048202,[89 16] ; [286  48],[89.69248292 15.30751708] ; [285.30751708  48.69248292],0
d1,1,0.827773,0.047332,[68 39] ; [220 120],[68.93959732 38.06040268] ; [219.06040268 120.93959732],0
b4,1,0.855936,0.032961,[64 43] ; [200 140],[63.19463087 43.80536913] ; [200.80536913 139.19463087],0
