Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-06,22.410578,[128  41] ; [59 62],[108.97586207  60.02413793] ; [78.02413793 42.97586207],1
v3,1,2e-05,18.171255,[95 73] ; [37 82],[77.26829268 90.73170732] ; [54.73170732 64.26829268],1
p6,1,0.000477,12.202958,[94 75] ; [43 80],[79.29109589 89.70890411] ; [57.70890411 65.29109589],1
s8,1,0.002395,9.218783,[126  44] ; [71 53],[113.91156463  56.08843537] ; [83.08843537 40.91156463],0
a5,1,0.003408,8.574898,[147  26] ; [88 36],[136.88552189  36.11447811] ; [98.11447811 25.88552189],0
p4,1,0.003636,8.457139,[128  43] ; [73 51],[116.51186441  54.48813559] ; [84.48813559 39.51186441],0
p3,1,0.006143,7.507772,[106  66] ; [56 67],[94.45423729 77.54576271] ; [67.54576271 55.45423729],0
b5,1,0.01043,6.55993,[120  53] ; [68 56],[109.50841751  63.49158249] ; [78.49158249 45.50841751],0
n5,1,0.027654,4.849531,[142  29] ; [89 34],[134.35714286  36.64285714] ; [96.64285714 26.35714286],0
s4,1,0.030112,4.702914,[ 28 144] ; [33 91],[ 35.44594595 136.55405405] ; [25.55405405 98.44594595],0
d3,1,0.033764,4.506639,[148  24] ; [94 29],[141.09830508  30.90169492] ; [100.90169492  22.09830508],0
p8,1,0.035375,4.426963,[106  64] ; [61 61],[97.2260274 72.7739726] ; [69.7739726 52.2260274],0
p12,1,0.041933,4.13789,[ 24 149] ; [  8 116],[ 18.63973064 154.36026936] ; [ 13.36026936 110.63973064],0
r4,1,0.050495,3.824936,[166   7] ; [112  12],[161.93265993  11.06734007] ; [116.06734007   7.93265993],0
u4,1,0.058381,3.582791,[  8 165] ; [  1 123],[  5.24242424 167.75757576] ; [  3.75757576 120.24242424],0
d1,1,0.059813,3.542561,[124  49] ; [76 48],[116.4983165  56.5016835] ; [83.5016835 40.4983165],0
p1,1,0.070953,3.260831,[ 24 148] ; [  9 115],[ 19.17567568 152.82432432] ; [ 13.82432432 110.17567568],0
