Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.147708,[40 11] ; [ 6 22],[29.69620253 21.30379747] ; [16.30379747 11.69620253],1
n2,1,0.002548,9.106049,[20  8] ; [2 9],[15.79487179 12.20512821] ; [6.20512821 4.79487179],0
a7,1,0.028405,4.803305,[21 29] ; [19  9],[25.64102564 24.35897436] ; [14.35897436 13.64102564],0
s7,1,0.074186,3.18789,[19 29] ; [ 5 21],[15.56756757 32.43243243] ; [ 8.43243243 17.56756757],0
a3,1,0.076948,3.128214,[35 16] ; [13 14],[31.38461538 19.61538462] ; [16.61538462 10.38461538],0
s5,1,0.107733,2.587169,[ 7 42] ; [ 8 19],[ 9.67105263 39.32894737] ; [ 5.32894737 21.67105263],0
p6,1,0.109921,2.555354,[15 34] ; [ 4 24],[12.09090909 36.90909091] ; [ 6.90909091 21.09090909],0
a6,1,0.125919,2.342113,[31 20] ; [12 16],[27.75949367 23.24050633] ; [15.24050633 12.75949367],0
s4,1,0.129106,2.303219,[ 6 45] ; [ 7 21],[ 8.39240506 42.60759494] ; [ 4.60759494 23.39240506],0
u2,1,0.136037,2.222222,[ 4 11] ; [8 7],[6. 9.] ; [6. 9.],0
p5,1,0.157673,1.9964,[ 7 43] ; [ 1 26],[ 5.19480519 44.80519481] ; [ 2.80519481 24.19480519],0
a5,1,0.173711,1.850621,[30 21] ; [12 16],[27.11392405 23.88607595] ; [14.88607595 13.11392405],0
r3,1,0.194437,1.683673,[24 25] ; [18 10],[26.72727273 22.27272727] ; [15.27272727 12.72727273],0
p2,1,0.220315,1.502316,[25 23] ; [18  9],[27.52 20.48] ; [15.48 11.52],0
s1,1,0.235584,1.406827,[ 2 49] ; [ 3 25],[ 3.2278481 47.7721519] ; [ 1.7721519 26.2278481],0
a4,1,0.239122,1.385761,[21 29] ; [ 8 20],[18.58974359 31.41025641] ; [10.41025641 17.58974359],0
s3,1,0.241187,1.373642,[19 31] ; [14 13],[21.42857143 28.57142857] ; [11.57142857 15.42857143],0
d4,1,0.242673,1.365,[31 19] ; [21  7],[33.33333333 16.66666667] ; [18.66666667  9.33333333],0
b5,1,0.254792,1.296837,[26 25] ; [18 10],[28.40506329 22.59493671] ; [15.59493671 12.40506329],0
s8,1,0.291152,1.114286,[10 40] ; [ 3 25],[ 8.33333333 41.66666667] ; [ 4.66666667 23.33333333],0
n6,1,0.303464,1.058909,[31 19] ; [14 14],[28.84615385 21.15384615] ; [16.15384615 11.84615385],0
p8,1,0.312626,1.019549,[13 37] ; [10 17],[14.93506494 35.06493506] ; [ 8.06493506 18.93506494],0
r1,1,0.338642,0.915564,[13 38] ; [10 18],[14.84810127 36.15189873] ; [ 8.15189873 19.84810127],0
v4,1,0.364791,0.821333,[34 16] ; [21  6],[35.71428571 14.28571429] ; [19.28571429  7.71428571],0
n1,1,0.368005,0.81039,[12 16] ; [3 8],[10.76923077 17.23076923] ; [4.23076923 6.76923077],0
u3,1,0.3785,0.775567,[ 5 11] ; [7 8],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
b1,1,0.391152,0.735359,[27 24] ; [12 16],[25.17721519 25.82278481] ; [13.82278481 14.17721519],0
v3,1,0.392901,0.729947,[16 35] ; [ 6 21],[14.38461538 36.61538462] ; [ 7.61538462 19.38461538],0
s2,1,0.403986,0.696429,[15 35] ; [11 17],[16.66666667 33.33333333] ; [ 9.33333333 18.66666667],0
v2,1,0.476283,0.507363,[17 33] ; [11 15],[18.42105263 31.57894737] ; [ 9.57894737 16.42105263],0
a2,1,0.541464,0.372833,[ 8 43] ; [ 3 25],[ 7.10126582 43.89873418] ; [ 3.89873418 24.10126582],0
p1,1,0.546213,0.364146,[ 6 45] ; [ 2 25],[ 5.23076923 45.76923077] ; [ 2.76923077 24.23076923],0
p10,1,0.554121,0.349986,[28 22] ; [17 10],[29.22077922 20.77922078] ; [15.77922078 11.22077922],0
d2,1,0.575482,0.313596,[26 23] ; [13 15],[24.81818182 24.18181818] ; [14.18181818 13.81818182],0
p11,1,0.579701,0.306719,[27 24] ; [13 15],[25.82278481 25.17721519] ; [14.17721519 13.82278481],0
p9,1,0.586323,0.296123,[29 21] ; [18 10],[30.12820513 19.87179487] ; [16.87179487 11.12820513],0
p4,1,0.622139,0.242872,[17 33] ; [ 8 20],[16.02564103 33.97435897] ; [ 8.97435897 19.02564103],0
s6,1,0.640627,0.217922,[17 33] ; [11 17],[17.94871795 32.05128205] ; [10.05128205 17.94871795],0
d3,1,0.686019,0.163429,[28 22] ; [17 11],[28.84615385 21.15384615] ; [16.15384615 11.84615385],0
p3,1,0.741865,0.108494,[14 35] ; [ 9 19],[14.63636364 34.36363636] ; [ 8.36363636 19.63636364],0
d5,1,0.80067,0.063746,[36 15] ; [19  9],[35.50632911 15.49367089] ; [19.49367089  8.50632911],0
d1,1,0.802376,0.062637,[24 27] ; [14 14],[24.53164557 26.46835443] ; [13.46835443 14.53164557],0
b2,1,0.838611,0.041481,[11 19] ; [4 8],[10.71428571 19.28571429] ; [4.28571429 7.71428571],0
b3,1,0.838611,0.041481,[11 19] ; [4 8],[10.71428571 19.28571429] ; [4.28571429 7.71428571],0
n3,1,0.84605,0.037698,[13 15] ; [5 5],[13.26315789 14.73684211] ; [4.73684211 5.26315789],0
b4,1,0.869926,0.026815,[30 21] ; [17 11],[30.34177215 20.65822785] ; [16.65822785 11.34177215],0
p7,1,0.883019,0.021651,[18 31] ; [10 16],[18.29333333 30.70666667] ; [ 9.70666667 16.29333333],0
v1,1,0.904757,0.014317,[17 32] ; [ 9 18],[16.76315789 32.23684211] ; [ 9.23684211 17.76315789],0
