Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,66.51016,[47 38] ; [246  19],[71.15714286 13.84285714] ; [221.84285714  43.15714286],1
s6,1,8e-06,19.843524,[33 52] ; [172  88],[50.50724638 34.49275362] ; [154.49275362 105.50724638],1
v4,1,9e-06,19.726307,[66 18] ; [249  14],[76.25360231  7.74639769] ; [238.74639769  24.25360231],1
r2,1,4.7e-05,16.574991,[66 15] ; [250  12],[74.62390671  6.37609329] ; [241.37609329  20.62390671],1
r3,1,6.3e-05,15.999965,[69 16] ; [248  13],[77.87572254  7.12427746] ; [239.12427746  21.87572254],1
s3,1,0.000445,12.334095,[29 54] ; [150 113],[42.93930636 40.06069364] ; [136.06069364 126.93930636],1
p2,1,0.001267,10.38936,[52 31] ; [212  53],[62.96551724 20.03448276] ; [201.03448276  63.96551724],0
s8,1,0.0018,9.742845,[18 67] ; [105 159],[29.95702006 55.04297994] ; [ 93.04297994 170.95702006],0
d4,1,0.002773,8.951417,[66 19] ; [238  26],[74.04011461 10.95988539] ; [229.95988539  34.04011461],0
s7,1,0.003702,8.424502,[23 56] ; [121 133],[34.16216216 44.83783784] ; [109.83783784 144.16216216],0
a1,1,0.004732,7.979191,[ 9 76] ; [  8 257],[ 4.12857143 80.87142857] ; [ 12.87142857 252.12857143],0
u1,1,0.006714,7.347934,[ 6 79] ; [ 52 213],[14.08571429 70.91428571] ; [ 43.91428571 221.08571429],0
d1,1,0.007521,7.144236,[47 38] ; [188  77],[57.07142857 27.92857143] ; [177.92857143  87.07142857],0
v2,1,0.007757,7.088809,[26 57] ; [122 132],[36.45103858 46.54896142] ; [111.54896142 142.45103858],0
a7,1,0.008357,6.955267,[53 32] ; [203  61],[62.3495702 22.6504298] ; [193.6504298  70.3495702],0
s2,1,0.012854,6.189075,[27 58] ; [124 139],[36.88218391 48.11781609] ; [114.11781609 148.88218391],0
b2,1,0.014717,5.95,[23 28] ; [ 41 112],[16. 35.] ; [ 48. 105.],0
b3,1,0.014717,5.95,[23 28] ; [ 41 112],[16. 35.] ; [ 48. 105.],0
n4,1,0.018707,5.528737,[53 32] ; [200  65],[61.44285714 23.55714286] ; [191.55714286  73.44285714],0
p8,1,0.024482,5.060185,[27 56] ; [122 140],[35.84637681 47.15362319] ; [113.15362319 148.84637681],0
d3,1,0.031008,4.65251,[54 30] ; [202  63],[61.61604585 22.38395415] ; [194.38395415  70.61604585],0
p7,1,0.036994,4.350667,[38 45] ; [153 107],[46.21865889 36.78134111] ; [144.78134111 115.21865889],0
a2,1,0.041861,4.14081,[13 72] ; [ 69 196],[19.91428571 65.08571429] ; [ 62.08571429 202.91428571],0
p10,1,0.047183,3.938835,[53 29] ; [200  64],[59.95953757 22.04046243] ; [193.04046243  70.95953757],0
p4,1,0.060812,3.515093,[35 49] ; [141 123],[42.48275862 41.51724138] ; [133.51724138 130.48275862],0
v3,1,0.088591,2.899792,[16 66] ; [ 75 183],[21.94705882 60.05294118] ; [ 69.05294118 188.94705882],0
