Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.545388,[41  5] ; [ 9 18],[31.50684932 14.49315068] ; [18.49315068  8.50684932],1
p11,1,0.00056,11.904574,[37  9] ; [11 16],[30.24657534 15.75342466] ; [17.75342466  9.24657534],1
v4,1,0.000663,11.589418,[44  1] ; [19  8],[39.375  5.625] ; [23.625  3.375],1
u3,1,0.00494,7.901299,[9 1] ; [2 6],[6.11111111 3.88888889] ; [4.88888889 3.11111111],0
p7,1,0.014306,6.0,[30 15] ; [10 17],[25. 20.] ; [15. 12.],0
s8,1,0.01867,5.532166,[19 27] ; [ 4 23],[14.49315068 31.50684932] ; [ 8.50684932 18.49315068],0
p2,1,0.023391,5.139201,[37  9] ; [15 12],[32.76712329 13.23287671] ; [19.23287671  7.76712329],0
n5,1,0.03256,4.568765,[25 20] ; [ 8 19],[20.625 24.375] ; [12.375 14.625],0
s7,1,0.040634,4.191196,[21 23] ; [ 6 20],[16.97142857 27.02857143] ; [10.02857143 15.97142857],0
p4,1,0.073953,3.19302,[27 19] ; [10 17],[23.31506849 22.68493151] ; [13.68493151 13.31506849],0
r3,1,0.105269,2.623845,[45  1] ; [24  3],[43.47945205  2.52054795] ; [25.52054795  1.47945205],0
s2,1,0.127133,2.327172,[22 24] ; [ 8 19],[18.90410959 27.09589041] ; [11.09589041 15.90410959],0
r4,1,0.187642,1.736034,[37  9] ; [18  9],[34.65753425 11.34246575] ; [20.34246575  6.65753425],0
d3,1,0.193211,1.692958,[34 12] ; [16 11],[31.50684932 14.49315068] ; [18.49315068  8.50684932],0
a7,1,0.193211,1.692958,[34 12] ; [16 11],[31.50684932 14.49315068] ; [18.49315068  8.50684932],0
p3,1,0.216174,1.529589,[21 25] ; [ 8 18],[18.52777778 27.47222222] ; [10.47222222 15.52777778],0
a2,1,0.217802,1.518792,[ 4 42] ; [ 5 22],[ 5.67123288 40.32876712] ; [ 3.32876712 23.67123288],0
n4,1,0.238627,1.388687,[27 19] ; [12 15],[24.57534247 21.42465753] ; [14.42465753 12.57534247],0
b2,1,0.272809,1.202569,[ 6 18] ; [ 7 10],[ 7.6097561 16.3902439] ; [ 5.3902439 11.6097561],0
b3,1,0.272809,1.202569,[ 6 18] ; [ 7 10],[ 7.6097561 16.3902439] ; [ 5.3902439 11.6097561],0
n2,1,0.293803,1.102114,[11  2] ; [8 4],[9.88 3.12] ; [9.12 2.88],0
n1,1,0.303552,1.058523,[3 9] ; [5 6],[4.17391304 7.82608696] ; [3.82608696 7.17391304],0
p6,1,0.316507,1.003325,[14 31] ; [ 5 20],[12.21428571 32.78571429] ; [ 6.78571429 18.21428571],0
s4,1,0.327158,0.960113,[ 7 39] ; [ 2 25],[ 5.67123288 40.32876712] ; [ 3.32876712 23.67123288],0
r1,1,0.351622,0.867594,[36  9] ; [19  8],[34.375 10.625] ; [20.625  6.375],0
r2,1,0.400154,0.707864,[39  5] ; [22  5],[37.8028169  6.1971831] ; [23.1971831  3.8028169],0
n3,1,0.409454,0.680387,[9 4] ; [10  2],[9.88 3.12] ; [9.12 2.88],0
d2,1,0.41245,0.671728,[16 30] ; [12 15],[17.64383562 28.35616438] ; [10.35616438 16.64383562],0
a5,1,0.447533,0.576894,[32 14] ; [21  6],[33.39726027 12.60273973] ; [19.60273973  7.39726027],0
a3,1,0.450184,0.570188,[36 10] ; [19  8],[34.65753425 11.34246575] ; [20.34246575  6.65753425],0
d4,1,0.468174,0.526282,[36 10] ; [23  4],[37.17808219  8.82191781] ; [21.82191781  5.17808219],0
p1,1,0.49068,0.475034,[ 3 43] ; [ 3 24],[ 3.78082192 42.21917808] ; [ 2.21917808 24.78082192],0
v3,1,0.559246,0.341011,[19 25] ; [ 9 16],[17.85507246 26.14492754] ; [10.14492754 14.85507246],0
p12,1,0.579212,0.30751,[ 2 44] ; [ 2 25],[ 2.52054795 43.47945205] ; [ 1.47945205 25.52054795],0
p8,1,0.624206,0.24,[21 24] ; [11 16],[20. 25.] ; [12. 15.],0
a4,1,0.648405,0.207917,[13 33] ; [ 9 18],[13.8630137 32.1369863] ; [ 8.1369863 18.8630137],0
s1,1,0.690314,0.158745,[ 1 44] ; [ 1 25],[ 1.26760563 43.73239437] ; [ 0.73239437 25.26760563],0
a1,1,0.699086,0.149424,[ 1 45] ; [ 1 26],[ 1.26027397 44.73972603] ; [ 0.73972603 26.26027397],0
s6,1,0.793294,0.068662,[27 19] ; [15 12],[26.46575342 19.53424658] ; [15.53424658 11.46575342],0
b5,1,0.819303,0.052185,[26 20] ; [16 11],[26.46575342 19.53424658] ; [15.53424658 11.46575342],0
a6,1,0.846028,0.037709,[30 16] ; [17 10],[29.61643836 16.38356164] ; [17.38356164  9.61643836],0
s3,1,0.854632,0.033566,[21 24] ; [12 15],[20.625 24.375] ; [12.375 14.625],0
b1,1,0.878569,0.023343,[23 23] ; [13 14],[22.68493151 23.31506849] ; [13.31506849 13.68493151],0
v1,1,0.902975,0.014861,[24 21] ; [14 13],[23.75 21.25] ; [14.25 12.75],0
d1,1,0.92027,0.010019,[25 21] ; [15 12],[25.20547945 20.79452055] ; [14.79452055 12.20547945],0
b4,1,0.92027,0.010019,[25 21] ; [15 12],[25.20547945 20.79452055] ; [14.79452055 12.20547945],0
a8,1,0.94133,0.005417,[ 3 37] ; [ 2 23],[ 3.07692308 36.92307692] ; [ 1.92307692 23.07692308],0
d5,1,0.962978,0.002155,[39  7] ; [23  4],[39.06849315  6.93150685] ; [22.93150685  4.06849315],0
s5,1,0.973147,0.001133,[10 34] ; [ 6 20],[10.05714286 33.94285714] ; [ 5.94285714 20.05714286],0
