Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.420959,[21  7] ; [ 2 21],[12.62745098 15.37254902] ; [10.37254902 12.62745098],1
s7,1,0.000106,15.033472,[21  7] ; [ 4 17],[14.28571429 13.71428571] ; [10.71428571 10.28571429],1
s6,1,0.000776,11.29776,[21  7] ; [ 6 16],[15.12 12.88] ; [11.88 10.12],1
n5,1,0.00157,9.994021,[23  5] ; [ 9 14],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
d4,1,0.00755,7.137108,[25  3] ; [13 10],[20.8627451  7.1372549] ; [17.1372549  5.8627451],0
s8,1,0.027112,4.883658,[15 13] ; [ 5 17],[11.2 16.8] ; [ 8.8 13.2],0
s4,1,0.03805,4.302776,[ 7 20] ; [ 1 22],[ 4.32 22.68] ; [ 3.68 19.32],0
n4,1,0.0457,3.992624,[23  5] ; [13 10],[19.76470588  8.23529412] ; [16.23529412  6.76470588],0
s5,1,0.061658,3.492213,[ 6 18] ; [ 1 20],[ 3.73333333 20.26666667] ; [ 3.26666667 17.73333333],0
n1,1,0.109984,2.554444,[7 3] ; [3 6],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
b5,1,0.144561,2.12872,[18 10] ; [19  4],[20.31372549  7.68627451] ; [16.68627451  6.31372549],0
p2,1,0.167561,1.904629,[23  5] ; [15  8],[20.8627451  7.1372549] ; [17.1372549  5.8627451],0
a5,1,0.200407,1.639408,[16 12] ; [ 9 14],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
d1,1,0.200407,1.639408,[16 12] ; [ 9 14],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
u1,1,0.21344,1.547938,[ 6 22] ; [ 2 21],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
r2,1,0.225026,1.47203,[26  1] ; [20  3],[24.84  2.16] ; [21.16  1.84],0
r1,1,0.279184,1.17106,[21  7] ; [14  9],[19.21568627  8.78431373] ; [15.78431373  7.21568627],0
p9,1,0.3039,1.057001,[15 13] ; [ 9 14],[13.17647059 14.82352941] ; [10.82352941 12.17647059],0
p8,1,0.357363,0.847139,[17 11] ; [11 12],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
a8,1,0.439605,0.597312,[ 3 24] ; [ 4 17],[ 3.9375 23.0625] ; [ 3.0625 17.9375],0
d2,1,0.473089,0.514752,[15 13] ; [10 13],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
b3,1,0.491644,0.472926,[10  7] ; [7 8],[9.03125 7.96875] ; [7.96875 7.03125],0
b2,1,0.491644,0.472926,[10  7] ; [7 8],[9.03125 7.96875] ; [7.96875 7.03125],0
u3,1,0.536809,0.381485,[7 5] ; [5 6],[6.26086957 5.73913043] ; [5.73913043 5.26086957],0
p11,1,0.556739,0.345382,[16 12] ; [15  8],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
p4,1,0.572014,0.319325,[18 10] ; [13 10],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
a7,1,0.603349,0.269975,[19  9] ; [14  9],[18.11764706  9.88235294] ; [14.88235294  8.11764706],0
d5,1,0.634308,0.226264,[20  8] ; [15  8],[19.21568627  8.78431373] ; [15.78431373  7.21568627],0
n6,1,0.66519,0.18728,[21  7] ; [16  7],[20.31372549  7.68627451] ; [16.68627451  6.31372549],0
v1,1,0.665308,0.18714,[11 16] ; [ 8 15],[10.26 16.74] ; [ 8.74 14.26],0
r3,1,0.672939,0.178183,[26  2] ; [22  1],[26.35294118  1.64705882] ; [21.64705882  1.35294118],0
a1,1,0.672939,0.178183,[ 2 26] ; [ 1 22],[ 1.64705882 26.35294118] ; [ 1.35294118 21.64705882],0
v3,1,0.673659,0.177352,[ 7 19] ; [ 5 18],[ 6.36734694 19.63265306] ; [ 5.63265306 17.36734694],0
r4,1,0.717841,0.130571,[22  6] ; [19  4],[22.50980392  5.49019608] ; [18.49019608  4.50980392],0
a3,1,0.722699,0.125921,[16 12] ; [12 11],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
v2,1,0.749465,0.101981,[14 14] ; [10 12],[13.44 14.56] ; [10.56 11.44],0
a2,1,0.761544,0.092084,[ 4 24] ; [ 4 19],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
a6,1,0.787867,0.072405,[16 12] ; [14  9],[16.47058824 11.52941176] ; [13.52941176  9.47058824],0
n2,1,0.822187,0.050505,[9 2] ; [7 2],[8.8 2.2] ; [7.2 1.8],0
p3,1,0.833126,0.044392,[13 15] ; [10 13],[12.62745098 15.37254902] ; [10.37254902 12.62745098],0
b1,1,0.833126,0.044392,[15 13] ; [13 10],[15.37254902 12.62745098] ; [12.62745098 10.37254902],0
a4,1,0.833126,0.044392,[13 15] ; [10 13],[12.62745098 15.37254902] ; [10.37254902 12.62745098],0
v4,1,0.837384,0.042124,[26  2] ; [21  2],[25.80392157  2.19607843] ; [21.19607843  1.80392157],0
p7,1,0.842272,0.039596,[19  9] ; [15  8],[18.66666667  9.33333333] ; [15.33333333  7.66666667],0
u2,1,0.854757,0.033508,[7 5] ; [6 5],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
p1,1,0.897928,0.016456,[ 4 24] ; [ 3 20],[ 3.84313725 24.15686275] ; [ 3.15686275 19.84313725],0
b4,1,0.920746,0.009899,[15 13] ; [12 11],[14.82352941 13.17647059] ; [12.17647059 10.82352941],0
d3,1,0.990983,0.000128,[17 11] ; [14  9],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
