Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,62.92033,[92 41] ; [ 75 195],[55.11414392 77.88585608] ; [111.88585608 158.11414392],1
s6,1,0.000151,14.361199,[90 42] ; [130 140],[72.23880597 59.76119403] ; [147.76119403 122.23880597],1
p7,1,0.000296,13.098423,[71 62] ; [ 91 173],[54.2720403 78.7279597] ; [107.7279597 156.2720403],1
s8,1,0.000377,12.64167,[61 72] ; [ 76 195],[45.10148515 87.89851485] ; [ 91.89851485 179.10148515],1
s7,1,0.000421,12.435916,[66 59] ; [ 88 171],[50.13020833 74.86979167] ; [103.86979167 155.13020833],1
p2,1,0.000471,12.226594,[108  25] ; [174  97],[92.83663366 40.16336634] ; [189.16336634  81.83663366],1
v1,1,0.001128,10.604658,[71 53] ; [105 160],[56.10282776 67.89717224] ; [119.89717224 145.10282776],0
s2,1,0.0018,9.742732,[70 62] ; [ 99 171],[55.49253731 76.50746269] ; [113.50746269 156.49253731],0
p9,1,0.003721,8.415419,[108  24] ; [181  85],[95.84924623 36.15075377] ; [193.15075377  72.84924623],0
d5,1,0.004378,8.119844,[114  19] ; [198  73],[102.71287129  30.28712871] ; [209.28712871  61.71287129],0
r4,1,0.004573,8.041001,[116  17] ; [204  68],[105.08641975  27.91358025] ; [214.91358025  57.08641975],0
p10,1,0.004891,7.919491,[102  30] ; [169  98],[89.65413534 42.34586466] ; [181.34586466  85.65413534],0
p6,1,0.005981,7.556004,[39 93] ; [ 47 221],[ 28.38 103.62] ; [ 57.62 210.38],0
b1,1,0.005985,7.554665,[70 63] ; [104 168],[57.14074074 75.85925926] ; [116.85925926 155.14074074],0
p5,1,0.007061,7.25746,[ 12 118] ; [  8 262],[  6.5 123.5] ; [ 13.5 256.5],0
n4,1,0.007458,7.159171,[108  24] ; [187  83],[96.86567164 35.13432836] ; [198.13432836  71.86567164],0
s5,1,0.007737,7.093335,[39 87] ; [ 50 215],[28.68030691 97.31969309] ; [ 60.31969309 204.68030691],0
n6,1,0.011177,6.436919,[110  22] ; [193  76],[99.74064838 32.25935162] ; [203.25935162  65.74064838],0
v3,1,0.014509,5.975159,[52 72] ; [ 76 183],[41.44125326 82.55874674] ; [ 86.55874674 172.44125326],0
v4,1,0.018846,5.515793,[124   9] ; [228  40],[116.74812968  16.25187032] ; [235.25187032  32.74812968],0
u1,1,0.022765,5.186386,[ 30 103] ; [ 37 235],[ 22.00246914 110.99753086] ; [ 44.99753086 227.00246914],0
p1,1,0.02644,4.926984,[ 12 121] ; [ 10 261],[  7.24257426 125.75742574] ; [ 14.75742574 256.24257426],0
a5,1,0.03879,4.270053,[96 37] ; [168 104],[86.6962963 46.3037037] ; [177.3037037  94.6962963],0
