Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.006354,7.44706,[33  4] ; [172  84],[25.88737201 11.11262799] ; [179.11262799  76.88737201],0
n5,1,0.011498,6.386658,[25 12] ; [218  40],[30.4779661  6.5220339] ; [212.5220339  45.4779661],0
s5,1,0.017297,5.66594,[21 15] ; [ 95 158],[14.44982699 21.55017301] ; [101.55017301 151.44982699],0
a3,1,0.049503,3.858216,[33  4] ; [190  65],[28.25684932  8.74315068] ; [194.74315068  60.25684932],0
s3,1,0.051443,3.793788,[27  9] ; [145 105],[21.65034965 14.34965035] ; [150.34965035  99.65034965],0
b3,1,0.054175,3.707309,[ 4 17] ; [68 99],[ 8.04255319 12.95744681] ; [ 63.95744681 103.04255319],0
b2,1,0.054175,3.707309,[ 4 17] ; [68 99],[ 8.04255319 12.95744681] ; [ 63.95744681 103.04255319],0
s2,1,0.060089,3.534919,[26 10] ; [142 113],[20.78350515 15.21649485] ; [147.21649485 107.78350515],0
s7,1,0.065952,3.381013,[26  9] ; [138 100],[21.02564103 13.97435897] ; [142.97435897  95.02564103],0
v1,1,0.070158,3.279314,[20 17] ; [176  79],[24.83561644 12.16438356] ; [171.16438356  83.83561644],0
n4,1,0.135832,2.224549,[28  9] ; [220  38],[31.10508475  5.89491525] ; [216.89491525  41.10508475],0
a8,1,0.138796,2.191262,[ 2 30] ; [ 37 191],[ 4.8 27.2] ; [ 34.2 193.8],0
p3,1,0.21041,1.568602,[25 12] ; [144 110],[21.48797251 15.51202749] ; [147.51202749 106.48797251],0
v2,1,0.227013,1.459479,[27 10] ; [206  47],[29.72758621  7.27241379] ; [203.27241379  49.72758621],0
a7,1,0.258766,1.275345,[24 13] ; [188  67],[26.8630137 10.1369863] ; [185.1369863  69.8630137],0
p6,1,0.261,1.263443,[17 20] ; [ 92 161],[13.90689655 23.09310345] ; [ 95.09310345 157.90689655],0
u1,1,0.275937,1.186994,[11 26] ; [ 56 202],[ 8.40338983 28.59661017] ; [ 58.59661017 199.40338983],0
s8,1,0.347457,0.882725,[23 14] ; [137 117],[20.34364261 16.65635739] ; [139.65635739 114.34364261],0
d3,1,0.356215,0.851193,[29  8] ; [182  74],[26.64505119 10.35494881] ; [184.35494881  71.64505119],0
p7,1,0.397735,0.715162,[28  9] ; [170  77],[25.79577465 11.20422535] ; [172.20422535  74.79577465],0
p11,1,0.409897,0.679101,[28  9] ; [210  48],[29.85084746  7.14915254] ; [208.14915254  49.85084746],0
a5,1,0.416563,0.659991,[28  9] ; [209  48],[29.82653061  7.17346939] ; [207.17346939  49.82653061],0
d1,1,0.451982,0.565677,[26 11] ; [165  93],[23.9559322 13.0440678] ; [167.0440678  90.9559322],0
r3,1,0.475151,0.509973,[35  2] ; [248   8],[35.73720137  1.26279863] ; [247.26279863   8.73720137],0
p1,1,0.516096,0.421688,[ 3 34] ; [ 30 226],[ 4.16723549 32.83276451] ; [ 28.83276451 227.16723549],0
u3,1,0.56745,0.326968,[2 2] ; [43 24],[2.53521127 1.46478873] ; [42.46478873 24.53521127],0
b4,1,0.569929,0.322802,[21 16] ; [159  99],[22.57627119 14.42372881] ; [157.42372881 100.57627119],0
s1,1,0.578983,0.307881,[ 2 35] ; [  9 245],[ 1.39862543 35.60137457] ; [  9.60137457 244.39862543],0
p12,1,0.584589,0.298875,[ 4 33] ; [ 36 219],[ 5.06849315 31.93150685] ; [ 34.93150685 220.06849315],0
r4,1,0.589177,0.291631,[36  1] ; [246  12],[35.36949153  1.63050847] ; [246.63050847  11.36949153],0
u2,1,0.595163,0.282353,[3 1] ; [42 26],[2.5 1.5] ; [42.5 25.5],0
b5,1,0.606211,0.265729,[20 17] ; [151 107],[21.44745763 15.55254237] ; [149.55254237 108.44745763],0
d4,1,0.640741,0.217774,[32  5] ; [212  42],[31.02405498  5.97594502] ; [212.97594502  41.02405498],0
n1,1,0.643293,0.214461,[2 6] ; [14 28],[2.56 5.44] ; [13.44 28.56],0
p2,1,0.663089,0.189793,[30  7] ; [214  41],[30.91780822  6.08219178] ; [213.08219178  41.91780822],0
d2,1,0.663706,0.189053,[21 16] ; [135 120],[19.76712329 17.23287671] ; [136.23287671 118.76712329],0
b1,1,0.671469,0.179888,[13 24] ; [100 158],[14.17288136 22.82711864] ; [ 98.82711864 159.17288136],0
a4,1,0.74031,0.109854,[19 18] ; [124 132],[18.05802048 18.94197952] ; [124.94197952 131.05802048],0
d5,1,0.748425,0.102859,[30  7] ; [213  43],[30.68600683  6.31399317] ; [212.31399317  43.68600683],0
v4,1,0.760704,0.092754,[36  1] ; [252   5],[36.24489796  0.75510204] ; [251.75510204   5.24489796],0
n2,1,0.772141,0.083854,[6 2] ; [35  9],[6.30769231 1.69230769] ; [34.69230769  9.30769231],0
p4,1,0.778771,0.078916,[25 12] ; [165  88],[24.24137931 12.75862069] ; [165.75862069  87.24137931],0
p8,1,0.784428,0.074831,[21 16] ; [149 103],[21.76470588 15.23529412] ; [148.23529412 103.76470588],0
a1,1,0.802365,0.062644,[ 3 34] ; [ 18 240],[ 2.63389831 34.36610169] ; [ 18.36610169 239.63389831],0
p9,1,0.80265,0.062459,[32  5] ; [214  38],[31.49480969  5.50519031] ; [214.50519031  37.49480969],0
n6,1,0.807858,0.059142,[32  5] ; [225  31],[32.45392491  4.54607509] ; [224.54607509  31.45392491],0
a2,1,0.856446,0.032725,[11 26] ; [ 73 185],[10.53559322 26.46440678] ; [ 73.46440678 184.53559322],0
p10,1,0.857657,0.032169,[32  5] ; [216  37],[31.64137931  5.35862069] ; [216.35862069  36.64137931],0
p5,1,0.875457,0.024564,[ 6 31] ; [ 44 211],[ 6.33561644 30.66438356] ; [ 43.66438356 211.33561644],0
r2,1,0.886354,0.020426,[36  1] ; [247   8],[35.85958904  1.14041096] ; [247.14041096   7.85958904],0
n3,1,0.893948,0.017772,[6 2] ; [32 12],[5.84615385 2.15384615] ; [32.15384615 11.84615385],0
a6,1,0.95393,0.003338,[26 11] ; [178  77],[25.84931507 11.15068493] ; [178.15068493  76.84931507],0
u4,1,0.997073,1.3e-05,[ 1 36] ; [  7 251],[ 1.00338983 35.99661017] ; [  6.99661017 251.00338983],0
