Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,27.434809,[15  9] ; [14 92],[ 5.35384615 18.64615385] ; [23.64615385 82.35384615],1
s7,1,0.000183,13.998491,[15  7] ; [28 77],[ 7.4488189 14.5511811] ; [35.5511811 69.4488189],1
a5,1,0.004683,7.998121,[10 15] ; [79 34],[16.12318841  8.87681159] ; [72.87681159 40.12318841],0
s2,1,0.005359,7.754105,[17  8] ; [42 70],[10.76642336 14.23357664] ; [48.23357664 63.76642336],0
r1,1,0.006348,7.448769,[13 12] ; [88 24],[18.43065693  6.56934307] ; [82.56934307 29.43065693],0
s5,1,0.008382,6.949918,[10 12] ; [21 88],[ 5.20610687 16.79389313] ; [25.79389313 83.20610687],0
s3,1,0.027783,4.841487,[19  6] ; [57 53],[14.07407407 10.92592593] ; [61.92592593 48.07407407],0
s8,1,0.034917,4.449235,[12 13] ; [30 83],[ 7.60869565 17.39130435] ; [34.39130435 78.60869565],0
p3,1,0.086104,2.945743,[13 12] ; [37 73],[ 9.25925926 15.74074074] ; [40.74074074 69.25925926],0
s6,1,0.09289,2.823566,[16  8] ; [54 59],[12.26277372 11.73722628] ; [57.73722628 55.26277372],0
b4,1,0.099118,2.719673,[11 14] ; [70 43],[14.67391304 10.32608696] ; [66.32608696 46.67391304],0
b5,1,0.1451,2.123017,[12 13] ; [72 41],[15.2173913  9.7826087] ; [68.7826087 44.2173913],0
p11,1,0.162806,1.94797,[11 14] ; [67 46],[14.13043478 10.86956522] ; [63.86956522 49.13043478],0
p7,1,0.163125,1.945018,[14  9] ; [48 59],[10.96923077 12.03076923] ; [51.03076923 55.96923077],0
a2,1,0.170986,1.87428,[ 2 23] ; [22 91],[ 4.34782609 20.65217391] ; [19.65217391 93.34782609],0
n1,1,0.210829,1.565723,[6 5] ; [11 22],[4.25 6.75] ; [12.75 20.25],0
a7,1,0.213436,1.547967,[15 10] ; [82 31],[17.57246377  7.42753623] ; [79.42753623 33.57246377],0
b3,1,0.254345,1.29928,[6 9] ; [17 50],[ 4.20731707 10.79268293] ; [18.79268293 48.20731707],0
b2,1,0.254345,1.29928,[6 9] ; [17 50],[ 4.20731707 10.79268293] ; [18.79268293 48.20731707],0
a6,1,0.284917,1.143487,[14 11] ; [76 37],[16.30434783  8.69565217] ; [73.69565217 39.30434783],0
n4,1,0.305304,1.050881,[10 15] ; [58 55],[12.31884058 12.68115942] ; [55.68115942 57.31884058],0
b1,1,0.344488,0.893658,[15 10] ; [56 57],[12.86231884 12.13768116] ; [58.13768116 54.86231884],0
n3,1,0.371441,0.798838,[8 3] ; [19 14],[6.75 4.25] ; [20.25 12.75],0
u2,1,0.403867,0.696783,[7 1] ; [25  9],[6.0952381 1.9047619] ; [25.9047619  8.0952381],0
r4,1,0.456839,0.553628,[17  8] ; [85 28],[18.47826087  6.52173913] ; [83.52173913 29.47826087],0
a8,1,0.466601,0.530015,[ 1 23] ; [ 9 96],[ 1.86046512 22.13953488] ; [ 8.13953488 96.86046512],0
p1,1,0.467881,0.526977,[ 2 23] ; [  5 107],[ 1.27737226 23.72262774] ; [  5.72262774 106.27737226],0
v3,1,0.480807,0.497032,[ 5 19] ; [29 75],[ 6.375 17.625] ; [27.625 76.375],0
u1,1,0.517,0.419874,[ 3 22] ; [  9 104],[ 2.17391304 22.82608696] ; [  9.82608696 103.17391304],0
p8,1,0.594083,0.284012,[ 9 14] ; [37 74],[ 7.89552239 15.10447761] ; [38.10447761 72.89552239],0
n5,1,0.605516,0.266756,[ 8 17] ; [42 70],[ 9.12408759 15.87591241] ; [40.87591241 71.12408759],0
d2,1,0.61426,0.254018,[12 13] ; [48 65],[10.86956522 14.13043478] ; [49.13043478 63.86956522],0
v1,1,0.620294,0.245455,[10 15] ; [50 60],[11.11111111 13.88888889] ; [48.88888889 61.11111111],0
p2,1,0.64699,0.209716,[18  7] ; [74 36],[17.03703704  7.96296296] ; [74.96296296 35.03703704],0
r2,1,0.674614,0.176253,[20  4] ; [97 15],[20.64705882  3.35294118] ; [96.35294118 15.64705882],0
p9,1,0.746128,0.104814,[16  7] ; [74 38],[15.33333333  7.66666667] ; [74.66666667 37.33333333],0
n2,1,0.751731,0.100083,[8 3] ; [23 11],[7.57777778 3.42222222] ; [23.42222222 10.57777778],0
d1,1,0.762267,0.09151,[14 11] ; [67 46],[14.67391304 10.32608696] ; [66.32608696 46.67391304],0
p5,1,0.773871,0.08255,[ 1 24] ; [  6 105],[ 1.28676471 23.71323529] ; [  5.71323529 105.28676471],0
d5,1,0.786935,0.073058,[20  5] ; [93 20],[20.47101449  4.52898551] ; [92.52898551 20.47101449],0
d3,1,0.792851,0.068964,[19  6] ; [83 30],[18.47826087  6.52173913] ; [83.52173913 29.47826087],0
v2,1,0.806454,0.060027,[11 13] ; [52 55],[11.54198473 12.45801527] ; [51.45801527 55.54198473],0
a4,1,0.85628,0.032801,[10 15] ; [43 70],[ 9.60144928 15.39855072] ; [43.39855072 69.60144928],0
p4,1,0.867719,0.027741,[10 15] ; [46 64],[10.37037037 14.62962963] ; [45.62962963 64.37037037],0
p10,1,0.900141,0.015746,[14  9] ; [66 45],[13.73134328  9.26865672] ; [66.26865672 44.73134328],0
r3,1,0.918771,0.0104,[21  3] ; [98 15],[20.84671533  3.15328467] ; [98.15328467 14.84671533],0
a3,1,0.920119,0.010057,[17  8] ; [78 35],[17.21014493  7.78985507] ; [77.78985507 35.21014493],0
s1,1,0.935206,0.006609,[ 1 23] ; [  5 105],[ 1.07462687 22.92537313] ; [  4.92537313 105.07462687],0
v4,1,0.993018,7.7e-05,[21  4] ; [95 18],[21.01449275  3.98550725] ; [94.98550725 18.01449275],0
