Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.1e-05,18.062051,[79 10] ; [30 22],[68.80141844 20.19858156] ; [40.19858156 11.80141844],1
p9,1,9.6e-05,15.207259,[72 17] ; [24 25],[61.91304348 27.08695652] ; [34.08695652 14.91304348],1
r3,1,0.000132,14.612513,[76 12] ; [30 22],[66.62857143 21.37142857] ; [39.37142857 12.62857143],1
p11,1,0.000223,13.624777,[64 25] ; [21 31],[53.65248227 35.34751773] ; [31.34751773 20.65248227],1
p10,1,0.002208,9.368268,[62 26] ; [22 28],[53.56521739 34.43478261] ; [30.43478261 19.56521739],0
r4,1,0.003757,8.397466,[55 34] ; [19 33],[46.70921986 42.29078014] ; [27.29078014 24.70921986],0
s6,1,0.004731,7.9795,[41 46] ; [12 40],[33.17266187 53.82733813] ; [19.82733813 32.17266187],0
p4,1,0.008103,7.010612,[40 48] ; [12 40],[32.68571429 55.31428571] ; [19.31428571 32.68571429],0
p7,1,0.008411,6.943758,[45 42] ; [15 37],[37.55395683 49.44604317] ; [22.44604317 29.55395683],0
p1,1,0.011168,6.438457,[ 4 85] ; [ 9 43],[ 8.20567376 80.79432624] ; [ 4.79432624 47.20567376],0
p6,1,0.016668,5.730983,[24 64] ; [ 5 45],[18.49275362 69.50724638] ; [10.50724638 39.49275362],0
n6,1,0.023244,5.150194,[70 19] ; [31 20],[64.20714286 24.79285714] ; [36.79285714 14.20714286],0
a1,1,0.025356,4.999377,[ 4 85] ; [ 8 44],[ 7.57446809 81.42553191] ; [ 4.42553191 47.57446809],0
p8,1,0.027649,4.849818,[37 51] ; [12 39],[31.02158273 56.97841727] ; [17.97841727 33.02158273],0
d2,1,0.072522,3.224992,[29 60] ; [24 26],[33.9352518 55.0647482] ; [19.0647482 30.9352518],0
p3,1,0.075777,3.153218,[32 57] ; [11 40],[27.33571429 61.66428571] ; [15.66428571 35.33571429],0
s3,1,0.079291,3.079367,[35 52] ; [13 38],[30.26086957 56.73913043] ; [17.73913043 33.26086957],0
a7,1,0.09566,2.776442,[55 33] ; [25 27],[50.28571429 37.71428571] ; [29.71428571 22.28571429],0
n2,1,0.120045,2.416734,[21  8] ; [9 9],[18.5106383 10.4893617] ; [11.4893617  6.5106383],0
d3,1,0.130368,2.288121,[50 37] ; [23 29],[45.69064748 41.30935252] ; [27.30935252 24.69064748],0
u2,1,0.181423,1.78593,[21 25] ; [ 7 17],[18.4 27.6] ; [ 9.6 14.4],0
b3,1,0.184683,1.759531,[12 32] ; [13 18],[14.66666667 29.33333333] ; [10.33333333 20.66666667],0
b2,1,0.184683,1.759531,[12 32] ; [13 18],[14.66666667 29.33333333] ; [10.33333333 20.66666667],0
s2,1,0.18681,1.7426,[28 61] ; [11 41],[24.61702128 64.38297872] ; [14.38297872 37.61702128],0
n3,1,0.193529,1.690547,[20  9] ; [9 9],[17.89361702 11.10638298] ; [11.10638298  6.89361702],0
s5,1,0.211195,1.563218,[15 70] ; [ 5 46],[12.5 72.5] ; [ 7.5 43.5],0
v1,1,0.231987,1.428635,[32 55] ; [14 38],[28.79136691 58.20863309] ; [17.20863309 34.79136691],0
r2,1,0.259046,1.273846,[66 22] ; [33 17],[63.13043478 24.86956522] ; [35.86956522 14.13043478],0
a5,1,0.288954,1.124487,[38 51] ; [27 25],[41.02836879 47.97163121] ; [23.97163121 28.02836879],0
p12,1,0.294299,1.099849,[ 5 84] ; [ 1 51],[ 3.78723404 85.21276596] ; [ 2.21276596 49.78723404],0
