Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.183624,[60 42] ; [228  44],[78.54545455 23.45454545] ; [209.45454545  62.54545455],1
r3,1,0.0,25.739311,[75 26] ; [253  18],[89.05376344 11.94623656] ; [238.94623656  32.05376344],1
n4,1,3e-06,22.161559,[49 53] ; [200  71],[68.09115282 33.90884718] ; [180.90884718  90.09115282],1
v4,1,1.6e-05,18.589363,[75 24] ; [251  21],[86.99191375 12.00808625] ; [239.00808625  32.99191375],1
n5,1,2e-05,18.177026,[50 51] ; [197  73],[67.2425876 33.7574124] ; [179.7574124  90.2425876],1
p2,1,3.6e-05,17.047667,[56 45] ; [210  62],[72.02680965 28.97319035] ; [193.97319035  78.02680965],1
p10,1,5.3e-05,16.338193,[50 50] ; [194  74],[66.30434783 33.69565217] ; [177.69565217  90.30434783],1
p11,1,8.9e-05,15.347544,[56 46] ; [206  66],[71.45454545 30.54545455] ; [190.54545455  81.45454545],1
p9,1,0.000602,11.770058,[58 42] ; [202  63],[71.23287671 28.76712329] ; [188.76712329  76.23287671],1
b1,1,0.001123,10.613723,[50 52] ; [ 84 188],[36.54545455 65.45454545] ; [ 97.45454545 174.54545455],0
r2,1,0.002598,9.070533,[79 21] ; [243  25],[87.5 12.5] ; [234.5  33.5],0
d1,1,0.003332,8.616231,[37 65] ; [145 127],[49.63636364 52.36363636] ; [132.36363636 139.63636364],0
s8,1,0.004621,8.022121,[16 86] ; [ 82 190],[26.72727273 75.27272727] ; [ 71.27272727 200.72727273],0
s6,1,0.005459,7.720679,[37 65] ; [141 128],[48.93800539 53.06199461] ; [129.06199461 139.93800539],0
v2,1,0.008035,7.025713,[33 62] ; [132 129],[44.03089888 50.96910112] ; [120.96910112 140.03089888],0
s1,1,0.020507,5.368213,[ 8 92] ; [  7 260],[ 4.08719346 95.91280654] ; [ 10.91280654 256.08719346],0
a1,1,0.020714,5.350712,[ 8 94] ; [  7 265],[ 4.09090909 97.90909091] ; [ 10.90909091 261.09090909],0
r1,1,0.030125,4.702123,[64 38] ; [201  70],[72.46648794 29.53351206] ; [192.53351206  78.46648794],0
d4,1,0.030725,4.668235,[67 33] ; [212  60],[75. 25.] ; [204.  68.],0
d5,1,0.033746,4.507542,[64 37] ; [202  69],[72.22043011 28.77956989] ; [193.77956989  77.22043011],0
d3,1,0.036457,4.375587,[57 43] ; [186  85],[65.49865229 34.50134771] ; [177.50134771  93.49865229],0
a5,1,0.051501,3.791907,[54 48] ; [174  98],[62.18181818 39.81818182] ; [165.81818182 106.18181818],0
s7,1,0.065408,3.394665,[22 73] ; [ 87 174],[29.08707865 65.91292135] ; [ 79.91292135 181.08707865],0
d2,1,0.076146,3.145291,[33 68] ; [116 155],[40.45430108 60.54569892] ; [108.54569892 162.45430108],0
v1,1,0.082266,3.019559,[32 68] ; [112 155],[39.23705722 60.76294278] ; [104.76294278 162.23705722],0
v3,1,0.08274,3.010241,[22 75] ; [ 85 180],[28.67127072 68.32872928] ; [ 78.32872928 186.67127072],0
p6,1,0.096478,2.762814,[14 85] ; [ 59 210],[19.63858696 79.36141304] ; [ 53.36141304 215.63858696],0
a7,1,0.107487,2.59079,[63 39] ; [191  80],[69.45844504 32.54155496] ; [184.54155496  86.45844504],0
u1,1,0.141949,2.156705,[ 7 95] ; [ 33 239],[10.90909091 91.09090909] ; [ 29.09090909 242.90909091],0
u2,1,0.163314,1.94327,[27 16] ; [47 47],[23.22627737 19.77372263] ; [50.77372263 43.22627737],0
b5,1,0.186582,1.744403,[60 42] ; [180  92],[65.45454545 36.54545455] ; [174.54545455  97.45454545],0
p8,1,0.187952,1.7336,[29 71] ; [ 97 170],[34.33242507 65.66757493] ; [ 91.66757493 175.33242507],0
