Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.1e-05,19.325926,[101  69] ; [98 19],[117.87456446  52.12543554] ; [81.12543554 35.87456446],1
p7,1,0.000213,13.71568,[116  53] ; [100  14],[128.98939929  40.01060071] ; [87.01060071 26.98939929],1
s8,1,0.001294,10.351591,[ 54 117] ; [59 58],[ 67.09375 103.90625] ; [45.90625 71.09375],0
p12,1,0.00581,7.608338,[  6 164] ; [ 14 103],[ 11.8466899 158.1533101] ; [  8.1533101 108.8466899],0
p5,1,0.006356,7.446601,[  8 164] ; [ 16 101],[ 14.28373702 157.71626298] ; [  9.71626298 107.28373702],0
p3,1,0.010469,6.55338,[85 86] ; [76 41],[95.59375 75.40625] ; [65.40625 51.59375],0
b3,1,0.010525,6.543748,[22 73] ; [30 42],[29.58083832 65.41916168] ; [22.41916168 49.58083832],0
b2,1,0.010525,6.543748,[22 73] ; [30 42],[29.58083832 65.41916168] ; [22.41916168 49.58083832],0
u4,1,0.013588,6.090859,[  1 171] ; [  6 111],[  4.16608997 167.83391003] ; [  2.83391003 114.16608997],0
d1,1,0.029445,4.741408,[88 84] ; [75 42],[97.01038062 74.98961938] ; [65.98961938 51.01038062],0
d2,1,0.034398,4.474787,[ 68 104] ; [61 56],[76.77508651 95.22491349] ; [52.22491349 64.77508651],0
n5,1,0.048804,3.882086,[121  50] ; [94 22],[128.1010453  42.8989547] ; [86.8989547 29.1010453],0
b1,1,0.051611,3.788326,[ 57 115] ; [52 65],[ 64.87197232 107.12802768] ; [44.12802768 72.87197232],0
s6,1,0.055014,3.681668,[89 81] ; [74 42],[96.88811189 73.11188811] ; [66.11188811 49.88811189],0
d4,1,0.06726,3.34865,[132  40] ; [100  17],[138.07612457  33.92387543] ; [93.92387543 23.07612457],0
n4,1,0.071753,3.242466,[123  48] ; [95 22],[129.4375  41.5625] ; [88.5625 28.4375],0
s7,1,0.081643,3.031891,[ 61 101] ; [54 58],[67.99270073 94.00729927] ; [47.00729927 64.99270073],0
n6,1,0.098546,2.728926,[136  35] ; [101  15],[141.20905923  29.79094077] ; [95.79094077 20.20905923],0
