Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,104.287639,[392  98] ; [ 73 113],[337.05621302 152.94378698] ; [127.94378698  58.05621302],1
d3,1,0.0,86.342851,[391  99] ; [ 80 106],[341.40532544 148.59467456] ; [129.59467456  56.40532544],1
a2,1,0.0,29.911365,[147 345] ; [ 18 168],[119.73451327 372.26548673] ; [ 45.26548673 140.73451327],1
u1,1,1e-06,23.988787,[108 384] ; [ 11 175],[ 86.3539823 405.6460177] ; [ 32.6460177 153.3539823],1
d1,1,4.5e-05,16.629472,[310 182] ; [ 85 101],[286.63716814 205.36283186] ; [108.36283186  77.63716814],1
b5,1,6.4e-05,15.993398,[333 159] ; [95 91],[310.5840708 181.4159292] ; [117.4159292  68.5840708],1
r4,1,9.5e-05,15.231573,[455  37] ; [153  33],[441.20353982  50.79646018] ; [166.79646018  19.20353982],1
r1,1,0.000162,14.224991,[401  87] ; [128  58],[383.0148368 104.9851632] ; [145.9851632  40.0148368],1
d5,1,0.000569,11.874876,[413  78] ; [134  51],[397.30325444  93.69674556] ; [149.69674556  35.30325444],1
b1,1,0.000803,11.234039,[152 340] ; [ 83 103],[170.53097345 321.46902655] ; [ 64.46902655 121.53097345],1
u3,1,0.004989,7.883563,[86 55] ; [19 31],[77.51308901 63.48691099] ; [27.48691099 22.51308901],0
d4,1,0.017288,5.666914,[413  78] ; [141  44],[402.38757396  88.61242604] ; [151.61242604  33.38757396],0
r2,1,0.018368,5.560729,[465  20] ; [167  16],[458.86227545  26.13772455] ; [173.13772455   9.86227545],0
r3,1,0.033337,4.528369,[473  16] ; [173  13],[467.99111111  21.00888889] ; [178.00888889   7.99111111],0
v4,1,0.034229,4.48324,[471  18] ; [171  14],[465.78338279  23.21661721] ; [176.21661721   8.78338279],0
b2,1,0.042223,4.126235,[ 92 183] ; [53 67],[100.94936709 174.05063291] ; [44.05063291 75.94936709],0
b3,1,0.042223,4.126235,[ 92 183] ; [53 67],[100.94936709 174.05063291] ; [44.05063291 75.94936709],0
a5,1,0.049385,3.862211,[375 117] ; [128  58],[365.00884956 126.99115044] ; [137.99115044  48.00884956],0
v2,1,0.049803,3.848071,[281 190] ; [91 87],[269.97226502 201.02773498] ; [102.02773498  75.97226502],0
p10,1,0.079809,3.068788,[444  46] ; [159  26],[437.73333333  52.26666667] ; [165.26666667  19.73333333],0
p2,1,0.086608,2.936319,[426  65] ; [150  34],[418.98666667  72.01333333] ; [157.01333333  26.98666667],0
s5,1,0.115911,2.471717,[143 335] ; [ 64 112],[151.29357798 326.70642202] ; [ 55.70642202 120.29357798],0
n5,1,0.131524,2.274421,[359 128] ; [146  38],[366.52011923 120.47988077] ; [138.47988077  45.52011923],0
s7,1,0.13206,2.268115,[218 254] ; [95 85],[226.58895706 245.41104294] ; [86.41104294 93.58895706],0
p4,1,0.143541,2.139582,[291 200] ; [97 86],[282.65281899 208.34718101] ; [105.34718101  77.65281899],0
s8,1,0.156316,2.00951,[210 280] ; [91 95],[218.18047337 271.81952663] ; [ 82.81952663 103.18047337],0
a1,1,0.198732,1.65167,[ 16 476] ; [ 10 176],[ 18.86725664 473.13274336] ; [  7.13274336 178.86725664],0
n1,1,0.207205,1.59085,[31 64] ; [24 32],[34.60264901 60.39735099] ; [20.39735099 35.60264901],0
u2,1,0.214394,1.541507,[82 59] ; [24 26],[78.2513089 62.7486911] ; [27.7486911 22.2513089],0
b4,1,0.262356,1.256282,[288 204] ; [100  86],[281.55752212 210.44247788] ; [106.44247788  79.55752212],0
n2,1,0.302492,1.063175,[70 26] ; [45 11],[72.63157895 23.36842105] ; [42.36842105 13.63157895],0
s2,1,0.31337,1.016421,[256 232] ; [89 96],[250.16344725 237.83655275] ; [94.83655275 90.16344725],0
p7,1,0.374804,0.787677,[308 172] ; [110  72],[303.081571 176.918429] ; [114.918429  67.081571],0
