Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,34.990134,[250  82] ; [27 42],[229.33665835 102.66334165] ; [47.66334165 21.33665835],1
n4,1,7e-06,20.21907,[252  82] ; [34 36],[236.44554455  97.55445545] ; [49.55445545 20.44554455],1
b1,1,0.000256,13.364869,[113 221] ; [40 30],[126.49009901 207.50990099] ; [26.50990099 43.49009901],1
p10,1,0.000572,11.864462,[262  68] ; [40 27],[251.03274559  78.96725441] ; [50.96725441 16.03274559],1
p11,1,0.000917,10.988706,[263  71] ; [42 28],[252.15346535  81.84653465] ; [52.84653465 17.15346535],1
r3,1,0.005591,7.677631,[313  20] ; [59 11],[307.38461538  25.61538462] ; [64.61538462  5.38461538],0
d4,1,0.009672,6.694289,[270  63] ; [47 23],[261.93796526  71.06203474] ; [55.06203474 14.93796526],0
u2,1,0.014641,5.959197,[56 55] ; [18  5],[61.29850746 49.70149254] ; [12.70149254 10.29850746],0
r4,1,0.018707,5.528682,[297  37] ; [55 15],[291.00990099  42.99009901] ; [60.99009901  9.00990099],0
p9,1,0.022889,5.176903,[267  61] ; [47 21],[260.08080808  67.91919192] ; [53.91919192 14.08080808],0
d1,1,0.023391,5.139196,[188 146] ; [29 41],[179.4009901 154.5990099] ; [37.5990099 32.4009901],0
r2,1,0.032825,4.554865,[308  22] ; [60 10],[303.6  26.4] ; [64.4  5.6],0
s5,1,0.047886,3.913976,[ 80 246] ; [ 9 58],[ 73.82697201 252.17302799] ; [15.17302799 51.82697201],0
p6,1,0.05019,3.835091,[116 214] ; [15 51],[109.16666667 220.83333333] ; [21.83333333 44.16666667],0
s6,1,0.080501,3.054762,[149 177] ; [24 46],[142.41919192 183.58080808] ; [30.58080808 39.41919192],0
p3,1,0.117097,2.455732,[157 176] ; [25 43],[151.13715711 181.86284289] ; [30.86284289 37.13715711],0
u3,1,0.118629,2.435327,[58 54] ; [16  7],[61.39259259 50.60740741] ; [12.60740741 10.39259259],0
s1,1,0.131397,2.275924,[  5 326] ; [ 3 67],[  6.60349127 324.39650873] ; [ 1.39650873 68.60349127],0
p4,1,0.138425,2.195375,[184 148] ; [31 37],[178.45 153.55] ; [36.55 31.45],0
n2,1,0.158939,1.984292,[62 25] ; [11  9],[59.35514019 27.64485981] ; [13.64485981  6.35514019],0
s7,1,0.17574,1.833289,[ 90 225] ; [13 51],[ 85.60686016 229.39313984] ; [17.39313984 46.60686016],0
a5,1,0.187964,1.733502,[241  93] ; [45 25],[236.44554455  97.55445545] ; [49.55445545 20.44554455],0
v1,1,0.204134,1.612551,[169 161] ; [30 40],[164.175 165.825] ; [34.825 35.175],0
