Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.249222,[41 43] ; [167  52],[57.66336634 26.33663366] ; [150.33663366  68.66336634],1
n5,1,1.2e-05,19.212312,[42 42] ; [168  53],[57.83606557 26.16393443] ; [152.16393443  68.83606557],1
r4,1,1.8e-05,18.355692,[51 35] ; [184  39],[65.40453074 20.59546926] ; [169.59546926  53.40453074],1
r3,1,2.4e-05,17.814392,[62 23] ; [203  19],[73.3713355 11.6286645] ; [191.6286645  30.3713355],1
n4,1,3.8e-05,16.956313,[41 45] ; [161  61],[56.4025974 29.5974026] ; [145.5974026  76.4025974],1
p11,1,4.4e-05,16.696303,[46 40] ; [172  51],[60.67313916 25.32686084] ; [157.32686084  65.67313916],1
v4,1,0.000131,14.623665,[63 21] ; [204  19],[73.05537459 10.94462541] ; [193.94462541  29.05537459],1
p9,1,0.000164,14.207989,[47 37] ; [171  49],[60.23684211 23.76315789] ; [157.76315789  62.23684211],1
s6,1,0.000178,14.048872,[27 59] ; [122  99],[41.73941368 44.26058632] ; [107.26058632 113.73941368],1
p2,1,0.000743,11.378728,[53 33] ; [178  44],[64.5 21.5] ; [166.5  55.5],1
b1,1,0.001652,9.900501,[49 37] ; [ 83 140],[36.73786408 49.26213592] ; [ 95.26213592 127.73786408],0
p4,1,0.001746,9.799408,[26 59] ; [112 110],[38.20846906 46.79153094] ; [ 99.79153094 122.20846906],0
p3,1,0.002478,9.156597,[21 65] ; [ 96 127],[32.5631068 53.4368932] ; [ 84.4368932 138.5631068],0
s8,1,0.004747,7.973203,[13 73] ; [ 69 154],[22.82200647 63.17799353] ; [ 59.17799353 163.82200647],0
r2,1,0.00654,7.395281,[65 20] ; [197  25],[72.54071661 12.45928339] ; [189.45928339  32.54071661],0
s7,1,0.0125,6.23853,[16 63] ; [ 76 138],[24.80546075 54.19453925] ; [ 67.19453925 146.80546075],0
a1,1,0.016183,5.78286,[ 7 79] ; [  5 218],[ 3.33980583 82.66019417] ; [  8.66019417 214.33980583],0
v1,1,0.024048,5.091199,[28 56] ; [104 114],[36.71523179 47.28476821] ; [ 95.28476821 122.71523179],0
p6,1,0.032061,4.595244,[13 72] ; [ 59 160],[20.13157895 64.86842105] ; [ 51.86842105 167.13157895],0
p7,1,0.041678,4.148244,[37 45] ; [127  91],[44.82666667 37.17333333] ; [119.17333333  98.82666667],0
v2,1,0.075055,3.168859,[27 53] ; [ 96 116],[33.69863014 46.30136986] ; [ 89.30136986 122.69863014],0
p8,1,0.08827,2.905637,[28 56] ; [ 97 123],[34.53947368 49.46052632] ; [ 90.46052632 129.53947368],0
b5,1,0.108239,2.579748,[45 41] ; [139  84],[51.21035599 34.78964401] ; [132.78964401  90.21035599],0
b4,1,0.162863,1.947441,[41 45] ; [126  97],[46.4789644 39.5210356] ; [120.5210356 102.4789644],0
p5,1,0.16317,1.944604,[ 2 83] ; [ 14 208],[ 4.42996743 80.57003257] ; [ 11.57003257 210.42996743],0
p12,1,0.200022,1.642212,[ 1 84] ; [  9 211],[ 2.78688525 82.21311475] ; [  7.21311475 212.78688525],0
b3,1,0.207496,1.588814,[11 34] ; [46 87],[14.41011236 30.58988764] ; [42.58988764 90.41011236],0
b2,1,0.207496,1.588814,[11 34] ; [46 87],[14.41011236 30.58988764] ; [42.58988764 90.41011236],0
a4,1,0.215317,1.53531,[24 62] ; [ 47 174],[19.88925081 66.11074919] ; [ 51.11074919 169.88925081],0
v3,1,0.223847,1.479537,[20 63] ; [ 69 152],[24.29934211 58.70065789] ; [ 64.70065789 156.29934211],0
r1,1,0.225307,1.470247,[51 35] ; [148  74],[55.56493506 30.43506494] ; [143.43506494  78.56493506],0
p1,1,0.269434,1.219625,[ 8 77] ; [ 13 209],[ 5.81433225 79.18566775] ; [ 15.18566775 206.81433225],0
s1,1,0.276742,1.18302,[ 5 80] ; [  7 213],[ 3.3442623 81.6557377] ; [  8.6557377 211.3442623],0
d3,1,0.301344,1.068235,[29 56] ; [ 90 132],[32.94788274 52.05211726] ; [ 86.05211726 135.94788274],0
d2,1,0.372981,0.79371,[15 71] ; [ 30 193],[12.52427184 73.47572816] ; [ 32.47572816 190.52427184],0
d5,1,0.41075,0.676628,[42 44] ; [120 102],[45.23376623 40.76623377] ; [116.76623377 105.23376623],0
u1,1,0.418575,0.654313,[ 1 85] ; [  6 217],[ 1.94822006 84.05177994] ; [  5.05177994 217.94822006],0
a6,1,0.454941,0.558313,[53 33] ; [127  96],[50.09708738 35.90291262] ; [129.90291262  93.09708738],0
u3,1,0.521418,0.411087,[20 18] ; [47 54],[18.31654676 19.68345324] ; [48.68345324 52.31654676],0
s2,1,0.57033,0.322131,[24 62] ; [ 69 152],[26.05211726 59.94788274] ; [ 66.94788274 154.05211726],0
n2,1,0.650513,0.205254,[22  9] ; [40 13],[22.88095238  8.11904762] ; [39.11904762 13.88095238],0
u2,1,0.665268,0.187188,[20 18] ; [49 52],[18.86330935 19.13669065] ; [50.13669065 50.86330935],0
a7,1,0.69323,0.155611,[52 34] ; [139  82],[53.50488599 32.49511401] ; [137.49511401  83.50488599],0
a2,1,0.706765,0.14153,[ 6 80] ; [ 13 210],[ 5.28802589 80.71197411] ; [ 13.71197411 209.28802589],0
a8,1,0.71718,0.131211,[10 73] ; [ 22 186],[ 9.12714777 73.87285223] ; [ 22.87285223 185.12714777],0
s4,1,0.724047,0.124648,[10 76] ; [ 29 192],[10.92508143 75.07491857] ; [ 28.07491857 192.92508143],0
d4,1,0.728417,0.12057,[44 42] ; [119 104],[45.36569579 40.63430421] ; [117.63430421 105.36569579],0
s3,1,0.747192,0.103906,[39 46] ; [ 96 123],[37.74671053 47.25328947] ; [ 97.25328947 121.74671053],0
a3,1,0.845237,0.038103,[47 38] ; [120 102],[46.23778502 38.76221498] ; [120.76221498 101.23778502],0
a5,1,0.961305,0.002354,[45 41] ; [116 107],[44.80906149 41.19093851] ; [116.19093851 106.80906149],0
n1,1,0.973078,0.001139,[12 18] ; [21 32],[11.92771084 18.07228916] ; [21.07228916 31.92771084],0
n3,1,0.979862,0.000637,[22  8] ; [38 14],[21.95121951  8.04878049] ; [38.04878049 13.95121951],0
