Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.8e-05,18.431006,[16 83] ; [19 17],[25.66666667 73.33333333] ; [ 9.33333333 26.66666667],1
p6,1,0.002145,9.420947,[30 68] ; [21 14],[37.57894737 60.42105263] ; [13.42105263 21.57894737],0
s2,1,0.008211,6.986767,[13 85] ; [12 24],[18.28358209 79.71641791] ; [ 6.71641791 29.28358209],0
a3,1,0.010464,6.554206,[55 44] ; [28  7],[61.32089552 37.67910448] ; [21.67910448 13.32089552],0
p3,1,0.032089,4.593718,[50 49] ; [25 10],[55.41044776 43.58955224] ; [19.58955224 15.41044776],0
s3,1,0.04762,3.923356,[19 78] ; [13 23],[23.33834586 73.66165414] ; [ 8.66165414 27.33834586],0
p4,1,0.059141,3.561304,[56 42] ; [27  9],[60.70149254 37.29850746] ; [22.29850746 13.70149254],0
a8,1,0.062133,3.479511,[ 7 83] ; [ 6 24],[ 9.75 80.25] ; [ 3.25 26.75],0
u1,1,0.063187,3.451705,[ 8 91] ; [ 7 29],[11. 88.] ; [ 4. 32.],0
n5,1,0.095972,2.771235,[65 34] ; [29  7],[68.93333333 30.06666667] ; [25.06666667 10.93333333],0
n4,1,0.113102,2.510331,[69 30] ; [30  6],[72.6 26.4] ; [26.4  9.6],0
d3,1,0.121099,2.403051,[63 36] ; [28  8],[66.73333333 32.26666667] ; [24.26666667 11.73333333],0
n1,1,0.126156,2.339181,[ 6 13] ; [4 2],[ 7.6 11.4] ; [2.4 3.6],0
p5,1,0.146573,2.107558,[ 6 92] ; [ 5 31],[ 8.04477612 89.95522388] ; [ 2.95522388 33.04477612],0
a2,1,0.185655,1.751766,[15 84] ; [ 9 27],[17.6 81.4] ; [ 6.4 29.6],0
s4,1,0.211894,1.558442,[ 5 94] ; [ 4 32],[ 6.6 92.4] ; [ 2.4 33.6],0
s5,1,0.279246,1.170754,[12 87] ; [ 7 29],[13.93333333 85.06666667] ; [ 5.06666667 30.93333333],0
p12,1,0.300436,1.072258,[ 4 95] ; [ 3 32],[ 5.17164179 93.82835821] ; [ 1.82835821 33.17164179],0
r3,1,0.31172,1.023372,[91  8] ; [31  5],[89.46666667  9.53333333] ; [32.53333333  3.46666667],0
u3,1,0.31335,1.016504,[19 25] ; [5 3],[20.30769231 23.69230769] ; [3.69230769 4.30769231],0
p10,1,0.327927,0.957067,[77 21] ; [31  5],[78.98507463 19.01492537] ; [29.01492537  6.98507463],0
v3,1,0.358114,0.844498,[35 60] ; [16 19],[37.26923077 57.73076923] ; [13.73076923 21.26923077],0
p2,1,0.358788,0.842132,[84 14] ; [33  3],[85.56716418 12.43283582] ; [31.43283582  4.56716418],0
p7,1,0.363535,0.825643,[70 27] ; [28  7],[72.01515152 24.98484848] ; [25.98484848  9.01515152],0
n3,1,0.366444,0.815686,[14  6] ; [3 3],[13.07692308  6.92307692] ; [3.92307692 2.07692308],0
b1,1,0.39355,0.727947,[36 63] ; [16 20],[38.13333333 60.86666667] ; [13.86666667 22.13333333],0
a7,1,0.415365,0.663391,[70 29] ; [28  8],[71.86666667 27.13333333] ; [26.13333333  9.86666667],0
a4,1,0.433913,0.612326,[34 65] ; [15 21],[35.93333333 63.06666667] ; [13.06666667 22.93333333],0
d4,1,0.482843,0.492436,[74 25] ; [29  7],[75.53333333 23.46666667] ; [27.46666667  8.53333333],0
d1,1,0.509146,0.435821,[57 42] ; [23 13],[58.66666667 40.33333333] ; [21.33333333 14.66666667],0
n6,1,0.542243,0.371398,[80 18] ; [31  5],[81.17910448 16.82089552] ; [29.82089552  6.17910448],0
d5,1,0.586823,0.295333,[76 23] ; [26 10],[74.8 24.2] ; [27.2  8.8],0
b3,1,0.631223,0.230406,[20 38] ; [10 15],[20.96385542 37.03614458] ; [ 9.03614458 15.96385542],0
b2,1,0.631223,0.230406,[20 38] ; [10 15],[20.96385542 37.03614458] ; [ 9.03614458 15.96385542],0
d2,1,0.639684,0.219156,[45 54] ; [18 18],[46.2 52.8] ; [16.8 19.2],0
b5,1,0.673492,0.177544,[59 40] ; [20 16],[57.93333333 41.06666667] ; [21.06666667 14.93333333],0
u2,1,0.720962,0.127573,[19 25] ; [4 4],[19.46153846 24.53846154] ; [3.53846154 4.46153846],0
p1,1,0.739805,0.110298,[13 85] ; [ 4 32],[12.43283582 85.56716418] ; [ 4.56716418 31.43283582],0
a6,1,0.744978,0.105799,[63 36] ; [24 12],[63.8 35.2] ; [23.2 12.8],0
p11,1,0.760036,0.093289,[82 17] ; [29  7],[81.4 17.6] ; [29.6  6.4],0
r4,1,0.760036,0.093289,[82 17] ; [29  7],[81.4 17.6] ; [29.6  6.4],0
v2,1,0.784513,0.074771,[58 39] ; [20 15],[57.31818182 39.68181818] ; [20.68181818 14.31818182],0
a1,1,0.791728,0.069731,[ 2 97] ; [ 1 35],[ 2.2 96.8] ; [ 0.8 35.2],0
p9,1,0.819971,0.051793,[80 18] ; [30  6],[80.44776119 17.55223881] ; [29.55223881  6.44776119],0
a5,1,0.823696,0.049637,[68 31] ; [24 12],[67.46666667 31.53333333] ; [24.53333333 11.46666667],0
b4,1,0.854425,0.033663,[56 43] ; [21 15],[56.46666667 42.53333333] ; [20.53333333 15.46666667],0
r1,1,0.879381,0.023029,[75 23] ; [28  8],[75.32835821 22.67164179] ; [27.67164179  8.32835821],0
v1,1,0.885832,0.020615,[51 48] ; [18 16],[51.36090226 47.63909774] ; [17.63909774 16.36090226],0
r2,1,0.987249,0.000255,[89  8] ; [33  3],[88.97744361  8.02255639] ; [33.02255639  2.97744361],0
