Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,25.001388,[ 3 15] ; [83 26],[12.18897638  5.81102362] ; [73.81102362 35.18897638],1
r3,1,1e-06,24.529167,[13  5] ; [107   1],[17.14285714  0.85714286] ; [102.85714286   5.14285714],1
r2,1,5e-06,20.928499,[9 8] ; [101   8],[14.84126984  2.15873016] ; [95.15873016 13.84126984],1
s6,1,0.00094,10.942096,[ 6 12] ; [78 29],[12.096  5.904] ; [71.904 35.096],1
n5,1,0.001363,10.25534,[ 8 10] ; [87 22],[13.46456693  4.53543307] ; [81.53543307 27.46456693],0
b1,1,0.002074,9.482522,[13  5] ; [37 72],[ 7.08661417 10.91338583] ; [42.91338583 66.08661417],0
n4,1,0.004111,8.233961,[ 8 10] ; [84 25],[13.03937008  4.96062992] ; [78.96062992 30.03937008],0
a7,1,0.005393,7.742796,[ 6 12] ; [73 35],[11.28571429  6.71428571] ; [67.71428571 40.28571429],0
n6,1,0.006285,7.466667,[11  7] ; [94 14],[15.  3.] ; [90. 18.],0
v3,1,0.012129,6.291939,[ 2 16] ; [43 59],[ 6.75 11.25] ; [38.25 63.75],0
d5,1,0.027784,4.841403,[9 9] ; [82 27],[12.8976378  5.1023622] ; [78.1023622 30.8976378],0
v4,1,0.07665,3.134532,[15  2] ; [106   3],[16.32539683  0.67460317] ; [104.67460317   4.32539683],0
d3,1,0.093459,2.813769,[ 8 10] ; [71 38],[11.19685039  6.80314961] ; [67.80314961 41.19685039],0
a3,1,0.107929,2.584287,[ 5 13] ; [52 56],[8.14285714 9.85714286] ; [48.85714286 59.14285714],0
d4,1,0.146374,2.109635,[10  8] ; [79 30],[12.61417323  5.38582677] ; [76.38582677 32.61417323],0
d1,1,0.160793,1.966755,[ 4 14] ; [43 66],[ 6.66141732 11.33858268] ; [40.33858268 68.66141732],0
v2,1,0.171605,1.868868,[ 5 12] ; [50 56],[7.60162602 9.39837398] ; [47.39837398 58.60162602],0
d2,1,0.177377,1.819465,[ 2 16] ; [28 81],[ 4.2519685 13.7480315] ; [25.7480315 83.2519685],0
a6,1,0.178431,1.810645,[ 7 11] ; [61 48],[9.63779528 8.36220472] ; [58.36220472 50.63779528],0
p9,1,0.18367,1.767677,[12  6] ; [87 21],[14.14285714  3.85714286] ; [84.85714286 23.14285714],0
p6,1,0.258733,1.275523,[ 6 12] ; [51 56],[8.208 9.792] ; [48.792 58.208],0
s4,1,0.267085,1.231659,[ 5 13] ; [18 89],[ 3.312 14.688] ; [19.688 87.312],0
p3,1,0.282775,1.153706,[9 9] ; [69 40],[11.05511811  6.94488189] ; [66.94488189 42.05511811],0
p10,1,0.305507,1.05,[12  6] ; [84 24],[13.71428571  4.28571429] ; [82.28571429 25.71428571],0
p5,1,0.308189,1.038422,[ 2 16] ; [23 84],[ 3.6 14.4] ; [21.4 85.6],0
b2,1,0.31642,1.003687,[1 9] ; [15 47],[2.22222222 7.77777778] ; [13.77777778 48.22222222],0
b3,1,0.31642,1.003687,[1 9] ; [15 47],[2.22222222 7.77777778] ; [13.77777778 48.22222222],0
a1,1,0.335573,0.927273,[ 1 17] ; [  2 107],[ 0.42519685 17.57480315] ; [  2.57480315 106.42519685],0
n3,1,0.337419,0.920215,[5 4] ; [14  5],[6.10714286 2.89285714] ; [12.89285714  6.10714286],0
u3,1,0.337985,0.918061,[6 7] ; [34 22],[7.53623188 5.46376812] ; [32.46376812 23.53623188],0
p1,1,0.423957,0.63932,[ 1 17] ; [13 96],[ 1.98425197 16.01574803] ; [12.01574803 96.98425197],0
p11,1,0.442824,0.588954,[12  6] ; [82 27],[13.32283465  4.67716535] ; [80.67716535 28.32283465],0
s3,1,0.467726,0.527342,[8 9] ; [61 47],[9.384 7.616] ; [59.616 48.384],0
v1,1,0.510392,0.433263,[ 8 10] ; [56 50],[9.29032258 8.70967742] ; [54.70967742 51.29032258],0
s8,1,0.523795,0.406415,[ 6 12] ; [45 64],[ 7.22834646 10.77165354] ; [43.77165354 65.22834646],0
n2,1,0.551149,0.355263,[7 2] ; [12  6],[6.33333333 2.66666667] ; [12.66666667  5.33333333],0
s5,1,0.635183,0.225097,[ 4 13] ; [30 73],[ 4.81666667 12.18333333] ; [29.18333333 73.81666667],0
p2,1,0.659026,0.194709,[15  3] ; [95 14],[15.59055118  2.40944882] ; [94.40944882 14.59055118],0
s2,1,0.662481,0.190524,[ 8 10] ; [54 54],[8.85714286 9.14285714] ; [53.14285714 54.85714286],0
b4,1,0.736618,0.113121,[11  7] ; [62 47],[10.34645669  7.65354331] ; [62.65354331 46.34645669],0
u2,1,0.73804,0.111857,[7 6] ; [33 23],[7.53623188 5.46376812] ; [32.46376812 23.53623188],0
p8,1,0.767615,0.087318,[10  8] ; [64 44],[10.57142857  7.42857143] ; [63.42857143 44.57142857],0
p7,1,0.852473,0.034583,[12  6] ; [73 33],[12.33870968  5.66129032] ; [72.66129032 33.33870968],0
s1,1,0.871244,0.02627,[ 1 17] ; [  5 102],[ 0.864 17.136] ; [  5.136 101.864],0
n1,1,0.907008,0.013645,[4 5] ; [ 8 11],[3.85714286 5.14285714] ; [ 8.14285714 10.85714286],0
a4,1,0.914218,0.011603,[ 4 14] ; [23 86],[ 3.82677165 14.17322835] ; [23.17322835 85.82677165],0
s7,1,0.968028,0.001607,[8 9] ; [47 54],[7.92372881 9.07627119] ; [47.07627119 53.92372881],0
b5,1,0.977018,0.00083,[11  7] ; [67 42],[11.05511811  6.94488189] ; [66.94488189 42.05511811],0
