Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.849238,[26 29] ; [105  23],[39.3715847 15.6284153] ; [91.6284153 36.3715847],1
p7,1,2.9e-05,17.49015,[12 46] ; [67 58],[25.03825137 32.96174863] ; [53.96174863 71.03825137],1
p11,1,4e-05,16.893731,[23 36] ; [91 38],[35.77659574 23.22340426] ; [78.22340426 50.77659574],1
a7,1,6e-05,16.116394,[29 30] ; [101  28],[40.79787234 18.20212766] ; [89.20212766 39.79787234],1
p3,1,0.001456,10.133029,[ 7 52] ; [44 85],[16.00531915 42.99468085] ; [34.99468085 94.00531915],0
d3,1,0.00158,9.982922,[28 31] ; [92 37],[37.65957447 21.34042553] ; [82.34042553 46.65957447],0
s1,1,0.001594,9.966705,[ 6 53] ; [  1 128],[ 2.19680851 56.80319149] ; [  4.80319149 124.19680851],0
p10,1,0.002763,8.957947,[28 29] ; [92 36],[36.97297297 20.02702703] ; [83.02702703 44.97297297],0
p8,1,0.002842,8.906051,[11 47] ; [53 75],[19.95698925 38.04301075] ; [44.04301075 83.95698925],0
a6,1,0.004752,7.971636,[27 32] ; [87 42],[35.77659574 23.22340426] ; [78.22340426 50.77659574],0
v4,1,0.007865,7.064029,[47 12] ; [118   9],[52.33870968  6.66129032] ; [112.66129032  14.33870968],0
b1,1,0.00866,6.891604,[28 31] ; [36 93],[20.08510638 38.91489362] ; [43.91489362 85.08510638],0
n6,1,0.012232,6.276983,[30 29] ; [90 39],[37.65957447 21.34042553] ; [82.34042553 46.65957447],0
r1,1,0.017167,5.679205,[33 26] ; [94 34],[40.06951872 18.93048128] ; [86.93048128 41.06951872],0
s8,1,0.017303,5.665371,[ 9 50] ; [41 88],[15.69148936 43.30851064] ; [34.30851064 94.69148936],0
r3,1,0.021815,5.26046,[47 12] ; [118  11],[51.78191489  7.21808511] ; [113.21808511  15.78191489],0
s6,1,0.04291,4.098927,[24 34] ; [74 55],[30.39572193 27.60427807] ; [67.60427807 61.39572193],0
p4,1,0.076799,3.131378,[16 42] ; [53 76],[21.40106952 36.59893048] ; [47.59893048 81.40106952],0
n1,1,0.078983,3.085714,[ 9 18] ; [ 7 38],[ 6. 21.] ; [10. 35.],0
r2,1,0.084199,2.981928,[47 12] ; [114  14],[50.79679144  8.20320856] ; [110.20320856  17.79679144],0
r4,1,0.09522,2.783842,[40 19] ; [102  27],[44.56382979 14.43617021] ; [97.43617021 31.56382979],0
a4,1,0.100045,2.704825,[21 38] ; [31 98],[16.31914894 42.68085106] ; [35.68085106 93.31914894],0
n2,1,0.145952,2.11406,[15 13] ; [31 13],[17.88888889 10.11111111] ; [28.11111111 15.88888889],0
u1,1,0.151871,2.053354,[ 2 57] ; [ 12 117],[ 4.39361702 54.60638298] ; [  9.60638298 119.39361702],0
d2,1,0.158039,1.992886,[25 34] ; [41 88],[20.71276596 38.28723404] ; [45.28723404 83.71276596],0
s3,1,0.191843,1.703408,[23 36] ; [63 65],[27.13368984 31.86631016] ; [58.86631016 69.13368984],0
v1,1,0.262277,1.256699,[19 40] ; [51 74],[22.44565217 36.55434783] ; [47.55434783 77.44565217],0
b5,1,0.267143,1.231358,[38 21] ; [72 57],[34.5212766 24.4787234] ; [75.4787234 53.5212766],0
s7,1,0.281095,1.16179,[11 41] ; [36 88],[13.88636364 38.11363636] ; [33.11363636 90.88636364],0
v2,1,0.287203,1.132687,[21 33] ; [58 64],[24.23863636 29.76136364] ; [54.76136364 67.23863636],0
n3,1,0.3017,1.066667,[16 11] ; [32 13],[18.  9.] ; [30. 15.],0
d4,1,0.302305,1.063999,[42 17] ; [100  28],[44.80213904 14.19786096] ; [97.19786096 30.80213904],0
b4,1,0.313228,1.017016,[32 27] ; [80 49],[35.14893617 23.85106383] ; [76.85106383 52.14893617],0
d1,1,0.33471,0.930589,[23 36] ; [60 69],[26.04787234 32.95212766] ; [56.95212766 72.04787234],0
p5,1,0.338549,0.915918,[ 1 56] ; [  6 123],[ 2.14516129 54.85483871] ; [  4.85483871 124.14516129],0
a8,1,0.373502,0.791981,[ 1 58] ; [  5 112],[ 2.01136364 56.98863636] ; [  3.98863636 113.01136364],0
a2,1,0.489304,0.478056,[ 9 50] ; [ 15 114],[ 7.53191489 51.46808511] ; [ 16.46808511 112.53191489],0
p1,1,0.504948,0.444522,[ 3 56] ; [  4 125],[ 2.19680851 56.80319149] ; [  4.80319149 124.19680851],0
n5,1,0.537553,0.380094,[18 40] ; [46 83],[19.85026738 38.14973262] ; [44.14973262 84.85026738],0
u4,1,0.568402,0.325364,[ 1 58] ; [  1 128],[ 0.62765957 58.37234043] ; [  1.37234043 127.62765957],0
u3,1,0.69179,0.157155,[15  9] ; [30 22],[14.21052632  9.78947368] ; [30.78947368 21.21052632],0
s5,1,0.711378,0.136905,[13 43] ; [33 95],[14. 42.] ; [32. 96.],0
v3,1,0.720495,0.128018,[16 40] ; [32 91],[15.01675978 40.98324022] ; [32.98324022 90.01675978],0
d5,1,0.786009,0.07371,[40 19] ; [90 39],[40.79787234 18.20212766] ; [89.20212766 39.79787234],0
b2,1,0.798407,0.065234,[ 7 22] ; [16 44],[ 7.49438202 21.50561798] ; [15.50561798 44.49438202],0
b3,1,0.798407,0.065234,[ 7 22] ; [16 44],[ 7.49438202 21.50561798] ; [15.50561798 44.49438202],0
