Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,3.6e-05,17.066734,[ 2 26] ; [19 14],[ 9.63934426 18.36065574] ; [11.36065574 21.63934426],1
a3,1,8e-05,15.568907,[10 18] ; [28  5],[17.44262295 10.55737705] ; [20.55737705 12.44262295],1
d5,1,0.000744,11.37666,[ 9 20] ; [25  9],[15.65079365 13.34920635] ; [18.34920635 15.65079365],1
a6,1,0.001524,10.049539,[ 8 21] ; [23 11],[14.26984127 14.73015873] ; [16.73015873 17.26984127],0
d3,1,0.006671,7.35947,[ 8 21] ; [21 13],[13.34920635 15.65079365] ; [15.65079365 18.34920635],0
d1,1,0.012338,6.261663,[ 5 24] ; [16 18],[ 9.66666667 19.33333333] ; [11.33333333 22.66666667],0
d2,1,0.017486,5.646921,[ 8 21] ; [19 14],[12.62903226 16.37096774] ; [14.37096774 18.62903226],0
a7,1,0.023694,5.116886,[ 8 21] ; [19 15],[12.42857143 16.57142857] ; [14.57142857 19.42857143],0
d4,1,0.038449,4.285051,[13 16] ; [24 10],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
s3,1,0.051601,3.788649,[ 4 22] ; [13 21],[ 7.36666667 18.63333333] ; [ 9.63333333 24.36666667],0
n1,1,0.059902,3.540108,[ 5 12] ; [11  7],[7.77142857 9.22857143] ; [8.22857143 9.77142857],0
n4,1,0.073174,3.210353,[15 14] ; [25  9],[18.41269841 10.58730159] ; [21.58730159 12.41269841],0
b1,1,0.119565,2.423011,[14 15] ; [23 11],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
r2,1,0.122758,2.381776,[16 12] ; [25  8],[18.81967213  9.18032787] ; [22.18032787 10.81967213],0
n5,1,0.129258,2.301392,[17 12] ; [26  8],[19.79365079  9.20634921] ; [23.20634921 10.79365079],0
p11,1,0.130425,2.287439,[ 6 23] ; [13 21],[ 8.74603175 20.25396825] ; [10.25396825 23.74603175],0
b5,1,0.155038,2.021971,[11 18] ; [19 15],[13.80952381 15.19047619] ; [16.19047619 17.80952381],0
s5,1,0.169451,1.887793,[ 3 26] ; [ 8 26],[ 5.06349206 23.93650794] ; [ 5.93650794 28.06349206],0
p3,1,0.174892,1.840505,[ 6 23] ; [12 21],[ 8.41935484 20.58064516] ; [ 9.58064516 23.41935484],0
p4,1,0.194243,1.685137,[ 5 23] ; [11 23],[ 7.22580645 20.77419355] ; [ 8.77419355 25.22580645],0
a1,1,0.267448,1.229789,[ 3 26] ; [ 7 27],[ 4.6031746 24.3968254] ; [ 5.3968254 28.6031746],0
s2,1,0.267448,1.229789,[ 3 26] ; [ 7 27],[ 4.6031746 24.3968254] ; [ 5.3968254 28.6031746],0
n6,1,0.300631,1.071395,[12 17] ; [18 15],[14.03225806 14.96774194] ; [15.96774194 17.03225806],0
v1,1,0.336221,0.924789,[ 7 22] ; [12 22],[ 8.74603175 20.25396825] ; [10.25396825 23.74603175],0
s7,1,0.379781,0.77141,[ 4 24] ; [ 7 23],[ 5.31034483 22.68965517] ; [ 5.68965517 24.31034483],0
s8,1,0.382085,0.763983,[ 3 26] ; [ 6 27],[ 4.20967742 24.79032258] ; [ 4.79032258 28.20967742],0
r1,1,0.465577,0.532454,[11 18] ; [16 18],[12.42857143 16.57142857] ; [14.57142857 19.42857143],0
u3,1,0.478188,0.502994,[ 6 13] ; [1 5],[ 5.32 13.68] ; [1.68 4.32],0
p9,1,0.481961,0.494424,[11 17] ; [15 16],[12.33898305 15.66101695] ; [13.66101695 17.33898305],0
p1,1,0.535807,0.383367,[ 5 24] ; [ 4 30],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
s4,1,0.535807,0.383367,[ 5 24] ; [ 4 30],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
v3,1,0.585058,0.298128,[ 5 23] ; [ 8 26],[ 5.87096774 22.12903226] ; [ 7.12903226 26.87096774],0
p8,1,0.604947,0.267599,[ 8 21] ; [ 7 25],[ 7.13114754 21.86885246] ; [ 7.86885246 24.13114754],0
s6,1,0.624297,0.239874,[ 8 21] ; [11 22],[ 8.88709677 20.11290323] ; [10.11290323 22.88709677],0
r4,1,0.676509,0.174082,[ 4 25] ; [ 6 28],[ 4.6031746 24.3968254] ; [ 5.3968254 28.6031746],0
p2,1,0.6858,0.163669,[12 17] ; [12 21],[11.22580645 17.77419355] ; [12.77419355 20.22580645],0
b2,1,0.710005,0.138272,[ 7 11] ; [ 8 16],[ 6.42857143 11.57142857] ; [ 8.57142857 15.42857143],0
b3,1,0.710005,0.138272,[ 7 11] ; [ 8 16],[ 6.42857143 11.57142857] ; [ 8.57142857 15.42857143],0
v2,1,0.725945,0.122868,[ 4 23] ; [ 4 30],[ 3.54098361 23.45901639] ; [ 4.45901639 29.54098361],0
p7,1,0.78479,0.074574,[ 7 21] ; [ 9 23],[ 7.46666667 20.53333333] ; [ 8.53333333 23.46666667],0
b4,1,0.792987,0.068872,[18 11] ; [20 14],[17.49206349 11.50793651] ; [20.50793651 13.49206349],0
s1,1,0.837551,0.042036,[ 3 26] ; [ 3 31],[ 2.76190476 26.23809524] ; [ 3.23809524 30.76190476],0
n2,1,0.861864,0.030277,[8 9] ; [9 9],[8.25714286 8.74285714] ; [8.74285714 9.25714286],0
p10,1,0.879948,0.022812,[11 17] ; [14 20],[11.29032258 16.70967742] ; [13.70967742 20.29032258],0
p12,1,0.908901,0.013093,[ 1 28] ; [ 1 33],[ 0.92063492 28.07936508] ; [ 1.07936508 32.92063492],0
v4,1,0.954926,0.003195,[16 13] ; [19 15],[16.11111111 12.88888889] ; [18.88888889 15.11111111],0
n3,1,1.0,0.0,[ 7 10] ; [ 7 10],[ 7. 10.] ; [ 7. 10.],0
