Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,43.229455,[111 120] ; [91 15],[138.46290801  92.53709199] ; [63.53709199 42.46290801],1
p4,1,1e-06,24.72368,[ 97 136] ; [75 31],[118.21828909 114.78171091] ; [53.78171091 52.21828909],1
p5,1,1e-06,24.043639,[ 13 222] ; [25 81],[ 26.18768328 208.81231672] ; [11.81231672 94.18768328],1
p8,1,7e-06,20.109044,[ 91 143] ; [69 37],[110.11764706 123.88235294] ; [49.88235294 56.11764706],1
p3,1,0.000137,14.548474,[ 88 148] ; [63 43],[104.19883041 131.80116959] ; [46.80116959 59.19883041],1
b3,1,0.000147,14.411609,[30 98] ; [32 31],[41.54973822 86.45026178] ; [20.45026178 42.54973822],1
b2,1,0.000147,14.411609,[30 98] ; [32 31],[41.54973822 86.45026178] ; [20.45026178 42.54973822],1
s7,1,0.000386,12.598287,[ 79 144] ; [57 44],[ 93.60493827 129.39506173] ; [42.39506173 58.60493827],1
p1,1,0.001597,9.963707,[ 13 221] ; [17 89],[ 20.64705882 213.35294118] ; [ 9.35294118 96.64705882],0
s5,1,0.004012,8.278177,[ 57 172] ; [41 60],[ 68.00606061 160.99393939] ; [29.99393939 71.00606061],0
p12,1,0.004125,8.227907,[  8 226] ; [12 94],[ 13.76470588 220.23529412] ; [ 6.23529412 99.76470588],0
s8,1,0.00914,6.795304,[ 73 162] ; [48 57],[ 83.63235294 151.36764706] ; [37.36764706 67.63235294],0
n2,1,0.010926,6.477288,[50  6] ; [15  8],[46.07594937  9.92405063] ; [18.92405063  4.07594937],0
n6,1,0.011127,6.444864,[184  52] ; [94 11],[192.39882698  43.60117302] ; [85.60117302 19.39882698],0
v2,1,0.018051,5.591223,[100 122] ; [62 43],[109.98165138 112.01834862] ; [52.01834862 52.98165138],0
n4,1,0.027049,4.8877,[158  76] ; [84 22],[166.55294118  67.44705882] ; [75.44705882 30.55294118],0
p2,1,0.058662,3.57481,[179  57] ; [90 16],[185.62573099  50.37426901] ; [83.37426901 22.62573099],0
n5,1,0.085172,2.963334,[159  75] ; [81 24],[165.66371681  68.33628319] ; [74.33628319 30.66371681],0
p11,1,0.085274,2.961403,[176  60] ; [88 18],[182.1754386  53.8245614] ; [81.8245614 24.1754386],0
s2,1,0.096108,2.768966,[ 95 138] ; [53 52],[102.02366864 130.97633136] ; [45.97633136 59.02366864],0
a4,1,0.09901,2.721411,[ 54 181] ; [33 72],[ 60.13235294 174.86764706] ; [26.86764706 78.13235294],0
v4,1,0.109132,2.56674,[225  10] ; [105   1],[227.41935484   7.58064516] ; [102.58064516   3.41935484],0
s6,1,0.149832,2.073965,[141  90] ; [70 31],[146.81024096  84.18975904] ; [64.18975904 36.81024096],0
a5,1,0.151735,2.054724,[142  94] ; [55 51],[135.94152047 100.05847953] ; [61.05847953 44.94152047],0
v1,1,0.152178,2.050284,[105 124] ; [57 48],[111.07185629 117.92814371] ; [50.92814371 54.07185629],0
p9,1,0.171502,1.869764,[179  52] ; [89 17],[183.70326409  47.29673591] ; [84.29673591 21.70326409],0
