Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.00081,11.218421,[45 12] ; [13 17],[38. 19.] ; [20. 10.],1
s8,1,0.023997,5.09483,[32 25] ; [10 22],[26.8988764 30.1011236] ; [15.1011236 16.8988764],0
p9,1,0.047569,3.925142,[47 10] ; [19 11],[43.24137931 13.75862069] ; [22.75862069  7.24137931],0
n3,1,0.127124,2.327273,[9 7] ; [13  3],[11.  5.] ; [11.  5.],0
u2,1,0.1322,2.266484,[19  3] ; [7 4],[17.33333333  4.66666667] ; [8.66666667 2.33333333],0
v2,1,0.142098,2.155095,[25 28] ; [18 10],[28.13580247 24.86419753] ; [14.86419753 13.13580247],0
v3,1,0.143976,2.134944,[11 42] ; [10 18],[13.74074074 39.25925926] ; [ 7.25925926 20.74074074],0
n2,1,0.144127,2.133333,[15  1] ; [12  4],[13.5  2.5] ; [13.5  2.5],0
n1,1,0.144127,2.133333,[8 8] ; [ 4 12],[ 6. 10.] ; [ 6. 10.],0
b5,1,0.151679,2.055283,[39 18] ; [17 15],[35.86516854 21.13483146] ; [20.13483146 11.86516854],0
n5,1,0.165963,1.919034,[29 28] ; [11 20],[25.90909091 31.09090909] ; [14.09090909 16.90909091],0
r2,1,0.171081,1.873442,[46  9] ; [30  2],[48.04597701  6.95402299] ; [27.95402299  4.04597701],0
p7,1,0.186762,1.742978,[36 17] ; [16 14],[33.20481928 19.79518072] ; [18.79518072 11.20481928],0
v4,1,0.233569,1.418997,[53  3] ; [28  4],[51.54545455  4.45454545] ; [29.45454545  2.54545455],0
p8,1,0.236511,1.401273,[28 28] ; [11 19],[25.39534884 30.60465116] ; [13.60465116 16.39534884],0
p2,1,0.242404,1.366558,[47 10] ; [23  9],[44.83146067 12.16853933] ; [25.16853933  6.83146067],0
a2,1,0.288817,1.125129,[ 9 48] ; [ 8 24],[10.88764045 46.11235955] ; [ 6.11235955 25.88764045],0
