Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.5e-05,17.132573,[63  6] ; [37 24],[53.07692308 15.92307692] ; [46.92307692 14.07692308],1
r3,1,5.9e-05,16.139892,[61  8] ; [35 26],[50.95384615 18.04615385] ; [45.04615385 15.95384615],1
p7,1,0.000746,11.371268,[37 32] ; [15 46],[27.6 41.4] ; [24.4 36.6],1
p4,1,0.001066,10.708418,[31 38] ; [11 50],[22.29230769 46.70769231] ; [19.70769231 41.29230769],0
p9,1,0.002473,9.160256,[29 37] ; [11 48],[21.12 44.88] ; [18.88 40.12],0
r4,1,0.00333,8.617333,[55 14] ; [34 27],[47.23846154 21.76153846] ; [41.76153846 19.23846154],0
p8,1,0.004192,8.198693,[24 44] ; [ 8 52],[17. 51.] ; [15. 45.],0
s3,1,0.00461,8.026499,[37 32] ; [17 42],[29.109375 39.890625] ; [24.890625 34.109375],0
v3,1,0.014068,6.029609,[ 7 61] ; [16 43],[12.31496063 55.68503937] ; [10.68503937 48.31496063],0
a1,1,0.015355,5.875244,[ 2 67] ; [ 9 52],[ 5.83846154 63.16153846] ; [ 5.16153846 55.83846154],0
p11,1,0.01545,5.864446,[36 33] ; [19 42],[29.19230769 39.80769231] ; [25.80769231 35.19230769],0
p3,1,0.015688,5.837491,[27 42] ; [12 49],[20.7 48.3] ; [18.3 42.7],0
s1,1,0.024008,5.094041,[ 3 65] ; [10 51],[ 6.85271318 61.14728682] ; [ 6.14728682 54.85271318],0
b5,1,0.066513,3.367049,[46 23] ; [31 30],[40.86923077 28.13076923] ; [36.13076923 24.86923077],0
p6,1,0.071697,3.243745,[18 51] ; [ 8 52],[13.90697674 55.09302326] ; [12.09302326 47.90697674],0
s7,1,0.078164,3.102675,[21 44] ; [10 45],[16.79166667 48.20833333] ; [14.20833333 40.79166667],0
a7,1,0.090726,2.86144,[43 26] ; [29 32],[38.21538462 30.78461538] ; [33.78461538 27.21538462],0
r1,1,0.164097,1.93606,[46 22] ; [34 27],[42.17054264 25.82945736] ; [37.82945736 23.17054264],0
n2,1,0.177574,1.817811,[18 10] ; [14 16],[15.44827586 12.55172414] ; [16.55172414 13.44827586],0
s4,1,0.199451,1.64639,[15 53] ; [ 8 52],[12.21875 55.78125] ; [10.78125 49.21875],0
d1,1,0.205451,1.603194,[22 47] ; [26 35],[25.47692308 43.52307692] ; [22.52307692 38.47692308],0
a4,1,0.205933,1.59979,[24 45] ; [27 32],[27.4921875 41.5078125] ; [23.5078125 35.4921875],0
b1,1,0.210411,1.568596,[32 37] ; [35 26],[35.56153846 33.43846154] ; [31.43846154 29.56153846],0
s8,1,0.27762,1.178704,[14 54] ; [ 8 52],[11.6875 56.3125] ; [10.3125 49.6875],0
a8,1,0.298809,1.079503,[ 9 54] ; [ 5 55],[ 7.17073171 55.82926829] ; [ 6.82926829 53.17073171],0
a2,1,0.30543,1.050333,[ 9 60] ; [12 49],[11.14615385 57.85384615] ; [ 9.85384615 51.14615385],0
s2,1,0.311769,1.023168,[21 47] ; [14 47],[18.4496124 49.5503876] ; [16.5503876 44.4496124],0
d2,1,0.318427,0.995398,[29 40] ; [30 29],[31.8046875 37.1953125] ; [27.1953125 31.8046875],0
d3,1,0.340769,0.907535,[38 31] ; [28 32],[35.30232558 33.69767442] ; [30.69767442 29.30232558],0
n3,1,0.346326,0.886873,[16 12] ; [12 15],[14.25454545 13.74545455] ; [13.74545455 13.25454545],0
n5,1,0.389255,0.741269,[39 30] ; [39 22],[41.4 27.6] ; [36.6 24.4],0
s6,1,0.391707,0.733635,[30 38] ; [22 38],[27.625 40.375] ; [24.375 35.625],0
n6,1,0.410605,0.677048,[44 25] ; [34 26],[41.72093023 27.27906977] ; [36.27906977 23.72093023],0
b2,1,0.439528,0.597513,[12 31] ; [15 27],[13.65882353 29.34117647] ; [13.34117647 28.65882353],0
b3,1,0.439528,0.597513,[12 31] ; [15 27],[13.65882353 29.34117647] ; [13.34117647 28.65882353],0
d5,1,0.540879,0.373913,[45 24] ; [36 24],[43.3255814 25.6744186] ; [37.6744186 22.3255814],0
a3,1,0.577541,0.310227,[37 31] ; [35 24],[38.5511811 29.4488189] ; [33.4488189 25.5511811],0
p1,1,0.613643,0.254903,[ 6 61] ; [ 4 57],[ 5.234375 61.765625] ; [ 4.765625 56.234375],0
n1,1,0.628531,0.234058,[10 17] ; [13 17],[10.89473684 16.10526316] ; [12.10526316 17.89473684],0
s5,1,0.65456,0.2002,[11 56] ; [ 8 51],[10.1031746 56.8968254] ; [ 8.8968254 50.1031746],0
d4,1,0.691948,0.156984,[46 23] ; [38 22],[44.93023256 24.06976744] ; [39.06976744 20.93023256],0
r2,1,0.733594,0.115837,[56 12] ; [48 12],[55.25 12.75] ; [48.75 11.25],0
a5,1,0.809038,0.058403,[37 32] ; [34 27],[37.68461538 31.31538462] ; [33.31538462 27.68461538],0
u3,1,0.812768,0.056101,[17 15] ; [13 13],[16.55172414 15.44827586] ; [13.44827586 12.55172414],0
n4,1,0.862118,0.030164,[44 25] ; [38 23],[43.52307692 25.47692308] ; [38.47692308 22.52307692],0
u2,1,0.866973,0.028058,[13 19] ; [10 16],[12.68965517 19.31034483] ; [10.31034483 15.68965517],0
a6,1,0.875588,0.024513,[37 32] ; [33 27],[37.44186047 31.55813953] ; [32.55813953 27.44186047],0
v1,1,0.888045,0.019818,[16 52] ; [15 46],[16.34108527 51.65891473] ; [14.65891473 46.34108527],0
p5,1,0.897427,0.016618,[ 5 64] ; [ 4 56],[ 4.81395349 64.18604651] ; [ 4.18604651 55.81395349],0
u4,1,0.929978,0.007722,[ 1 68] ; [ 1 60],[ 1.06153846 67.93846154] ; [ 0.93846154 60.06153846],0
p12,1,0.938261,0.005999,[ 1 67] ; [ 1 60],[ 1.05426357 66.94573643] ; [ 0.94573643 60.05426357],0
b4,1,0.939301,0.005799,[38 31] ; [34 27],[38.21538462 30.78461538] ; [33.78461538 27.21538462],0
u1,1,0.98312,0.000448,[ 8 61] ; [ 7 54],[ 7.96153846 61.03846154] ; [ 7.03846154 53.96153846],0
