Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.4e-05,18.8279,[324 182] ; [23 41],[308.03859649 197.96140351] ; [38.96140351 25.03859649],1
n6,1,2.1e-05,18.098645,[471  33] ; [49 14],[462.22222222  41.77777778] ; [57.77777778  5.22222222],1
a5,1,5.3e-05,16.342944,[399 106] ; [36 28],[386.07205624 118.92794376] ; [48.92794376 15.07205624],1
r1,1,0.000369,12.683806,[417  87] ; [41 23],[406.3943662  97.6056338] ; [51.6056338 12.3943662],1
d2,1,0.000398,12.540146,[267 235] ; [19 45],[253.66077739 248.33922261] ; [32.33922261 31.66077739],1
d5,1,0.000419,12.445496,[422  82] ; [42 22],[411.71830986  92.28169014] ; [52.28169014 11.71830986],1
r2,1,0.000599,11.779231,[477  24] ; [54 10],[470.85132743  30.14867257] ; [60.14867257  3.85132743],1
a4,1,0.001532,10.039322,[247 256] ; [18 46],[235.08818342 267.91181658] ; [29.91181658 34.08818342],0
v3,1,0.00209,9.468446,[226 261] ; [16 46],[214.67030965 272.32969035] ; [27.32969035 34.67030965],0
p3,1,0.003701,8.425187,[284 217] ; [24 40],[273.11150442 227.88849558] ; [34.88849558 29.11150442],0
p4,1,0.009521,6.722421,[340 161] ; [33 31],[330.74867257 170.25132743] ; [42.25132743 21.74867257],0
r4,1,0.017397,5.655833,[465  41] ; [53 11],[459.83859649  46.16140351] ; [58.16140351  5.83859649],0
s4,1,0.01788,5.607883,[ 74 421] ; [17 47],[ 80.58139535 414.41860465] ; [10.41860465 53.58139535],0
s7,1,0.021001,5.326721,[261 220] ; [24 38],[252.45856354 228.54143646] ; [32.54143646 29.45856354],0
s3,1,0.024542,5.055945,[296 197] ; [29 35],[287.65709156 205.34290844] ; [37.34290844 26.65709156],0
u1,1,0.035326,4.429355,[103 403] ; [ 6 58],[ 96.76140351 409.23859649] ; [12.23859649 51.76140351],0
a3,1,0.035872,4.403197,[377 127] ; [40 24],[370.01408451 133.98591549] ; [46.98591549 17.01408451],0
p6,1,0.042252,4.125097,[205 291] ; [18 46],[197.51428571 298.48571429] ; [25.48571429 38.51428571],0
p5,1,0.045717,3.992008,[ 78 422] ; [ 4 60],[ 72.69503546 427.30496454] ; [ 9.30496454 54.69503546],0
p2,1,0.046876,3.949824,[437  64] ; [50 14],[431.83539823  69.16460177] ; [55.16460177  8.83539823],0
p12,1,0.048641,3.887699,[ 55 444] ; [ 2 62],[ 50.52042629 448.47957371] ; [ 6.47957371 57.52042629],0
p10,1,0.05346,3.729466,[453  47] ; [53 11],[448.58156028  51.41843972] ; [57.41843972  6.58156028],0
s5,1,0.05361,3.724796,[178 308] ; [15 47],[171.16423358 314.83576642] ; [21.83576642 40.16423358],0
a2,1,0.055713,3.66061,[135 371] ; [10 54],[128.71929825 377.28070175] ; [16.28070175 47.71929825],0
n1,1,0.071125,3.25686,[36 46] ; [ 5 17],[32.32692308 49.67307692] ; [ 8.67307692 13.32692308],0
d4,1,0.072499,3.22552,[415  87] ; [47 17],[409.75971731  92.24028269] ; [52.24028269 11.75971731],0
s2,1,0.075168,3.166391,[272 225] ; [27 36],[265.3625 231.6375] ; [33.6375 29.3625],0
s6,1,0.091939,2.840093,[351 142] ; [39 25],[345.18850987 147.81149013] ; [44.81149013 19.18850987],0
a8,1,0.120044,2.416752,[ 73 384] ; [ 5 55],[ 68.94777563 388.05222437] ; [ 9.05222437 50.94777563],0
v4,1,0.131004,2.280564,[484  19] ; [59  5],[481.70899471  21.29100529] ; [61.29100529  2.70899471],0
v1,1,0.13847,2.194878,[296 193] ; [32 31],[290.56521739 198.43478261] ; [37.43478261 25.56521739],0
s8,1,0.150268,2.06953,[243 257] ; [25 39],[237.58865248 262.41134752] ; [30.41134752 33.58865248],0
p1,1,0.172697,1.859372,[ 50 452] ; [ 3 61],[ 47.00706714 454.99293286] ; [ 5.99293286 58.00706714],0
v2,1,0.243129,1.362362,[291 192] ; [32 29],[286.78125 196.21875] ; [36.21875 24.78125],0
r3,1,0.253694,1.302845,[485  17] ; [60  4],[483.3745583  18.6254417] ; [61.6254417  2.3745583],0
p8,1,0.295378,1.094945,[295 197] ; [34 30],[291.1294964 200.8705036] ; [37.8705036 26.1294964],0
u3,1,0.296542,1.08968,[74 55] ; [11 13],[71.66666667 57.33333333] ; [13.33333333 10.66666667],0
n3,1,0.30366,1.058054,[63 20] ; [15  8],[61.0754717 21.9245283] ; [16.9245283  6.0754717],0
a7,1,0.396197,0.719837,[356 147] ; [42 22],[353.07583774 149.92416226] ; [44.92416226 19.07583774],0
p9,1,0.404387,0.695242,[452  46] ; [56  8],[450.14946619  47.85053381] ; [57.85053381  6.14946619],0
p7,1,0.451107,0.567869,[338 154] ; [39 22],[335.41410488 156.58589512] ; [41.58589512 19.41410488],0
b2,1,0.489099,0.478509,[133 197] ; [12 23],[131.09589041 198.90410959] ; [13.90410959 21.09589041],0
b3,1,0.489099,0.478509,[133 197] ; [12 23],[131.09589041 198.90410959] ; [13.90410959 21.09589041],0
d3,1,0.541736,0.372332,[342 162] ; [41 23],[339.84507042 164.15492958] ; [43.15492958 20.84507042],0
n2,1,0.653084,0.202035,[65 18] ; [19  4],[65.77358491 17.22641509] ; [18.22641509  4.77358491],0
b5,1,0.66463,0.187948,[294 212] ; [39 25],[295.61052632 210.38947368] ; [37.38947368 26.61052632],0
u2,1,0.66882,0.182986,[74 54] ; [15  9],[74.94736842 53.05263158] ; [14.05263158  9.94736842],0
a6,1,0.730608,0.118554,[351 152] ; [46 18],[352.18871252 150.81128748] ; [44.81128748 19.18871252],0
b4,1,0.73122,0.117995,[297 209] ; [39 25],[298.27368421 207.72631579] ; [37.72631579 26.27368421],0
b1,1,0.742584,0.107868,[187 319] ; [25 39],[188.19649123 317.80350877] ; [23.80350877 40.19649123],0
u4,1,0.795571,0.067124,[ 13 492] ; [ 2 62],[ 13.31282953 491.68717047] ; [ 1.68717047 62.31282953],0
