Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.8e-05,17.529506,[25 12] ; [ 4 23],[16.765625 20.234375] ; [12.234375 14.765625],1
p3,1,0.000226,13.600936,[25 12] ; [ 6 22],[17.64615385 19.35384615] ; [13.35384615 14.64615385],1
p6,1,0.000898,11.026103,[18 18] ; [ 3 25],[11.8125 24.1875] ; [ 9.1875 18.8125],1
p4,1,0.004632,8.017614,[25 12] ; [ 9 19],[19.35384615 17.64615385] ; [14.64615385 13.35384615],0
p2,1,0.017461,5.649388,[31  6] ; [16 12],[26.75384615 10.24615385] ; [20.24615385  7.75384615],0
p11,1,0.034197,4.48485,[29  8] ; [15 13],[25.04615385 11.95384615] ; [18.95384615  9.04615385],0
b4,1,0.062189,3.478031,[28  9] ; [15 13],[24.47692308 12.52307692] ; [18.52307692  9.47692308],0
a5,1,0.062189,3.478031,[28  9] ; [15 13],[24.47692308 12.52307692] ; [18.52307692  9.47692308],0
v4,1,0.088794,2.896099,[35  1] ; [24  4],[33.1875  2.8125] ; [25.8125  2.1875],0
s6,1,0.12363,2.370725,[34  3] ; [22  6],[31.87692308  5.12307692] ; [24.12307692  3.87692308],0
n3,1,0.125695,2.344877,[10  4] ; [5 7],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
r4,1,0.130845,2.282453,[33  4] ; [21  7],[30.73846154  6.26153846] ; [23.26153846  4.73846154],0
s8,1,0.141912,2.157106,[20 17] ; [10 18],[17.07692308 19.92307692] ; [12.92307692 15.07692308],0
p1,1,0.160211,1.97223,[ 7 29] ; [ 2 26],[ 5.0625 30.9375] ; [ 3.9375 24.0625],0
s3,1,0.207673,1.587576,[26 10] ; [16 12],[23.625 12.375] ; [18.375  9.625],0
p9,1,0.208962,1.578604,[32  5] ; [20  7],[30.0625  6.9375] ; [21.9375  5.0625],0
s7,1,0.215674,1.532925,[18 16] ; [10 17],[15.60655738 18.39344262] ; [12.39344262 14.60655738],0
p10,1,0.230186,1.439711,[31  6] ; [20  8],[29.03076923  7.96923077] ; [21.96923077  6.03076923],0
v2,1,0.23453,1.413178,[22 15] ; [12 15],[19.65625 17.34375] ; [14.34375 12.65625],0
v3,1,0.234563,1.412978,[13 23] ; [ 6 21],[10.85714286 25.14285714] ; [ 8.14285714 18.85714286],0
r1,1,0.248524,1.331582,[27 10] ; [16 11],[24.859375 12.140625] ; [18.140625  8.859375],0
n5,1,0.271187,1.210731,[11 26] ; [ 5 23],[ 9.10769231 27.89230769] ; [ 6.89230769 21.10769231],0
