Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8.4e-05,15.455713,[53  7] ; [11 12],[46.26506024 13.73493976] ; [17.73493976  5.26506024],1
p9,1,0.000539,11.975349,[54  6] ; [13 10],[48.43373494 11.56626506] ; [18.56626506  4.43373494],1
p10,1,0.002049,9.505034,[49 11] ; [11 12],[43.37349398 16.62650602] ; [16.62650602  6.37349398],0
v3,1,0.007076,7.253582,[29 29] ; [ 4 19],[23.62962963 34.37037037] ; [ 9.37037037 13.62962963],0
d1,1,0.010722,6.510829,[37 23] ; [ 7 16],[31.80722892 28.19277108] ; [12.19277108 10.80722892],0
a3,1,0.033221,4.534346,[45 14] ; [12 11],[41.01219512 17.98780488] ; [15.98780488  7.01219512],0
v1,1,0.039375,4.244634,[36 24] ; [ 8 15],[31.80722892 28.19277108] ; [12.19277108 10.80722892],0
p4,1,0.065527,3.391665,[44 16] ; [12 11],[40.48192771 19.51807229] ; [15.51807229  7.48192771],0
n6,1,0.069952,3.284149,[52  8] ; [16  7],[49.15662651 10.84337349] ; [18.84337349  4.15662651],0
s8,1,0.090159,2.871535,[22 38] ; [ 4 19],[18.79518072 41.20481928] ; [ 7.20481928 15.79518072],0
b2,1,0.097069,2.753056,[24 13] ; [5 8],[21.46 15.54] ; [7.54 5.46],0
b3,1,0.097069,2.753056,[24 13] ; [5 8],[21.46 15.54] ; [7.54 5.46],0
u3,1,0.125695,2.344877,[ 5 10] ; [7 4],[6.92307692 8.07692308] ; [5.07692308 5.92307692],0
a5,1,0.127374,2.324221,[42 18] ; [12 11],[39.03614458 20.96385542] ; [14.96385542  8.03614458],0
p3,1,0.134527,2.239474,[37 23] ; [10 13],[33.97590361 26.02409639] ; [13.02409639  9.97590361],0
b5,1,0.148506,2.08753,[34 26] ; [17  6],[36.86746988 23.13253012] ; [14.13253012  8.86746988],0
b4,1,0.15242,2.047865,[34 26] ; [ 9 14],[31.08433735 28.91566265] ; [11.91566265 11.08433735],0
d5,1,0.160653,1.968064,[45 15] ; [13  9],[42.43902439 17.56097561] ; [15.56097561  6.43902439],0
u2,1,0.183902,1.765803,[7 8] ; [8 3],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
p8,1,0.22184,1.49243,[40 20] ; [12 11],[37.59036145 22.40963855] ; [14.40963855  8.59036145],0
a7,1,0.270679,1.213305,[45 15] ; [19  3],[46.82926829 13.17073171] ; [17.17073171  4.82926829],0
v2,1,0.305091,1.051807,[35 23] ; [11 12],[32.9382716 25.0617284] ; [13.0617284  9.9382716],0
r3,1,0.311912,1.022564,[53  7] ; [22  1],[54.21686747  5.78313253] ; [20.78313253  2.21686747],0
d2,1,0.328181,0.956063,[28 32] ; [ 8 15],[26.02409639 33.97590361] ; [ 9.97590361 13.02409639],0
b1,1,0.352487,0.864483,[22 38] ; [11 12],[23.85542169 36.14457831] ; [ 9.14457831 13.85542169],0
s4,1,0.354527,0.857189,[ 6 54] ; [ 4 19],[ 7.22891566 52.77108434] ; [ 2.77108434 20.22891566],0
u1,1,0.461016,0.543427,[12 48] ; [ 3 20],[10.84337349 49.15662651] ; [ 4.15662651 18.84337349],0
d4,1,0.465428,0.532809,[44 16] ; [15  8],[42.65060241 17.34939759] ; [16.34939759  6.65060241],0
a1,1,0.475892,0.508262,[ 1 59] ; [ 1 22],[ 1.44578313 58.55421687] ; [ 0.55421687 22.44578313],0
s2,1,0.505366,0.44365,[14 46] ; [ 7 16],[15.18072289 44.81927711] ; [ 5.81927711 17.18072289],0
r2,1,0.519155,0.415571,[54  5] ; [22  1],[54.68292683  4.31707317] ; [21.31707317  1.68292683],0
n3,1,0.530801,0.392857,[12  2] ; [6 2],[11.45454545  2.54545455] ; [6.54545455 1.45454545],0
a4,1,0.629145,0.233222,[27 33] ; [ 9 14],[26.02409639 33.97590361] ; [ 9.97590361 13.02409639],0
a8,1,0.630527,0.231347,[ 5 46] ; [ 3 19],[ 5.5890411 45.4109589] ; [ 2.4109589 19.5890411],0
p11,1,0.667919,0.184045,[47 13] ; [17  6],[46.26506024 13.73493976] ; [17.73493976  5.26506024],0
p12,1,0.69108,0.157919,[ 4 56] ; [ 1 22],[ 3.61445783 56.38554217] ; [ 1.38554217 21.61445783],0
n1,1,0.697161,0.151442,[6 7] ; [3 5],[5.57142857 7.42857143] ; [3.42857143 4.57142857],0
s3,1,0.724888,0.123858,[18 42] ; [ 6 17],[17.34939759 42.65060241] ; [ 6.65060241 16.34939759],0
p7,1,0.730167,0.118958,[47 13] ; [18  4],[47.56097561 12.43902439] ; [17.43902439  4.56097561],0
r1,1,0.850091,0.035722,[43 17] ; [16  7],[42.65060241 17.34939759] ; [16.34939759  6.65060241],0
n2,1,0.856417,0.032738,[10  4] ; [6 2],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
d3,1,0.859791,0.031202,[39 20] ; [15  7],[39.33333333 19.66666667] ; [14.66666667  7.33333333],0
p1,1,0.863075,0.029743,[ 7 53] ; [ 3 20],[ 7.22891566 52.77108434] ; [ 2.77108434 20.22891566],0
p2,1,0.901185,0.015417,[57  3] ; [22  1],[57.10843373  2.89156627] ; [21.89156627  1.10843373],0
a6,1,0.913759,0.011729,[41 19] ; [16  7],[41.20481928 18.79518072] ; [15.79518072  7.20481928],0
s5,1,0.921259,0.009771,[10 48] ; [ 4 18],[10.15 47.85] ; [ 3.85 18.15],0
r4,1,0.937107,0.006226,[50 10] ; [19  4],[49.87951807 10.12048193] ; [19.12048193  3.87951807],0
s7,1,0.963865,0.002052,[23 34] ; [ 9 13],[23.08860759 33.91139241] ; [ 8.91139241 13.08860759],0
a2,1,0.994279,5.1e-05,[13 47] ; [ 5 18],[13.01204819 46.98795181] ; [ 4.98795181 18.01204819],0
