Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000196,13.865989,[20 65] ; [29 24],[30.18115942 54.81884058] ; [18.81884058 34.18115942],1
v3,1,0.005903,7.579535,[16 67] ; [21 30],[22.91791045 60.08208955] ; [14.08208955 36.91791045],0
r3,1,0.015254,5.886876,[60 25] ; [46  6],[65.76642336 19.23357664] ; [40.23357664 11.76642336],0
d3,1,0.020929,5.332665,[39 46] ; [35 18],[45.57971014 39.42028986] ; [28.42028986 24.57971014],0
p8,1,0.024668,5.047062,[17 67] ; [20 33],[22.68613139 61.31386861] ; [14.31386861 38.68613139],0
v4,1,0.028253,4.812538,[60 25] ; [46  7],[65.28985507 19.71014493] ; [40.71014493 12.28985507],0
p2,1,0.032268,4.584186,[37 48] ; [33 20],[43.11594203 41.88405797] ; [26.88405797 26.11594203],0
a7,1,0.044144,4.051054,[44 41] ; [36 16],[49.6350365 35.3649635] ; [30.3649635 21.6350365],0
d4,1,0.059172,3.560432,[54 31] ; [41 11],[58.94160584 26.05839416] ; [36.05839416 15.94160584],0
n2,1,0.061469,3.49729,[19 21] ; [12  4],[22.14285714 17.85714286] ; [8.85714286 7.14285714],0
p4,1,0.069316,3.299145,[27 58] ; [25 28],[32.02898551 52.97101449] ; [19.97101449 33.02898551],0
s4,1,0.074104,3.189697,[18 66] ; [ 5 47],[14.20588235 69.79411765] ; [ 8.79411765 43.20588235],0
a1,1,0.08163,3.032155,[ 8 77] ; [ 1 52],[ 5.54347826 79.45652174] ; [ 3.45652174 49.54347826],0
s8,1,0.085536,2.956435,[10 74] ; [12 40],[13.58823529 70.41176471] ; [ 8.41176471 43.58823529],0
n3,1,0.091664,2.84491,[17 20] ; [12  5],[19.87037037 17.12962963] ; [9.12962963 7.87037037],0
d1,1,0.093884,2.806477,[31 54] ; [27 26],[35.72463768 49.27536232] ; [22.27536232 30.72463768],0
s1,1,0.111608,2.531297,[10 75] ; [ 2 50],[ 7.44525547 77.55474453] ; [ 4.55474453 47.44525547],0
s6,1,0.132559,2.26228,[31 53] ; [26 26],[35.20588235 48.79411765] ; [21.79411765 30.20588235],0
a2,1,0.13697,2.211676,[11 74] ; [12 41],[14.16666667 70.83333333] ; [ 8.83333333 44.16666667],0
b5,1,0.15341,2.038012,[44 41] ; [34 19],[48.04347826 36.95652174] ; [29.95652174 23.04347826],0
b4,1,0.166602,1.913256,[46 39] ; [35 18],[49.89130435 35.10869565] ; [31.10869565 21.89130435],0
p6,1,0.192682,1.696993,[14 70] ; [13 37],[16.92537313 67.07462687] ; [10.07462687 39.92537313],0
a6,1,0.227073,1.459103,[44 41] ; [33 20],[47.42753623 37.57246377] ; [29.57246377 23.42753623],0
n5,1,0.252431,1.309798,[47 38] ; [24 29],[43.73188406 41.26811594] ; [27.26811594 25.73188406],0
u3,1,0.264474,1.245185,[22 19] ; [ 9 14],[19.859375 21.140625] ; [11.140625 11.859375],0
n6,1,0.299443,1.076673,[48 36] ; [35 18],[50.89051095 33.10948905] ; [32.10948905 20.89051095],0
u1,1,0.310522,1.028453,[ 8 77] ; [ 8 45],[ 9.85507246 75.14492754] ; [ 6.14492754 46.85507246],0
p5,1,0.382108,0.763909,[ 4 80] ; [ 1 52],[ 3.06569343 80.93430657] ; [ 1.93430657 51.06569343],0
a5,1,0.392267,0.731903,[45 40] ; [32 21],[47.42753623 37.57246377] ; [29.57246377 23.42753623],0
d5,1,0.394088,0.72629,[55 30] ; [38 15],[57.2826087 27.7173913] ; [35.7173913 17.2826087],0
u2,1,0.413626,0.668355,[17 24] ; [11 10],[18.51612903 22.48387097] ; [ 9.48387097 11.51612903],0
d2,1,0.430002,0.622818,[43 41] ; [23 29],[40.76470588 43.23529412] ; [25.23529412 26.76470588],0
s5,1,0.440946,0.59382,[11 73] ; [ 9 41],[12.53731343 71.46268657] ; [ 7.46268657 42.53731343],0
r2,1,0.447751,0.576339,[67 17] ; [45  8],[68.67153285 15.32846715] ; [43.32846715  9.67153285],0
r4,1,0.448827,0.573612,[54 31] ; [37 16],[56.05072464 28.94927536] ; [34.94927536 18.05072464],0
r1,1,0.448827,0.573612,[54 31] ; [37 16],[56.05072464 28.94927536] ; [34.94927536 18.05072464],0
p11,1,0.453521,0.561837,[33 52] ; [24 29],[35.10869565 49.89130435] ; [21.89130435 31.10869565],0
s2,1,0.462748,0.539239,[23 61] ; [17 34],[24.88888889 59.11111111] ; [15.11111111 35.88888889],0
b2,1,0.523921,0.406167,[15 41] ; [10 20],[16.27906977 39.72093023] ; [ 8.72093023 21.27906977],0
b3,1,0.523921,0.406167,[15 41] ; [10 20],[16.27906977 39.72093023] ; [ 8.72093023 21.27906977],0
p7,1,0.553897,0.350382,[31 54] ; [22 31],[32.64492754 52.35507246] ; [20.35507246 32.64492754],0
s3,1,0.584572,0.298901,[33 51] ; [18 34],[31.5 52.5] ; [19.5 32.5],0
a3,1,0.62909,0.233297,[44 40] ; [30 23],[45.37226277 38.62773723] ; [28.62773723 24.37226277],0
a8,1,0.63857,0.220617,[ 4 79] ; [ 3 41],[ 4.57480315 78.42519685] ; [ 2.42519685 41.57480315],0
s7,1,0.641487,0.216803,[16 62] ; [12 38],[17.0625 60.9375] ; [10.9375 39.0625],0
