Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000138,14.523517,[6 1] ; [ 1 15],[2.13043478 4.86956522] ; [ 4.86956522 11.13043478],1
s8,1,0.003896,8.331823,[9 6] ; [ 5 24],[ 4.77272727 10.22727273] ; [ 9.22727273 19.77272727],0
r1,1,0.006027,7.542133,[10  5] ; [ 7 22],[5.79545455 9.20454545] ; [11.20454545 17.79545455],0
n3,1,0.02767,4.848485,[2 6] ; [9 3],[4.4 3.6] ; [6.6 5.4],0
d4,1,0.036699,4.364307,[13  2] ; [16 13],[9.88636364 5.11363636] ; [19.11363636  9.88636364],0
b3,1,0.036966,4.351974,[5 4] ; [ 3 15],[2.66666667 6.33333333] ; [ 5.33333333 12.66666667],0
b2,1,0.036966,4.351974,[5 4] ; [ 3 15],[2.66666667 6.33333333] ; [ 5.33333333 12.66666667],0
s5,1,0.049265,3.866288,[6 9] ; [ 4 25],[ 3.40909091 11.59090909] ; [ 6.59090909 22.40909091],0
v3,1,0.049265,3.866288,[6 9] ; [ 4 25],[ 3.40909091 11.59090909] ; [ 6.59090909 22.40909091],0
p10,1,0.058319,3.584543,[13  2] ; [17 12],[10.22727273  4.77272727] ; [19.77272727  9.22727273],0
a4,1,0.067504,3.342691,[ 1 14] ; [ 9 20],[ 3.40909091 11.59090909] ; [ 6.59090909 22.40909091],0
v1,1,0.092393,2.832184,[8 7] ; [ 8 21],[5.45454545 9.54545455] ; [10.54545455 18.45454545],0
p3,1,0.092393,2.832184,[8 7] ; [ 8 21],[5.45454545 9.54545455] ; [10.54545455 18.45454545],0
s3,1,0.098416,2.731034,[6 9] ; [ 5 24],[ 3.75 11.25] ; [ 7.25 21.75],0
s6,1,0.11179,2.528736,[10  5] ; [12 17],[7.5 7.5] ; [14.5 14.5],0
d1,1,0.135397,2.229502,[ 2 13] ; [10 19],[ 4.09090909 10.90909091] ; [ 7.90909091 21.09090909],0
d5,1,0.166993,1.909736,[11  4] ; [15 14],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
p4,1,0.166993,1.909736,[11  4] ; [15 14],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
p9,1,0.198672,1.652107,[13  2] ; [20  9],[11.25  3.75] ; [21.75  7.25],0
b5,1,0.241126,1.373999,[6 9] ; [17 12],[7.84090909 7.15909091] ; [15.15909091 13.84090909],0
p8,1,0.241126,1.373999,[9 6] ; [12 17],[7.15909091 7.84090909] ; [13.84090909 15.15909091],0
b1,1,0.245513,1.348659,[10  5] ; [14 15],[8.18181818 6.81818182] ; [15.81818182 13.18181818],0
s2,1,0.27433,1.194969,[6 9] ; [ 7 22],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
d2,1,0.318236,0.996184,[ 3 12] ; [10 19],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
v4,1,0.318236,0.996184,[12  3] ; [19 10],[10.56818182  4.43181818] ; [20.43181818  8.56818182],0
b4,1,0.340023,0.910345,[6 9] ; [16 13],[7.5 7.5] ; [14.5 14.5],0
a5,1,0.340023,0.910345,[9 6] ; [13 16],[7.5 7.5] ; [14.5 14.5],0
u2,1,0.340144,0.90989,[5 2] ; [8 8],[3.95652174 3.04347826] ; [9.04347826 6.95652174],0
a8,1,0.434618,0.61045,[ 1 14] ; [ 4 23],[ 1.78571429 13.21428571] ; [ 3.21428571 23.78571429],0
d3,1,0.450335,0.569808,[7 8] ; [17 12],[8.18181818 6.81818182] ; [15.81818182 13.18181818],0
n2,1,0.456057,0.555556,[4 4] ; [8 4],[4.8 3.2] ; [7.2 4.8],0
n4,1,0.462297,0.540328,[10  5] ; [16 13],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
p7,1,0.462297,0.540328,[10  5] ; [16 13],[8.86363636 6.13636364] ; [17.13636364 11.86363636],0
s4,1,0.462522,0.539785,[ 4 11] ; [ 5 24],[ 3.06818182 11.93181818] ; [ 5.93181818 23.06818182],0
p6,1,0.516211,0.421456,[ 5 10] ; [ 7 22],[ 4.09090909 10.90909091] ; [ 7.90909091 21.09090909],0
a6,1,0.592346,0.286695,[8 7] ; [13 16],[7.15909091 7.84090909] ; [13.84090909 15.15909091],0
a3,1,0.592346,0.286695,[8 7] ; [13 16],[7.15909091 7.84090909] ; [13.84090909 15.15909091],0
p5,1,0.593636,0.284702,[ 3 12] ; [ 4 25],[ 2.38636364 12.61363636] ; [ 4.61363636 24.38636364],0
n5,1,0.603364,0.269952,[10  5] ; [17 12],[9.20454545 5.79545455] ; [17.79545455 11.20454545],0
u1,1,0.627099,0.236015,[ 1 14] ; [ 1 28],[ 0.68181818 14.31818182] ; [ 1.31818182 27.68181818],0
s1,1,0.627099,0.236015,[ 1 14] ; [ 1 28],[ 0.68181818 14.31818182] ; [ 1.31818182 27.68181818],0
n1,1,0.648077,0.208333,[2 6] ; [ 2 10],[1.6 6.4] ; [2.4 9.6],0
p11,1,0.653827,0.201109,[11  4] ; [23  6],[11.59090909  3.40909091] ; [22.40909091  6.59090909],0
a7,1,0.750455,0.101149,[7 8] ; [15 14],[7.5 7.5] ; [14.5 14.5],0
r4,1,0.763406,0.090608,[ 4 11] ; [ 9 20],[ 4.43181818 10.56818182] ; [ 8.56818182 20.43181818],0
v2,1,0.763781,0.090312,[ 5 10] ; [11 18],[5.45454545 9.54545455] ; [10.54545455 18.45454545],0
