Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.548389,[124   4] ; [3 7],[117.79710145  10.20289855] ; [9.20289855 0.79710145],1
r2,1,0.0,33.430233,[124   4] ; [5 5],[119.65217391   8.34782609] ; [9.34782609 0.65217391],1
p11,1,1e-06,23.766916,[108  20] ; [2 8],[102.02898551  25.97101449] ; [7.97101449 2.02898551],1
r3,1,5e-06,20.806154,[120   8] ; [5 5],[115.94202899  12.05797101] ; [9.05797101 0.94202899],1
n6,1,0.000374,12.659987,[106  22] ; [3 6],[101.83941606  26.16058394] ; [7.16058394 1.83941606],1
s1,1,0.002353,9.251226,[  6 117] ; [3 7],[  8.32330827 114.67669173] ; [0.67669173 9.32330827],0
n3,1,0.005092,7.846376,[20  6] ; [1 5],[17.0625  8.9375] ; [3.9375 2.0625],0
p9,1,0.008899,6.842899,[96 28] ; [4 6],[92.53731343 31.46268657] ; [7.46268657 2.53731343],0
a1,1,0.011731,6.351136,[  4 124] ; [2 8],[  5.56521739 122.43478261] ; [0.43478261 9.56521739],0
a7,1,0.013533,6.098095,[87 40] ; [3 7],[83.43065693 43.56934307] ; [6.56934307 3.43065693],0
p10,1,0.014797,5.940466,[93 30] ; [4 6],[89.70676692 33.29323308] ; [7.29323308 2.70676692],0
a6,1,0.02227,5.224599,[84 43] ; [3 7],[80.64963504 46.35036496] ; [6.35036496 3.64963504],0
n2,1,0.049602,3.854875,[24  4] ; [3 3],[22.23529412  5.76470588] ; [4.76470588 1.23529412],0
v3,1,0.051991,3.776074,[51 73] ; [1 9],[48.11940299 75.88059701] ; [3.88059701 6.11940299],0
d3,1,0.078631,3.092973,[62 65] ; [2 8],[59.32846715 67.67153285] ; [4.67153285 5.32846715],0
p2,1,0.121371,2.39954,[92 34] ; [5 5],[89.86764706 36.13235294] ; [7.13235294 2.86764706],0
n1,1,0.158147,1.991855,[13 14] ; [1 5],[11.45454545 15.54545455] ; [2.54545455 3.45454545],0
p3,1,0.171195,1.87245,[53 73] ; [2 8],[50.95588235 75.04411765] ; [4.04411765 5.95588235],0
u3,1,0.171401,1.870647,[33 22] ; [1 3],[31.69491525 23.30508475] ; [2.30508475 1.69491525],0
s5,1,0.178098,1.813426,[36 84] ; [1 9],[34.15384615 85.84615385] ; [2.84615385 7.15384615],0
v2,1,0.179823,1.799083,[63 58] ; [3 7],[60.96183206 60.03816794] ; [5.03816794 4.96183206],0
p8,1,0.205512,1.602764,[63 61] ; [3 7],[61.07462687 62.92537313] ; [4.92537313 5.07462687],0
d4,1,0.232207,1.427293,[64 63] ; [7 3],[65.81751825 61.18248175] ; [5.18248175 4.81751825],0
s6,1,0.233332,1.420436,[73 50] ; [4 6],[71.21052632 51.78947368] ; [5.78947368 4.21052632],0
b1,1,0.296285,1.090841,[55 73] ; [6 4],[56.57971014 71.42028986] ; [4.42028986 5.57971014],0
b5,1,0.344251,0.894536,[71 57] ; [4 6],[69.56521739 58.43478261] ; [5.43478261 4.56521739],0
n4,1,0.470016,0.521939,[90 37] ; [6 4],[88.99270073 38.00729927] ; [7.00729927 2.99270073],0
a5,1,0.47686,0.506036,[78 49] ; [5 5],[76.94160584 50.05839416] ; [6.05839416 3.94160584],0
s7,1,0.527105,0.399969,[53 67] ; [3 6],[52.09302326 67.90697674] ; [3.90697674 5.09302326],0
v1,1,0.54264,0.370668,[63 63] ; [4 6],[62.07352941 63.92647059] ; [4.92647059 5.07352941],0
n5,1,0.553676,0.350773,[87 39] ; [6 4],[86.16176471 39.83823529] ; [6.83823529 3.16176471],0
b4,1,0.561998,0.336257,[76 52] ; [5 5],[75.13043478 52.86956522] ; [5.86956522 4.13043478],0
a3,1,0.57626,0.312319,[72 54] ; [6 3],[72.8 53.2] ; [5.2 3.8],0
p7,1,0.635053,0.225271,[71 52] ; [5 5],[70.28571429 52.71428571] ; [5.71428571 4.28571429],0
d1,1,0.643686,0.213953,[  8 120] ; [1 9],[  8.34782609 119.65217391] ; [0.65217391 9.34782609],0
a4,1,0.67096,0.180481,[30 95] ; [3 7],[30.55555556 94.44444444] ; [2.44444444 7.55555556],0
d2,1,0.682825,0.166963,[31 97] ; [3 7],[31.53623188 96.46376812] ; [2.46376812 7.53623188],0
s2,1,0.692589,0.156297,[54 70] ; [5 5],[54.59701493 69.40298507] ; [4.40298507 5.59701493],0
p1,1,0.706711,0.141585,[ 18 108] ; [1 9],[ 17.60294118 108.39705882] ; [1.39705882 8.60294118],0
s4,1,0.733003,0.116372,[ 20 106] ; [2 8],[ 20.38235294 105.61764706] ; [1.61764706 8.38235294],0
p4,1,0.735464,0.114154,[56 67] ; [4 6],[55.4887218 67.5112782] ; [4.5112782 5.4887218],0
u2,1,0.749176,0.102225,[32 23] ; [2 2],[31.69491525 23.30508475] ; [2.30508475 1.69491525],0
