Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,9.5e-05,15.237286,[28 66] ; [28 15],[38.42335766 55.57664234] ; [17.57664234 25.42335766],1
p9,1,0.005066,7.855715,[76 18] ; [25 18],[69.29927007 24.70072993] ; [31.70072993 11.29927007],0
r2,1,0.006392,7.436345,[86  5] ; [34  9],[81.49253731  9.50746269] ; [38.50746269  4.49253731],0
r4,1,0.013801,6.06341,[85  9] ; [32 11],[80.27737226 13.72262774] ; [36.72262774  6.27737226],0
a7,1,0.020795,5.34392,[72 21] ; [25 18],[66.33088235 26.66911765] ; [30.66911765 12.33088235],0
p10,1,0.030273,4.69374,[71 22] ; [25 18],[65.64705882 27.35294118] ; [30.35294118 12.64705882],0
u2,1,0.071854,3.240153,[13 16] ; [11  4],[15.81818182 13.18181818] ; [8.18181818 6.81818182],0
v2,1,0.084753,2.971318,[49 42] ; [15 25],[44.45801527 46.54198473] ; [19.54198473 20.45801527],0
n2,1,0.095108,2.785714,[15 10] ; [12  2],[17.30769231  7.69230769] ; [9.69230769 4.30769231],0
u3,1,0.101263,2.685543,[13 16] ; [10  4],[15.51162791 13.48837209] ; [7.48837209 6.51162791],0
v4,1,0.109993,2.554327,[89  4] ; [38  5],[86.84558824  6.15441176] ; [40.15441176  2.84558824],0
a8,1,0.13525,2.23119,[ 9 78] ; [ 1 38],[ 6.9047619 80.0952381] ; [ 3.0952381 35.9047619],0
s5,1,0.147197,2.101058,[28 62] ; [ 8 34],[24.54545455 65.45454545] ; [11.45454545 30.54545455],0
p6,1,0.193954,1.687322,[37 53] ; [12 29],[33.66412214 56.33587786] ; [15.33587786 25.66412214],0
n1,1,0.195801,1.673418,[ 3 22] ; [ 4 10],[ 4.48717949 20.51282051] ; [ 2.51282051 11.48717949],0
p4,1,0.222949,1.485291,[48 45] ; [27 16],[51.28676471 41.71323529] ; [23.71323529 19.28676471],0
n3,1,0.228863,1.447916,[23  2] ; [11  3],[21.79487179  3.20512821] ; [12.20512821  1.79487179],0
a1,1,0.242362,1.3668,[ 4 90] ; [ 4 39],[ 5.48905109 88.51094891] ; [ 2.51094891 40.48905109],0
r3,1,0.242362,1.3668,[90  4] ; [39  4],[88.51094891  5.48905109] ; [40.48905109  2.51094891],0
p2,1,0.289159,1.123535,[82 11] ; [35  8],[80.00735294 12.99264706] ; [36.99264706  6.00735294],0
p11,1,0.322315,0.979531,[71 23] ; [29 14],[68.61313869 25.38686131] ; [31.38686131 11.61313869],0
s3,1,0.38594,0.751697,[43 47] ; [24 19],[45.33834586 44.66165414] ; [21.66165414 21.33834586],0
p12,1,0.426859,0.631353,[ 5 89] ; [ 1 42],[ 4.11678832 89.88321168] ; [ 1.88321168 41.11678832],0
v3,1,0.437181,0.60367,[25 65] ; [ 9 33],[23.18181818 66.81818182] ; [10.81818182 31.18181818],0
s7,1,0.4438,0.586438,[38 56] ; [13 26],[36.04511278 57.95488722] ; [14.95488722 24.04511278],0
s2,1,0.462803,0.539107,[39 55] ; [15 28],[37.05109489 56.94890511] ; [16.94890511 26.05109489],0
s8,1,0.470669,0.520404,[34 59] ; [13 30],[32.13970588 60.86029412] ; [14.86029412 28.13970588],0
n4,1,0.480113,0.498608,[41 53] ; [16 27],[39.10948905 54.89051095] ; [17.89051095 25.10948905],0
d4,1,0.49499,0.465662,[74 20] ; [36  7],[75.47445255 18.52554745] ; [34.52554745  8.47445255],0
d5,1,0.496115,0.463237,[68 25] ; [29 14],[66.33088235 26.66911765] ; [30.66911765 12.33088235],0
d2,1,0.503453,0.447651,[38 56] ; [20 23],[39.79562044 54.20437956] ; [18.20437956 24.79562044],0
