Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.429684,[ 5 25] ; [67 19],[18.62068966 11.37931034] ; [53.37931034 32.62068966],1
r3,1,0.0,25.885096,[11 19] ; [73 13],[21.72413793  8.27586207] ; [62.27586207 23.72413793],1
p2,1,1e-06,24.087476,[ 7 22] ; [64 21],[18.06140351 10.93859649] ; [52.93859649 32.06140351],1
u2,1,2.7e-05,17.61726,[ 1 11] ; [23  6],[7.02439024 4.97560976] ; [16.97560976 12.02439024],1
p11,1,3.3e-05,17.233436,[ 6 24] ; [55 31],[15.77586207 14.22413793] ; [45.22413793 40.77586207],1
r1,1,0.000196,13.871106,[11 19] ; [64 22],[19.39655172 10.60344828] ; [55.60344828 30.39655172],1
p10,1,0.000205,13.78182,[ 5 24] ; [48 36],[13.60176991 15.39823009] ; [39.39823009 44.60176991],1
r2,1,0.000491,12.150673,[16 13] ; [74 12],[22.69565217  6.30434783] ; [67.30434783 18.69565217],1
p8,1,0.001067,10.707908,[ 3 26] ; [37 47],[10.26548673 18.73451327] ; [29.73451327 54.26548673],0
p7,1,0.003033,8.787225,[ 7 23] ; [45 37],[13.92857143 16.07142857] ; [38.07142857 43.92857143],0
p9,1,0.003104,8.745501,[10 19] ; [56 29],[16.78947368 12.21052632] ; [49.21052632 35.78947368],0
a1,1,0.003605,8.472883,[ 6 24] ; [ 3 83],[ 2.32758621 27.67241379] ; [ 6.67241379 79.32758621],0
s6,1,0.008467,6.931919,[ 4 26] ; [34 52],[ 9.82758621 20.17241379] ; [28.17241379 57.82758621],0
p3,1,0.021443,5.290462,[ 4 26] ; [30 54],[ 8.94736842 21.05263158] ; [25.05263158 58.94736842],0
d5,1,0.022261,5.225273,[16 14] ; [65 21],[20.94827586  9.05172414] ; [60.05172414 25.94827586],0
a6,1,0.032185,4.588596,[14 16] ; [59 27],[18.87931034 11.12068966] ; [54.12068966 31.87931034],0
v2,1,0.042162,4.128707,[ 7 22] ; [37 44],[11.6 17.4] ; [32.4 48.6],0
p4,1,0.043671,4.069228,[ 6 24] ; [34 50],[10.52631579 19.47368421] ; [29.47368421 54.52631579],0
n3,1,0.0697,3.290072,[7 9] ; [20  8],[9.81818182 6.18181818] ; [17.18181818 10.81818182],0
d3,1,0.075367,3.162078,[12 18] ; [50 35],[16.17391304 13.82608696] ; [45.82608696 39.17391304],0
b5,1,0.081469,3.035347,[13 17] ; [53 33],[17.06896552 12.93103448] ; [48.93103448 37.06896552],0
b3,1,0.110245,2.550704,[10 12] ; [12 34],[ 7.11764706 14.88235294] ; [14.88235294 31.11764706],0
b2,1,0.110245,2.550704,[10 12] ; [12 34],[ 7.11764706 14.88235294] ; [14.88235294 31.11764706],0
p1,1,0.123983,2.366267,[ 5 25] ; [ 6 79],[ 2.86956522 27.13043478] ; [ 8.13043478 76.86956522],0
v3,1,0.137866,2.201615,[ 4 25] ; [22 58],[ 6.91743119 22.08256881] ; [19.08256881 60.91743119],0
a7,1,0.166218,1.916726,[16 14] ; [58 28],[19.13793103 10.86206897] ; [54.86206897 31.13793103],0
b1,1,0.207445,1.589168,[19 11] ; [43 43],[16.03448276 13.96551724] ; [45.96551724 40.03448276],0
n1,1,0.209077,1.577804,[8 8] ; [ 9 20],[6.04444444 9.95555556] ; [10.95555556 18.04444444],0
v1,1,0.232017,1.428451,[ 8 22] ; [33 52],[10.69565217 19.30434783] ; [30.30434783 54.69565217],0
p6,1,0.250087,1.322815,[ 3 26] ; [16 65],[ 5.00909091 23.99090909] ; [13.99090909 67.00909091],0
s7,1,0.314615,1.011203,[ 3 25] ; [15 64],[ 4.71028037 23.28971963] ; [13.28971963 65.71028037],0
d4,1,0.326357,0.963299,[18 12] ; [60 26],[20.17241379  9.82758621] ; [57.82758621 28.17241379],0
