Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,4.9e-05,16.482273,[16  1] ; [12 23],[9.15384615 7.84615385] ; [18.84615385 16.15384615],1
d5,1,4.9e-05,16.482273,[16  1] ; [12 23],[9.15384615 7.84615385] ; [18.84615385 16.15384615],1
d3,1,5.4e-05,16.316962,[15  2] ; [10 25],[8.17307692 8.82692308] ; [16.82692308 18.17307692],1
d2,1,0.001659,9.893383,[11  5] ; [ 8 27],[ 5.96078431 10.03921569] ; [13.03921569 21.96078431],0
a4,1,0.00598,7.556169,[10  6] ; [ 8 27],[ 5.64705882 10.35294118] ; [12.35294118 22.64705882],0
a5,1,0.013543,6.096802,[13  4] ; [14 21],[8.82692308 8.17307692] ; [18.17307692 16.82692308],0
a7,1,0.022701,5.191261,[11  6] ; [11 24],[7.19230769 9.80769231] ; [14.80769231 20.19230769],0
n4,1,0.056107,3.648872,[13  4] ; [17 18],[9.80769231 7.19230769] ; [20.19230769 14.80769231],0
p3,1,0.060452,3.52493,[ 7 10] ; [ 6 29],[ 4.25 12.75] ; [ 8.75 26.25],0
p5,1,0.065555,3.390957,[ 3 14] ; [ 1 33],[ 1.33333333 15.66666667] ; [ 2.66666667 31.33333333],0
p2,1,0.12295,2.379328,[ 4 13] ; [16 19],[ 6.53846154 10.46153846] ; [13.46153846 21.53846154],0
n2,1,0.153046,2.041629,[3 7] ; [11  8],[4.82758621 5.17241379] ; [9.17241379 9.82758621],0
s5,1,0.17446,1.844196,[ 2 14] ; [ 1 34],[ 0.94117647 15.05882353] ; [ 2.05882353 32.94117647],0
a3,1,0.227385,1.457143,[12  5] ; [18 16],[10.  7.] ; [20. 14.],0
n1,1,0.244092,1.356807,[3 7] ; [10  9],[4.48275862 5.51724138] ; [ 8.51724138 10.48275862],0
s4,1,0.256585,1.287089,[ 4 13] ; [ 4 31],[ 2.61538462 14.38461538] ; [ 5.38461538 29.61538462],0
a6,1,0.279709,1.168503,[10  7] ; [15 20],[8.17307692 8.82692308] ; [16.82692308 18.17307692],0
n3,1,0.305507,1.05,[3 7] ; [9 9],[4.28571429 5.71428571] ; [ 7.71428571 10.28571429],0
a2,1,0.336598,0.923347,[ 3 14] ; [ 3 32],[ 1.96153846 15.03846154] ; [ 4.03846154 30.96153846],0
n6,1,0.38667,0.749388,[8 8] ; [13 22],[6.58823529 9.41176471] ; [14.41176471 20.58823529],0
p11,1,0.393438,0.728291,[ 3 14] ; [10 25],[ 4.25 12.75] ; [ 8.75 26.25],0
v2,1,0.435866,0.607143,[ 4 13] ; [ 5 29],[ 3. 14.] ; [ 6. 28.],0
p7,1,0.466672,0.529844,[ 4 12] ; [12 22],[ 5.12 10.88] ; [10.88 23.12],0
v4,1,0.48762,0.481773,[10  7] ; [17 18],[8.82692308 8.17307692] ; [18.17307692 16.82692308],0
r1,1,0.488247,0.480387,[ 7 10] ; [11 24],[ 5.88461538 11.11538462] ; [12.11538462 22.88461538],0
b4,1,0.493822,0.468187,[8 9] ; [20 15],[9.15384615 7.84615385] ; [18.84615385 16.15384615],0
u2,1,0.518647,0.416583,[1 4] ; [ 6 11],[1.59090909 3.40909091] ; [ 5.40909091 11.59090909],0
s2,1,0.537699,0.379821,[ 3 14] ; [ 4 31],[ 2.28846154 14.71153846] ; [ 4.71153846 30.28846154],0
r2,1,0.569056,0.324265,[10  4] ; [22 13],[9.14285714 4.85714286] ; [22.85714286 12.14285714],0
p12,1,0.594638,0.28316,[ 1 16] ; [ 1 34],[ 0.65384615 16.34615385] ; [ 1.34615385 33.65384615],0
u3,1,0.677856,0.172549,[1 4] ; [ 5 12],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
s3,1,0.693023,0.155833,[ 5 12] ; [ 8 25],[ 4.42 12.58] ; [ 8.58 24.42],0
s1,1,0.714062,0.134254,[ 2 15] ; [ 3 32],[ 1.63461538 15.36538462] ; [ 3.36538462 31.63461538],0
b5,1,0.757275,0.095519,[ 7 10] ; [16 19],[7.51923077 9.48076923] ; [15.48076923 19.51923077],0
b1,1,0.779128,0.078655,[10  7] ; [22 13],[10.46153846  6.53846154] ; [21.53846154 13.46153846],0
p6,1,0.785419,0.074128,[ 3 14] ; [ 5 29],[ 2.66666667 14.33333333] ; [ 5.33333333 28.66666667],0
s7,1,0.795862,0.066929,[ 3 11] ; [ 6 27],[ 2.68085106 11.31914894] ; [ 6.31914894 26.68085106],0
a1,1,0.802703,0.062425,[ 2 15] ; [ 5 30],[ 2.28846154 14.71153846] ; [ 4.71153846 30.28846154],0
p8,1,0.824412,0.049228,[ 5 12] ; [ 9 25],[ 4.66666667 12.33333333] ; [ 9.33333333 24.66666667],0
p10,1,0.839289,0.041129,[ 7 10] ; [13 21],[ 6.66666667 10.33333333] ; [13.33333333 20.66666667],0
v3,1,0.839955,0.040784,[ 3 14] ; [ 7 28],[ 3.26923077 13.73076923] ; [ 6.73076923 28.26923077],0
p4,1,0.845551,0.037946,[ 5 11] ; [10 25],[ 4.70588235 11.29411765] ; [10.29411765 24.70588235],0
b2,1,0.876681,0.02408,[6 7] ; [10 13],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
b3,1,0.876681,0.02408,[6 7] ; [10 13],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
n5,1,0.88249,0.021849,[12  5] ; [24 11],[11.76923077  5.23076923] ; [24.23076923 10.76923077],0
p9,1,0.898467,0.016281,[ 6 10] ; [13 20],[6.20408163 9.79591837] ; [12.79591837 20.20408163],0
v1,1,0.956956,0.002913,[ 4 13] ; [ 8 27],[ 3.92307692 13.07692308] ; [ 8.07692308 26.92307692],0
s8,1,0.97161,0.001267,[ 2 15] ; [ 4 31],[ 1.96153846 15.03846154] ; [ 4.03846154 30.96153846],0
p1,1,0.97161,0.001267,[ 2 15] ; [ 4 31],[ 1.96153846 15.03846154] ; [ 4.03846154 30.96153846],0
r4,1,0.980547,0.000595,[ 1 16] ; [ 2 33],[ 0.98076923 16.01923077] ; [ 2.01923077 32.98076923],0
