Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,48.606183,[43 65] ; [215  64],[72. 36.] ; [186.  93.],1
a6,1,0.0,43.586575,[48 60] ; [221  59],[74.87628866 33.12371134] ; [194.12371134  85.87628866],1
a2,1,2.3e-05,17.895948,[  8 100] ; [ 76 204],[23.3814433 84.6185567] ; [ 60.6185567 219.3814433],1
r4,1,0.000295,13.101109,[86 22] ; [259  21],[96.03092784 11.96907216] ; [248.96907216  31.03092784],1
r3,1,0.00047,12.230721,[91 17] ; [266  14],[99.37113402  8.62886598] ; [257.62886598  22.37113402],1
u1,1,0.000508,12.087829,[  5 103] ; [ 52 228],[15.86597938 92.13402062] ; [ 41.13402062 238.86597938],1
b5,1,0.000556,11.918068,[52 56] ; [188  92],[66.80412371 41.19587629] ; [173.19587629 106.80412371],1
d4,1,0.002612,9.060287,[74 34] ; [231  49],[84.89690722 23.10309278] ; [220.10309278  59.89690722],0
p2,1,0.00276,8.959443,[69 36] ; [224  55],[80.1171875 24.8828125] ; [212.8828125  66.1171875],0
p10,1,0.006038,7.538951,[68 38] ; [215  61],[78.52879581 27.47120419] ; [204.47120419  71.52879581],0
r1,1,0.006202,7.490738,[73 35] ; [225  54],[83.1627907 24.8372093] ; [214.8372093  64.1627907],0
d5,1,0.006712,7.348492,[78 30] ; [236  44],[87.40206186 20.59793814] ; [226.59793814  53.40206186],0
d1,1,0.009224,6.778892,[47 61] ; [163 117],[58.45360825 49.54639175] ; [151.54639175 128.45360825],0
p8,1,0.010598,6.531546,[41 65] ; [145 127],[52.15873016 53.84126984] ; [133.84126984 138.15873016],0
b1,1,0.013777,6.06644,[50 58] ; [ 92 188],[39.5257732 68.4742268] ; [102.4742268 177.5257732],0
v4,1,0.016925,5.704117,[97 11] ; [269  11],[101.87628866   6.12371134] ; [264.12371134  15.87628866],0
p4,1,0.047457,3.929111,[48 59] ; [156 122],[56.6961039 50.3038961] ; [147.3038961 130.6961039],0
s1,1,0.063102,3.453923,[  5 103] ; [  4 273],[  2.52467532 105.47532468] ; [  6.47532468 270.52467532],0
