Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000692,11.510847,[ 3 56] ; [12 28],[ 8.93939394 50.06060606] ; [ 6.06060606 33.93939394],1
s7,1,0.001155,10.561521,[ 9 48] ; [18 21],[16.03125 40.96875] ; [10.96875 28.03125],0
s8,1,0.004828,7.942931,[ 7 55] ; [14 27],[12.6407767 49.3592233] ; [ 8.3592233 32.6407767],0
u3,1,0.019799,5.429533,[14 18] ; [12  3],[17.70212766 14.29787234] ; [8.29787234 6.70212766],0
v2,1,0.031353,4.633527,[15 42] ; [19 21],[19.97938144 37.02061856] ; [14.02061856 25.97938144],0
p1,1,0.042964,4.09681,[ 3 58] ; [ 7 34],[ 5.98039216 55.01960784] ; [ 4.01960784 36.98039216],0
p9,1,0.047126,3.940887,[30 30] ; [28 12],[34.8 25.2] ; [23.2 16.8],0
a6,1,0.054307,3.703226,[42 20] ; [20 21],[37.32038835 24.67961165] ; [24.67961165 16.32038835],0
p2,1,0.085186,2.963075,[35 27] ; [30 11],[39.12621359 22.87378641] ; [25.87378641 15.12621359],0
a3,1,0.114819,2.486606,[29 32] ; [26 15],[32.89215686 28.10784314] ; [22.10784314 18.89215686],0
s6,1,0.149184,2.080574,[20 42] ; [19 22],[23.47572816 38.52427184] ; [15.52427184 25.47572816],0
s2,1,0.155915,2.013409,[16 46] ; [16 25],[19.26213592 42.73786408] ; [12.73786408 28.26213592],0
p3,1,0.175437,1.835856,[15 47] ; [15 26],[18.05825243 43.94174757] ; [11.94174757 29.05825243],0
p11,1,0.209967,1.571657,[30 32] ; [25 16],[33.10679612 28.89320388] ; [21.89320388 19.10679612],0
v4,1,0.216681,1.526217,[46 16] ; [33  6],[48.4950495 13.5049505] ; [30.5049505  8.4950495],0
n5,1,0.220103,1.503701,[32 29] ; [16 24],[28.99009901 32.00990099] ; [19.00990099 20.99009901],0
p10,1,0.252619,1.308761,[26 34] ; [22 18],[28.8 31.2] ; [19.2 20.8],0
v3,1,0.292149,1.109692,[12 46] ; [12 28],[14.20408163 43.79591837] ; [ 9.79591837 30.20408163],0
r4,1,0.294838,1.097397,[36 26] ; [28 13],[38.52427184 23.47572816] ; [25.47572816 15.52427184],0
a1,1,0.312298,1.020932,[ 4 58] ; [ 5 36],[ 5.41747573 56.58252427] ; [ 3.58252427 37.41747573],0
r3,1,0.395045,0.723358,[45 17] ; [32  8],[46.80392157 15.19607843] ; [30.19607843  9.80392157],0
p4,1,0.411329,0.674957,[19 42] ; [16 25],[20.93137255 40.06862745] ; [14.06862745 26.93137255],0
