Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9e-06,19.61594,[ 6 38] ; [22 14],[15.4 28.6] ; [12.6 23.4],1
s2,1,0.0001,15.145719,[ 7 36] ; [21 15],[15.24050633 27.75949367] ; [12.75949367 23.24050633],1
s5,1,0.000235,13.529983,[ 5 37] ; [18 18],[12.38461538 29.61538462] ; [10.61538462 25.38461538],1
s6,1,0.000458,12.279005,[17 25] ; [28  7],[24.54545455 17.45454545] ; [20.45454545 14.54545455],1
s3,1,0.002555,9.100958,[12 30] ; [22 13],[18.54545455 23.45454545] ; [15.45454545 19.54545455],0
a3,1,0.003144,8.722163,[11 32] ; [21 15],[17.41772152 25.58227848] ; [14.58227848 21.41772152],0
p10,1,0.00535,7.757319,[30 13] ; [34  2],[34.83544304  8.16455696] ; [29.16455696  6.83544304],0
s4,1,0.008123,7.006183,[ 4 39] ; [12 24],[ 8.70886076 34.29113924] ; [ 7.29113924 28.70886076],0
a5,1,0.021725,5.267715,[18 26] ; [24 12],[23.1 20.9] ; [18.9 17.1],0
p7,1,0.02361,5.123066,[29 14] ; [32  4],[33.20253165  9.79746835] ; [27.79746835  8.20253165],0
r1,1,0.024125,5.085614,[25 19] ; [29  7],[29.7 14.3] ; [24.3 11.7],0
p2,1,0.027161,4.880566,[31 12] ; [33  3],[34.83544304  8.16455696] ; [29.16455696  6.83544304],0
n5,1,0.030776,4.665418,[27 17] ; [30  6],[31.35 12.65] ; [25.65 10.35],0
d3,1,0.069928,3.284716,[ 9 35] ; [14 22],[12.65 31.35] ; [10.35 25.65],0
r4,1,0.072198,3.232323,[32 12] ; [32  4],[35.2  8.8] ; [28.8  7.2],0
n6,1,0.095246,2.783389,[31 13] ; [31  5],[34.1  9.9] ; [27.9  8.1],0
b3,1,0.097619,2.744015,[ 3 22] ; [ 7 15],[ 5.31914894 19.68085106] ; [ 4.68085106 17.31914894],0
b2,1,0.097619,2.744015,[ 3 22] ; [ 7 15],[ 5.31914894 19.68085106] ; [ 4.68085106 17.31914894],0
p6,1,0.098648,2.727273,[14 30] ; [18 18],[17.6 26.4] ; [14.4 21.6],0
v1,1,0.109646,2.559318,[15 28] ; [19 17],[18.50632911 24.49367089] ; [15.49367089 20.50632911],0
u2,1,0.125998,2.341126,[12 21] ; [9 6],[14.4375 18.5625] ; [6.5625 8.4375],0
b5,1,0.140936,2.167709,[28 16] ; [17 19],[24.75 19.25] ; [20.25 15.75],0
n4,1,0.144404,2.130395,[29 15] ; [29  7],[31.9 12.1] ; [26.1  9.9],0
n2,1,0.153338,2.03873,[6 4] ; [8 1],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
p5,1,0.194696,1.681721,[ 4 39] ; [ 7 29],[ 5.98734177 37.01265823] ; [ 5.01265823 30.98734177],0
d1,1,0.215947,1.5311,[ 1 43] ; [ 3 33],[ 2.2 41.8] ; [ 1.8 34.2],0
a7,1,0.245838,1.346801,[25 19] ; [25 11],[27.5 16.5] ; [22.5 13.5],0
r2,1,0.246287,1.344243,[38  6] ; [33  2],[39.5443038  4.4556962] ; [31.4556962  3.5443038],0
v4,1,0.247739,1.336007,[39  4] ; [34  1],[40.24358974  2.75641026] ; [32.75641026  2.24358974],0
p9,1,0.259747,1.270106,[35  9] ; [32  4],[36.85  7.15] ; [30.15  5.85],0
b4,1,0.270663,1.213385,[25 19] ; [16 20],[22.55 21.45] ; [18.45 17.55],0
b1,1,0.416152,0.661157,[18 26] ; [18 18],[19.8 24.2] ; [16.2 19.8],0
v2,1,0.452888,0.563415,[18 24] ; [18 17],[19.63636364 22.36363636] ; [16.36363636 18.63636364],0
r3,1,0.455193,0.55769,[38  6] ; [33  3],[39.05  4.95] ; [31.95  4.05],0
n1,1,0.497739,0.459753,[4 6] ; [5 4],[4.73684211 5.26315789] ; [4.26315789 4.73684211],0
d2,1,0.500184,0.454545,[10 34] ; [ 6 30],[ 8.8 35.2] ; [ 7.2 28.8],0
d5,1,0.509487,0.43512,[14 30] ; [14 22],[15.4 28.6] ; [12.6 23.4],0
a6,1,0.520725,0.412458,[25 19] ; [23 13],[26.4 17.6] ; [21.6 14.4],0
a2,1,0.550333,0.35672,[ 4 40] ; [ 2 34],[ 3.3 40.7] ; [ 2.7 33.3],0
p3,1,0.562469,0.335447,[21 23] ; [19 16],[22.27848101 21.72151899] ; [17.72151899 17.27848101],0
u3,1,0.635696,0.224416,[13 20] ; [7 8],[13.75 19.25] ; [6.25 8.75],0
p1,1,0.667556,0.184474,[ 9 34] ; [ 9 27],[ 9.79746835 33.20253165] ; [ 8.20253165 27.79746835],0
v3,1,0.797124,0.066086,[14 28] ; [13 23],[14.53846154 27.46153846] ; [12.46153846 23.53846154],0
s1,1,0.855114,0.033342,[ 2 41] ; [ 2 34],[ 2.17721519 40.82278481] ; [ 1.82278481 34.17721519],0
a8,1,0.886801,0.020265,[ 3 35] ; [ 3 31],[ 3.16666667 34.83333333] ; [ 2.83333333 31.16666667],0
a4,1,0.889318,0.019368,[ 9 34] ; [ 8 28],[ 9.25316456 33.74683544] ; [ 7.74683544 28.25316456],0
p12,1,0.905038,0.014232,[ 4 40] ; [ 3 33],[ 3.85 40.15] ; [ 3.15 32.85],0
n3,1,0.905565,0.014074,[8 2] ; [7 2],[7.89473684 2.10526316] ; [7.10526316 1.89473684],0
p11,1,0.910533,0.012626,[35  9] ; [29  7],[35.2  8.8] ; [28.8  7.2],0
p4,1,0.928012,0.008162,[24 20] ; [20 16],[24.2 19.8] ; [19.8 16.2],0
