Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9.8e-05,15.165976,[22 26] ; [ 8 55],[12.97297297 35.02702703] ; [17.02702703 45.97297297],1
p7,1,0.000153,14.336317,[35 13] ; [24 41],[25.0619469 22.9380531] ; [33.9380531 31.0619469],1
p11,1,0.000343,12.820449,[41  8] ; [34 32],[31.95652174 17.04347826] ; [43.04347826 22.95652174],1
p8,1,0.000424,12.421203,[25 22] ; [14 52],[16.22123894 30.77876106] ; [22.77876106 43.22123894],1
v1,1,0.000552,11.930808,[28 20] ; [17 48],[19.11504425 28.88495575] ; [25.88495575 39.11504425],1
d5,1,0.00071,11.462235,[37 12] ; [29 37],[28.12173913 20.87826087] ; [37.87826087 28.12173913],1
s5,1,0.000803,11.235243,[13 35] ; [ 3 61],[ 6.85714286 41.14285714] ; [ 9.14285714 54.85714286],1
r1,1,0.00092,10.98184,[36 13] ; [28 38],[27.26956522 21.73043478] ; [36.73043478 29.26956522],1
p10,1,0.001226,10.451129,[35 13] ; [28 38],[26.52631579 21.47368421] ; [36.47368421 29.52631579],0
r3,1,0.001401,10.204744,[44  5] ; [42 24],[36.64347826 12.35652174] ; [49.35652174 16.64347826],0
r4,1,0.001587,9.974772,[38 11] ; [32 34],[29.82608696 19.17391304] ; [40.17391304 25.82608696],0
d1,1,0.003029,8.789781,[25 24] ; [16 50],[17.46956522 31.53043478] ; [23.53043478 42.46956522],0
v4,1,0.00338,8.590267,[45  4] ; [45 20],[38.68421053 10.31578947] ; [51.31578947 13.68421053],0
n3,1,0.003408,8.575144,[14  1] ; [13 14],[9.64285714 5.35714286] ; [17.35714286  9.64285714],0
p2,1,0.005398,7.740966,[38 10] ; [35 30],[31.00884956 16.99115044] ; [41.99115044 23.00884956],0
a3,1,0.00903,6.816832,[38 11] ; [35 30],[31.37719298 17.62280702] ; [41.62280702 23.37719298],0
p9,1,0.017944,5.601626,[36 13] ; [33 31],[29.92035398 19.07964602] ; [39.07964602 24.92035398],0
