Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,175.386763,[ 3 49] ; [329  47],[40.3364486 11.6635514] ; [291.6635514  84.3364486],1
v4,1,0.0,83.706407,[26 26] ; [350  24],[45.89671362  6.10328638] ; [330.10328638  43.89671362],1
p11,1,0.0,59.782443,[12 40] ; [285  91],[36.08411215 15.91588785] ; [260.91588785 115.08411215],1
p2,1,0.0,49.173581,[17 34] ; [296  77],[37.64858491 13.35141509] ; [275.35141509  97.64858491],1
r2,1,0.0,38.485138,[31 19] ; [342  30],[44.1943128  5.8056872] ; [328.8056872  43.1943128],1
r1,1,0.0,34.744763,[18 34] ; [280  95],[36.29039813 15.70960187] ; [261.70960187 113.29039813],1
p9,1,0.0,30.510784,[18 31] ; [279  93],[34.56769596 14.43230404] ; [262.43230404 109.56769596],1
a7,1,0.0,29.100295,[21 31] ; [286  89],[37.38641686 14.61358314] ; [269.61358314 105.38641686],1
n6,1,0.0,27.213636,[22 29] ; [290  84],[37.44 13.56] ; [274.56  99.44],1
p10,1,1e-06,25.060797,[18 33] ; [262 109],[33.83886256 17.16113744] ; [246.16113744 124.83886256],1
v2,1,1.6e-05,18.559417,[10 41] ; [186 173],[24.3804878 26.6195122] ; [171.6195122 187.3804878],1
a6,1,5.3e-05,16.353766,[23 29] ; [270 105],[35.68149883 16.31850117] ; [257.31850117 117.68149883],1
d4,1,9.1e-05,15.316119,[27 25] ; [289  85],[38.57276995 13.42723005] ; [277.42723005  96.57276995],1
a1,1,9.4e-05,15.246667,[ 8 44] ; [ 12 364],[ 2.42990654 49.57009346] ; [ 17.57009346 358.42990654],1
b1,1,0.000304,13.048552,[33 19] ; [140 236],[21.01869159 30.98130841] ; [151.98130841 224.01869159],1
s6,1,0.000391,12.573464,[ 9 43] ; [160 212],[20.72641509 31.27358491] ; [148.27358491 223.72641509],1
d3,1,0.001133,10.596124,[23 29] ; [251 122],[33.52470588 18.47529412] ; [240.47529412 132.52470588],0
s1,1,0.001746,9.799565,[ 6 46] ; [ 10 361],[ 1.96690307 50.03309693] ; [ 14.03309693 356.96690307],0
n2,1,0.002583,9.080682,[12 17] ; [69 27],[18.792 10.208] ; [62.208 33.792],0
p4,1,0.002621,9.05414,[13 38] ; [178 194],[23.02836879 27.97163121] ; [167.97163121 204.02836879],0
d5,1,0.002809,8.927879,[29 23] ; [282  92],[37.96244131 14.03755869] ; [273.03755869 100.96244131],0
p7,1,0.005233,7.797107,[17 33] ; [203 166],[26.25298329 23.74701671] ; [193.74701671 175.25298329],0
n3,1,0.007227,7.215586,[14 15] ; [71 24],[19.87903226  9.12096774] ; [65.12096774 29.87903226],0
s3,1,0.009153,6.792661,[ 9 40] ; [139 234],[17.18483412 31.81516588] ; [130.81516588 242.18483412],0
p8,1,0.01225,6.274389,[13 38] ; [163 208],[21.27014218 29.72985782] ; [154.72985782 216.27014218],0
d1,1,0.012549,6.231609,[16 36] ; [185 191],[24.42056075 27.57943925] ; [176.57943925 199.42056075],0
a5,1,0.016731,5.72433,[25 27] ; [245 131],[32.80373832 19.19626168] ; [237.19626168 138.80373832],0
p6,1,0.019178,5.485204,[ 5 46] ; [ 90 278],[11.56324582 39.43675418] ; [ 83.43675418 284.56324582],0
b5,1,0.020772,5.345826,[25 27] ; [243 133],[32.56074766 19.43925234] ; [235.43925234 140.56074766],0
s2,1,0.021077,5.320402,[ 6 46] ; [ 98 276],[12.69483568 39.30516432] ; [ 91.30516432 282.69483568],0
n4,1,0.040872,4.181295,[29 23] ; [262 113],[35.43793911 16.56206089] ; [255.56206089 119.43793911],0
u2,1,0.046238,3.972897,[ 7 16] ; [74 66],[11.42944785 11.57055215] ; [69.57055215 70.42944785],0
p1,1,0.04874,3.884301,[ 6 46] ; [ 18 356],[ 2.92957746 49.07042254] ; [ 21.07042254 352.92957746],0
v1,1,0.050789,3.815206,[16 36] ; [166 202],[22.53333333 29.46666667] ; [159.46666667 208.53333333],0
b2,1,0.065977,3.380382,[15 19] ; [ 55 139],[10.43859649 23.56140351] ; [ 59.56140351 134.43859649],0
b3,1,0.065977,3.380382,[15 19] ; [ 55 139],[10.43859649 23.56140351] ; [ 59.56140351 134.43859649],0
u1,1,0.079129,3.082696,[ 2 50] ; [ 45 331],[ 5.71028037 46.28971963] ; [ 41.28971963 334.71028037],0
u3,1,0.099566,2.712482,[ 7 16] ; [68 71],[10.64814815 12.35185185] ; [64.35185185 74.64814815],0
v3,1,0.111292,2.535774,[11 41] ; [116 246],[15.95169082 36.04830918] ; [111.04830918 250.95169082],0
p3,1,0.132592,2.261891,[13 38] ; [135 238],[17.80188679 33.19811321] ; [130.19811321 242.80188679],0
a8,1,0.138488,2.194677,[ 2 45] ; [ 39 306],[ 4.91581633 42.08418367] ; [ 36.08418367 308.91581633],0
s4,1,0.145756,2.116111,[ 9 43] ; [ 39 333],[ 5.88679245 46.11320755] ; [ 42.11320755 329.88679245],0
s7,1,0.162717,1.948792,[ 6 41] ; [ 77 281],[ 9.63209877 37.36790123] ; [ 73.36790123 284.63209877],0
a2,1,0.210591,1.567359,[ 6 46] ; [ 70 306],[ 9.23364486 42.76635514] ; [ 66.76635514 309.23364486],0
n1,1,0.261471,1.260952,[12 17] ; [29 67],[ 9.512 19.488] ; [31.488 64.512],0
p5,1,0.311412,1.024676,[ 3 47] ; [ 12 364],[ 1.76056338 48.23943662] ; [ 13.23943662 362.76056338],0
a4,1,0.361333,0.833255,[16 34] ; [145 230],[18.94117647 31.05882353] ; [142.05882353 232.94117647],0
d2,1,0.44011,0.595997,[17 34] ; [146 229],[19.51408451 31.48591549] ; [143.48591549 231.51408451],0
a3,1,0.547344,0.362097,[29 21] ; [234 141],[30.94117647 19.05882353] ; [232.05882353 142.94117647],0
p12,1,0.637178,0.222452,[ 2 50] ; [ 10 362],[ 1.47169811 50.52830189] ; [ 10.52830189 361.47169811],0
b4,1,0.675639,0.175076,[28 24] ; [214 162],[29.40186916 22.59813084] ; [212.59813084 163.40186916],0
n5,1,0.763787,0.090307,[34 18] ; [251 121],[34.95283019 17.04716981] ; [250.04716981 121.95283019],0
