Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.001249,10.416667,[ 3 13] ; [17  7],[8. 8.] ; [12. 12.],0
n6,1,0.003327,8.619085,[ 5 11] ; [18  5],[9.43589744 6.56410256] ; [13.56410256  9.43589744],0
p11,1,0.004592,8.033499,[ 3 13] ; [16  9],[7.41463415 8.58536585] ; [11.58536585 13.41463415],0
p4,1,0.006891,7.301045,[ 1 14] ; [12 13],[ 4.875 10.125] ; [ 8.125 16.875],0
p10,1,0.007661,7.111111,[ 6 10] ; [19  5],[10.  6.] ; [15.  9.],0
v1,1,0.019371,5.467751,[ 2 14] ; [12 13],[ 5.46341463 10.53658537] ; [ 8.53658537 16.46341463],0
p7,1,0.035252,4.432947,[ 2 12] ; [12 13],[5.02564103 8.97435897] ; [ 8.97435897 16.02564103],0
s1,1,0.045017,4.018,[ 4 12] ; [ 1 24],[ 1.95121951 14.04878049] ; [ 3.04878049 21.95121951],0
s6,1,0.0455,4.0,[ 3 13] ; [12 12],[ 6. 10.] ; [ 9. 15.],0
r3,1,0.04868,3.886364,[ 5 11] ; [14  8],[8. 8.] ; [11. 11.],0
p3,1,0.052,3.775773,[ 1 15] ; [ 8 17],[ 3.51219512 12.48780488] ; [ 5.48780488 19.51219512],0
p6,1,0.086479,2.938722,[ 1 15] ; [ 7 18],[ 3.12195122 12.87804878] ; [ 4.87804878 20.12195122],0
d2,1,0.086731,2.934028,[9 7] ; [ 7 17],[6.4 9.6] ; [ 9.6 14.4],0
r2,1,0.119551,2.423188,[11  4] ; [11 12],[8.68421053 6.31578947] ; [13.31578947  9.68421053],0
d3,1,0.124181,2.363781,[7 9] ; [17  8],[9.36585366 6.63414634] ; [14.63414634 10.36585366],0
v4,1,0.132047,2.268272,[7 9] ; [15  7],[9.26315789 6.73684211] ; [12.73684211  9.26315789],0
n3,1,0.141326,2.163462,[3 9] ; [7 6],[4.8 7.2] ; [5.2 7.8],0
s8,1,0.216222,1.529271,[ 2 14] ; [ 7 17],[ 3.6 12.4] ; [ 5.4 18.6],0
b4,1,0.217322,1.52197,[10  6] ; [20  5],[11.70731707  4.29268293] ; [18.29268293  6.70731707],0
a1,1,0.307964,1.039386,[ 2 14] ; [ 1 24],[ 1.17073171 14.82926829] ; [ 1.82926829 23.17073171],0
b5,1,0.308745,1.036035,[7 9] ; [15 10],[8.58536585 7.41463415] ; [13.41463415 11.58536585],0
d1,1,0.308745,1.036035,[9 7] ; [10 15],[7.41463415 8.58536585] ; [11.58536585 13.41463415],0
p8,1,0.350266,0.872492,[ 3 13] ; [ 8 17],[ 4.29268293 11.70731707] ; [ 6.70731707 18.29268293],0
v2,1,0.365898,0.817547,[ 6 10] ; [12 11],[7.38461538 8.61538462] ; [10.61538462 12.38461538],0
s7,1,0.391366,0.734694,[ 5 10] ; [10 11],[6.25 8.75] ; [ 8.75 12.25],0
a3,1,0.392041,0.732601,[11  4] ; [15 10],[9.75 5.25] ; [16.25  8.75],0
n2,1,0.420113,0.65,[7 6] ; [9 4],[8. 5.] ; [8. 5.],0
n1,1,0.420113,0.65,[6 7] ; [4 9],[5. 8.] ; [5. 8.],0
u3,1,0.438578,0.6,[1 4] ; [4 6],[1.66666667 3.33333333] ; [3.33333333 6.66666667],0
s5,1,0.456057,0.555556,[ 3 13] ; [ 7 17],[ 4. 12.] ; [ 6. 18.],0
p1,1,0.544991,0.366368,[ 1 15] ; [ 3 22],[ 1.56097561 14.43902439] ; [ 2.43902439 22.56097561],0
u2,1,0.576999,0.311111,[2 3] ; [5 4],[2.5 2.5] ; [4.5 4.5],0
s3,1,0.577894,0.309651,[8 8] ; [ 9 13],[7.15789474 8.84210526] ; [ 9.84210526 12.15789474],0
a7,1,0.601456,0.272805,[10  6] ; [13 11],[9.2 6.8] ; [13.8 10.2],0
a4,1,0.606185,0.265768,[7 9] ; [13 12],[7.80487805 8.19512195] ; [12.19512195 12.80487805],0
v3,1,0.630843,0.23092,[ 4 12] ; [ 8 17],[ 4.68292683 11.31707317] ; [ 7.31707317 17.68292683],0
b1,1,0.707047,0.141244,[8 8] ; [11 14],[7.41463415 8.58536585] ; [11.58536585 13.41463415],0
s2,1,0.710644,0.137634,[ 4 12] ; [ 7 16],[ 4.51282051 11.48717949] ; [ 6.48717949 16.51282051],0
p5,1,0.757093,0.095667,[ 2 14] ; [ 4 21],[ 2.34146341 13.65853659] ; [ 3.65853659 21.34146341],0
a5,1,0.812074,0.056526,[9 7] ; [15 10],[9.36585366 6.63414634] ; [14.63414634 10.36585366],0
a2,1,0.819429,0.052111,[ 3 13] ; [ 4 21],[ 2.73170732 13.26829268] ; [ 4.26829268 20.73170732],0
d5,1,0.832506,0.044727,[12  4] ; [18  7],[11.70731707  4.29268293] ; [18.29268293  6.70731707],0
a8,1,0.833497,0.044192,[ 1 14] ; [ 1 19],[ 0.85714286 14.14285714] ; [ 1.14285714 18.85714286],0
d4,1,0.871799,0.026042,[13  3] ; [19  5],[12.8  3.2] ; [19.2  4.8],0
n4,1,0.87282,0.025625,[10  6] ; [15 10],[9.75609756 6.24390244] ; [15.24390244  9.75609756],0
n5,1,0.89611,0.01705,[9 7] ; [14 10],[9.2 6.8] ; [13.8 10.2],0
a6,1,0.900542,0.015619,[8 8] ; [12 13],[7.80487805 8.19512195] ; [12.19512195 12.80487805],0
b2,1,0.946434,0.004514,[3 7] ; [ 5 11],[3.07692308 6.92307692] ; [ 4.92307692 11.07692308],0
b3,1,0.946434,0.004514,[3 7] ; [ 5 11],[3.07692308 6.92307692] ; [ 4.92307692 11.07692308],0
s4,1,0.961935,0.002278,[ 2 14] ; [ 3 22],[ 1.95121951 14.04878049] ; [ 3.04878049 21.95121951],0
