Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,9e-06,19.814004,[ 6 59] ; [15 15],[14.36842105 50.63157895] ; [ 6.63157895 23.36842105],1
p8,1,0.000252,13.394067,[ 7 59] ; [13 17],[13.75 52.25] ; [ 6.25 23.75],1
a8,1,0.004235,8.180135,[ 1 61] ; [ 5 23],[ 4.13333333 57.86666667] ; [ 1.86666667 26.13333333],0
a2,1,0.0074,7.173255,[27 39] ; [ 4 26],[21.3125 44.6875] ; [ 9.6875 20.3125],0
p10,1,0.011816,6.338316,[32 33] ; [23  7],[37.63157895 27.36842105] ; [17.36842105 12.63157895],0
a4,1,0.01538,5.872462,[47 18] ; [14 16],[41.73684211 23.26315789] ; [19.26315789 10.73684211],0
p9,1,0.022128,5.235693,[35 28] ; [24  6],[39.96774194 23.03225806] ; [19.03225806 10.96774194],0
d2,1,0.032747,4.558942,[53 12] ; [17 11],[48.92473118 16.07526882] ; [21.07526882  6.92473118],0
n2,1,0.034625,4.463563,[18 18] ; [8 1],[20.8 15.2] ; [5.2 3.8],0
p3,1,0.035106,4.440035,[17 48] ; [14 15],[21.43617021 43.56382979] ; [ 9.56382979 19.43617021],0
p4,1,0.046079,3.978719,[18 48] ; [14 15],[22.23157895 43.76842105] ; [ 9.76842105 19.23157895],0
v2,1,0.052399,3.762989,[27 33] ; [20 10],[31.33333333 28.66666667] ; [15.66666667 14.33333333],0
r4,1,0.055765,3.659063,[45 21] ; [26  4],[48.8125 17.1875] ; [22.1875  7.8125],0
p5,1,0.062303,3.474986,[ 2 61] ; [ 4 26],[ 4.06451613 58.93548387] ; [ 1.93548387 28.06451613],0
s5,1,0.064358,3.421357,[14 48] ; [12 17],[17.71428571 44.28571429] ; [ 8.28571429 20.71428571],0
u1,1,0.075109,3.167677,[20 46] ; [ 4 26],[16.5 49.5] ; [ 7.5 22.5],0
p11,1,0.097477,2.746345,[32 34] ; [20 10],[35.75 30.25] ; [16.25 13.75],0
n4,1,0.108868,2.570579,[42 24] ; [24  6],[45.375 20.625] ; [20.625  9.375],0
s7,1,0.131161,2.278707,[27 33] ; [18 11],[30.33707865 29.66292135] ; [14.66292135 14.33707865],0
v1,1,0.162512,1.950691,[20 43] ; [14 16],[23.03225806 39.96774194] ; [10.96774194 19.03225806],0
a3,1,0.194181,1.68561,[54 12] ; [21  9],[51.5625 14.4375] ; [23.4375  6.5625],0
s6,1,0.200073,1.641843,[32 33] ; [19 11],[34.89473684 30.10526316] ; [16.10526316 13.89473684],0
s2,1,0.201914,1.628475,[26 40] ; [16 14],[28.875 37.125] ; [13.125 16.875],0
b5,1,0.264173,1.246753,[36 30] ; [20 10],[38.5 27.5] ; [17.5 12.5],0
s1,1,0.306136,1.047273,[ 3 63] ; [ 3 27],[ 4.125 61.875] ; [ 1.875 28.125],0
r3,1,0.306136,1.047273,[54 12] ; [27  3],[55.6875 10.3125] ; [25.3125  4.6875],0
n5,1,0.306136,1.047273,[39 27] ; [21  9],[41.25 24.75] ; [18.75 11.25],0
p1,1,0.314565,1.011411,[ 6 60] ; [ 1 29],[ 4.8125 61.1875] ; [ 2.1875 27.8125],0
d3,1,0.345454,0.890087,[57  9] ; [22  6],[55.46808511 10.53191489] ; [23.53191489  4.46808511],0
v4,1,0.359281,0.840404,[52 14] ; [26  4],[53.625 12.375] ; [24.375  5.625],0
n6,1,0.460204,0.545399,[47 19] ; [22  6],[48.44680851 17.55319149] ; [20.55319149  7.44680851],0
s3,1,0.473838,0.513012,[30 36] ; [16 14],[31.625 34.375] ; [14.375 15.625],0
b2,1,0.528265,0.397727,[18 30] ; [10 12],[19.2 28.8] ; [ 8.8 13.2],0
b3,1,0.528265,0.397727,[18 30] ; [10 12],[19.2 28.8] ; [ 8.8 13.2],0
a1,1,0.539357,0.376733,[ 7 59] ; [ 2 28],[ 6.1875 59.8125] ; [ 2.8125 27.1875],0
a5,1,0.557074,0.344796,[54 12] ; [23  7],[52.9375 13.0625] ; [24.0625  5.9375],0
s4,1,0.557777,0.343567,[14 50] ; [ 5 25],[12.93617021 51.06382979] ; [ 6.06382979 23.93617021],0
n3,1,0.559791,0.340065,[19 15] ; [6 3],[19.76744186 14.23255814] ; [5.23255814 3.76744186],0
u2,1,0.581989,0.30303,[6 6] ; [5 3],[6.6 5.4] ; [4.4 3.6],0
v3,1,0.627275,0.235774,[18 41] ; [10 18],[18.98850575 40.01149425] ; [ 9.01149425 18.98850575],0
b1,1,0.639194,0.219798,[32 34] ; [13 17],[30.9375 35.0625] ; [14.0625 15.9375],0
b4,1,0.799117,0.064765,[40 26] ; [19 11],[40.5625 25.4375] ; [18.4375 11.5625],0
a6,1,0.800137,0.064095,[43 23] ; [19  9],[43.53191489 22.46808511] ; [18.46808511  9.53191489],0
a7,1,0.830342,0.045908,[47 19] ; [22  8],[47.4375 18.5625] ; [21.5625  8.4375],0
s8,1,0.855657,0.03309,[26 40] ; [12 17],[26.4 39.6] ; [11.6 17.4],0
r1,1,0.858609,0.031736,[45 21] ; [21  9],[45.375 20.625] ; [20.625  9.375],0
n1,1,0.881235,0.022321,[17 19] ; [4 5],[16.8 19.2] ; [4.2 4.8],0
p12,1,0.923905,0.009123,[ 4 61] ; [ 2 28],[ 4.10526316 60.89473684] ; [ 1.89473684 28.10526316],0
u3,1,1.0,0.0,[8 4] ; [6 3],[8. 4.] ; [6. 3.],0
