Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,88.594284,[402  79] ; [80 91],[355.58588957 125.41411043] ; [126.41411043  44.58588957],1
d3,1,0.0,87.258279,[398  84] ; [78 93],[351.35068913 130.64931087] ; [124.64931087  46.35068913],1
a2,1,0.0,41.032891,[188 296] ; [ 21 150],[154.43664122 329.56335878] ; [ 54.56335878 116.43664122],1
b5,1,0.0,32.927803,[322 162] ; [ 71 100],[290.4 193.6] ; [102.6  68.4],1
u1,1,0.0,28.374721,[136 348] ; [ 14 157],[110.83969466 373.16030534] ; [ 39.16030534 131.83969466],1
p4,1,0.001471,10.114583,[317 162] ; [88 80],[299.83771252 179.16228748] ; [105.16228748  62.83771252],0
r1,1,0.002827,8.915658,[420  61] ; [133  38],[407.96472393  73.03527607] ; [145.03527607  25.96472393],0
u3,1,0.004096,8.240762,[69 31] ; [11 17],[62.5 37.5] ; [17.5 10.5],0
b3,1,0.009035,6.815829,[109 181] ; [60 56],[120.71428571 169.28571429] ; [48.28571429 67.71428571],0
b2,1,0.009035,6.815829,[109 181] ; [60 56],[120.71428571 169.28571429] ; [48.28571429 67.71428571],0
r4,1,0.010625,6.527021,[460  24] ; [153  18],[452.9648855  31.0351145] ; [160.0351145  10.9648855],0
b1,1,0.012984,6.17125,[177 307] ; [81 90],[190.64427481 293.35572519] ; [ 67.35572519 103.64427481],0
d1,1,0.013948,6.044668,[341 143] ; [103  68],[328.08549618 155.91450382] ; [115.91450382  55.08549618],0
v2,1,0.015741,5.831528,[288 175] ; [86 81],[274.86031746 188.13968254] ; [99.13968254 67.86031746],0
p2,1,0.035017,4.444345,[411  70] ; [131  36],[402.31790123  78.68209877] ; [139.68209877  27.31790123],0
p10,1,0.035237,4.433674,[406  72] ; [130  37],[397.22170543  80.77829457] ; [138.77829457  28.22170543],0
s8,1,0.080267,3.059492,[220 258] ; [91 78],[229.76506955 248.23493045] ; [81.23493045 87.76506955],0
p12,1,0.116455,2.464359,[ 48 431] ; [ 10 157],[ 43.00619195 435.99380805] ; [ 14.99380805 152.00619195],0
p9,1,0.12293,2.379587,[417  60] ; [138  29],[411.07919255  65.92080745] ; [143.92080745  23.07919255],0
r3,1,0.133804,2.247803,[466  18] ; [159  11],[462.5382263  21.4617737] ; [162.4617737   7.5382263],0
p8,1,0.140549,2.171939,[267 207] ; [82 83],[258.88262911 215.11737089] ; [90.11737089 74.88262911],0
d4,1,0.152418,2.047886,[421  61] ; [141  29],[415.46625767  66.53374233] ; [146.53374233  23.46625767],0
s7,1,0.163004,1.946133,[234 225] ; [94 70],[241.6565008 217.3434992] ; [86.3434992 77.6565008],0
s5,1,0.17331,1.854079,[163 301] ; [67 96],[170.20733652 293.79266348] ; [ 59.79266348 103.20733652],0
a1,1,0.198018,1.65693,[ 24 460] ; [ 13 158],[ 27.34045802 456.65954198] ; [  9.65954198 161.34045802],0
a3,1,0.200114,1.641545,[382 101] ; [143  28],[387.7293578  95.2706422] ; [137.2706422  33.7293578],0
u2,1,0.213314,1.548789,[59 43] ; [12 15],[56.13953488 45.86046512] ; [14.86046512 12.13953488],0
b4,1,0.214635,1.539882,[284 200] ; [91 80],[277.09923664 206.90076336] ; [97.90076336 73.09923664],0
r2,1,0.276168,1.185854,[468  12] ; [162   7],[465.94761171  14.05238829] ; [164.05238829   4.94761171],0
n3,1,0.297748,1.084254,[72 30] ; [37 10],[74.61744966 27.38255034] ; [34.38255034 12.61744966],0
p1,1,0.321432,0.983109,[ 43 437] ; [ 11 158],[ 39.93836672 440.06163328] ; [ 14.06163328 154.93836672],0
p6,1,0.382091,0.763965,[183 294] ; [ 57 108],[178.31775701 298.68224299] ; [ 61.68224299 103.31775701],0
a8,1,0.395625,0.721582,[ 61 367] ; [ 19 145],[ 57.83783784 370.16216216] ; [ 22.16216216 141.83783784],0
n5,1,0.426244,0.633035,[367 114] ; [134  35],[370.74 110.26] ; [130.26  38.74],0
s2,1,0.50553,0.443308,[256 222] ; [86 84],[252.27777778 225.72222222] ; [89.72222222 80.27777778],0
n1,1,0.505786,0.442774,[36 64] ; [20 28],[37.83783784 62.16216216] ; [18.16216216 29.83783784],0
n2,1,0.512299,0.429368,[77 26] ; [39 10],[78.60526316 24.39473684] ; [37.39473684 11.60526316],0
v1,1,0.521937,0.410065,[271 201] ; [90 75],[267.49136578 204.50863422] ; [93.50863422 71.49136578],0
v3,1,0.541171,0.373374,[191 273] ; [72 92],[194.31847134 269.68152866] ; [68.68152866 95.31847134],0
s6,1,0.595043,0.282537,[331 144] ; [112  54],[328.27613105 146.72386895] ; [114.72386895  51.27613105],0
d5,1,0.606126,0.265854,[416  66] ; [144  26],[413.98773006  68.01226994] ; [146.01226994  23.98773006],0
p3,1,0.615104,0.252809,[250 229] ; [92 77],[252.80555556 226.19444444] ; [89.19444444 79.80555556],0
p7,1,0.652414,0.20287,[304 165] ; [105  62],[301.60534591 167.39465409] ; [107.39465409  59.60534591],0
p11,1,0.661851,0.191283,[383 101] ; [138  33],[384.98320611  99.01679389] ; [136.01679389  34.98320611],0
