Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.018028,5.59339,[ 1 15] ; [6 8],[ 3.73333333 12.26666667] ; [ 3.26666667 10.73333333],0
a6,1,0.024379,5.067449,[11 20] ; [21 12],[15.5 15.5] ; [16.5 16.5],0
d5,1,0.025261,5.005881,[13 18] ; [23 10],[17.4375 13.5625] ; [18.5625 14.4375],0
d3,1,0.079971,3.065494,[12 19] ; [20 13],[15.5 15.5] ; [16.5 16.5],0
b1,1,0.119005,2.430364,[21 10] ; [16 17],[17.921875 13.078125] ; [19.078125 13.921875],0
n5,1,0.119005,2.430364,[21 10] ; [16 17],[17.921875 13.078125] ; [19.078125 13.921875],0
s2,1,0.121227,2.401399,[10 21] ; [ 5 27],[ 7.38095238 23.61904762] ; [ 7.61904762 24.38095238],0
p6,1,0.122335,2.387166,[ 3 27] ; [ 8 24],[ 5.32258065 24.67741935] ; [ 5.67741935 26.32258065],0
r4,1,0.130415,2.28756,[ 6 25] ; [12 21],[ 8.71875 22.28125] ; [ 9.28125 23.71875],0
a5,1,0.137857,2.201719,[14 17] ; [21 12],[16.953125 14.046875] ; [18.046875 14.953125],0
p11,1,0.138364,2.196055,[16 15] ; [23 10],[18.890625 12.109375] ; [20.109375 12.890625],0
p1,1,0.141337,2.163341,[ 4 27] ; [ 1 32],[ 2.421875 28.578125] ; [ 2.578125 30.421875],0
r3,1,0.145516,2.118632,[19 12] ; [25  7],[21.65079365  9.34920635] ; [22.34920635  9.65079365],0
v2,1,0.160034,1.973902,[ 8 22] ; [14 18],[10.64516129 19.35483871] ; [11.35483871 20.64516129],0
r1,1,0.175033,1.839296,[ 9 22] ; [15 18],[11.625 19.375] ; [12.375 20.625],0
n4,1,0.20454,1.60966,[19 12] ; [15 18],[16.46875 14.53125] ; [17.53125 15.46875],0
n6,1,0.207109,1.591521,[21  9] ; [18 15],[18.57142857 11.42857143] ; [20.42857143 12.57142857],0
d1,1,0.227774,1.45471,[ 7 24] ; [12 21],[ 9.203125 21.796875] ; [ 9.796875 23.203125],0
a8,1,0.24716,1.339286,[ 3 25] ; [ 7 25],[ 4.66666667 23.33333333] ; [ 5.33333333 26.66666667],0
u2,1,0.260679,1.265147,[7 9] ; [9 5],[8.53333333 7.46666667] ; [7.46666667 6.53333333],0
s8,1,0.312085,1.021831,[ 6 25] ; [10 23],[ 7.75 23.25] ; [ 8.25 24.75],0
d4,1,0.330129,0.948393,[19 12] ; [24  9],[20.828125 10.171875] ; [22.171875 10.828125],0
a4,1,0.338992,0.914238,[ 7 24] ; [11 22],[ 8.71875 22.28125] ; [ 9.28125 23.71875],0
a3,1,0.38169,0.765253,[15 16] ; [19 13],[16.73015873 14.26984127] ; [17.26984127 14.73015873],0
p12,1,0.436769,0.604757,[ 2 29] ; [ 4 29],[ 2.90625 28.09375] ; [ 3.09375 29.90625],0
p5,1,0.456656,0.554078,[ 6 25] ; [ 4 28],[ 4.92063492 26.07936508] ; [ 5.07936508 26.92063492],0
p10,1,0.458522,0.549501,[15 15] ; [19 13],[16.4516129 13.5483871] ; [17.5483871 14.4516129],0
p3,1,0.514095,0.425724,[ 9 22] ; [ 7 25],[ 7.87301587 23.12698413] ; [ 8.12698413 23.87301587],0
v1,1,0.532453,0.389708,[ 9 22] ; [12 21],[10.171875 20.828125] ; [10.828125 22.171875],0
n2,1,0.54659,0.363462,[8 5] ; [7 7],[7.22222222 5.77777778] ; [7.77777778 6.22222222],0
