Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,66.159266,[102  21] ; [ 4 33],[81.4875 41.5125] ; [24.5125 12.4875],1
v4,1,0.0,27.937839,[110  12] ; [19 18],[98.98113208 23.01886792] ; [30.01886792  6.98113208],1
r2,1,1e-06,24.405138,[112  10] ; [20 15],[102.57324841  19.42675159] ; [29.42675159  5.57324841],1
s6,1,1e-06,24.257259,[75 45] ; [ 6 31],[61.91082803 58.08917197] ; [19.08917197 17.91082803],1
p2,1,7e-06,20.147384,[87 36] ; [11 26],[75.3375 47.6625] ; [22.6625 14.3375],1
s2,1,0.000128,14.666492,[60 63] ; [ 5 32],[49.96875 73.03125] ; [15.03125 21.96875],1
p9,1,0.000147,14.407705,[79 41] ; [10 24],[69.35064935 50.64935065] ; [19.64935065 14.35064935],1
r1,1,0.000242,13.47249,[86 35] ; [14 23],[76.58227848 44.41772152] ; [23.41772152 13.58227848],1
n6,1,0.000483,12.179123,[87 34] ; [15 22],[78.11392405 42.88607595] ; [23.88607595 13.11392405],1
d5,1,0.000731,11.407756,[97 25] ; [19 18],[89.00628931 32.99371069] ; [26.99371069 10.00628931],1
p4,1,0.001007,10.813736,[57 66] ; [ 6 31],[48.43125 74.56875] ; [14.56875 22.43125],0
p7,1,0.001114,10.628456,[64 59] ; [ 8 29],[55.35 67.65] ; [16.65 20.35],0
v2,1,0.001493,10.086625,[47 72] ; [ 4 32],[39.15483871 79.84516129] ; [11.84516129 24.15483871],0
a1,1,0.004285,8.158793,[  4 119] ; [ 6 31],[  7.6875 115.3125] ; [ 2.3125 34.6875],0
v1,1,0.00447,8.082105,[51 71] ; [ 6 31],[43.73584906 78.26415094] ; [13.26415094 23.73584906],0
s5,1,0.004671,8.002542,[37 78] ; [ 3 33],[30.46357616 84.53642384] ; [ 9.53642384 26.46357616],0
a7,1,0.005778,7.618364,[89 33] ; [18 19],[82.10062893 39.89937107] ; [24.89937107 12.10062893],0
b5,1,0.005788,7.61503,[84 39] ; [16 21],[76.875 46.125] ; [23.125 13.875],0
s8,1,0.007011,7.270243,[41 81] ; [ 4 33],[34.52830189 87.47169811] ; [10.47169811 26.52830189],0
d3,1,0.00966,6.696573,[78 43] ; [15 22],[71.22151899 49.77848101] ; [21.77848101 15.22151899],0
s3,1,0.010007,6.633586,[69 54] ; [11 24],[62.27848101 60.72151899] ; [17.72151899 17.27848101],0
d4,1,0.011326,6.413497,[95 27] ; [21 16],[89.00628931 32.99371069] ; [26.99371069 10.00628931],0
p10,1,0.012926,6.179276,[65 55] ; [11 25],[58.46153846 61.53846154] ; [17.53846154 18.46153846],0
s7,1,0.015837,5.820937,[50 65] ; [ 7 27],[43.99328859 71.00671141] ; [13.00671141 20.99328859],0
a5,1,0.017646,5.630997,[80 43] ; [16 21],[73.8 49.2] ; [22.2 14.8],0
p6,1,0.020817,5.342074,[37 85] ; [ 4 32],[31.65822785 90.34177215] ; [ 9.34177215 26.65822785],0
p8,1,0.022111,5.236996,[37 86] ; [ 4 32],[31.71698113 91.28301887] ; [ 9.28301887 26.71698113],0
p3,1,0.033724,4.50864,[46 76] ; [ 7 30],[40.66666667 81.33333333] ; [12.33333333 24.66666667],0
u3,1,0.035558,4.41819,[23 20] ; [ 4 13],[19.35 23.65] ; [7.65 9.35],0
a6,1,0.056189,3.646446,[75 48] ; [16 21],[69.95625 53.04375] ; [21.04375 15.95625],0
n5,1,0.068204,3.32572,[68 53] ; [27 10],[72.75316456 48.24683544] ; [22.24683544 14.75316456],0
b1,1,0.079678,3.071453,[63 60] ; [25 12],[67.65 55.35] ; [20.35 16.65],0
d1,1,0.091503,2.847726,[66 57] ; [14 23],[61.5 61.5] ; [18.5 18.5],0
