Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,102.132612,[429 114] ; [ 73 113],[373.91769547 169.08230453] ; [128.08230453  57.91769547],1
d3,1,0.0,67.680656,[446  97] ; [96 90],[403.71193416 139.28806584] ; [138.28806584  47.71193416],1
a2,1,0.0,32.023942,[174 370] ; [ 20 166],[144.56986301 399.43013699] ; [ 49.43013699 136.56986301],1
u1,1,0.0,28.106019,[137 407] ; [ 13 173],[111.78082192 432.21917808] ; [ 38.21917808 147.78082192],1
b5,1,4.7e-05,16.57575,[355 189] ; [90 96],[331.61643836 212.38356164] ; [113.38356164  72.61643836],1
b1,1,0.000611,11.740901,[181 363] ; [88 98],[200.46027397 343.53972603] ; [ 68.53972603 117.46027397],1
s7,1,0.0067,7.351788,[242 274] ; [105  74],[257.62877698 258.37122302] ; [89.37122302 89.62877698],0
s5,1,0.007758,7.088546,[168 355] ; [ 76 100],[182.56366237 340.43633763] ; [ 61.43633763 114.56366237],0
p2,1,0.020207,5.3939,[467  74] ; [144  38],[457.19363762  83.80636238] ; [153.80636238  28.19363762],0
n1,1,0.022866,5.178693,[36 78] ; [26 26],[42.57831325 71.42168675] ; [19.42168675 32.57831325],0
d1,1,0.033508,4.519651,[393 151] ; [119  67],[381.54520548 162.45479452] ; [130.45479452  55.54520548],0
r1,1,0.037918,4.30869,[451  88] ; [143  43],[441.60827586  97.39172414] ; [152.39172414  33.60827586],0
r4,1,0.067362,3.346158,[508  36] ; [166  20],[502.26849315  41.73150685] ; [171.73150685  14.26849315],0
s8,1,0.069222,3.301362,[239 302] ; [96 89],[249.63498623 291.36501377] ; [85.36501377 99.63498623],0
b3,1,0.073216,3.209411,[112 209] ; [53 67],[120.10204082 200.89795918] ; [44.89795918 75.10204082],0
b2,1,0.073216,3.209411,[112 209] ; [53 67],[120.10204082 200.89795918] ; [44.89795918 75.10204082],0
r2,1,0.111812,2.528425,[517  20] ; [172  12],[513.16643551  23.83356449] ; [175.83356449   8.16643551],0
n2,1,0.115661,2.47512,[80 35] ; [43 10],[84.19642857 30.80357143] ; [38.80357143 14.19642857],0
s4,1,0.140201,2.17575,[ 82 453] ; [ 37 148],[ 88.42361111 446.57638889] ; [ 30.57638889 154.42361111],0
u3,1,0.144967,2.124431,[87 52] ; [21 21],[82.93922652 56.06077348] ; [25.06077348 16.93922652],0
a4,1,0.16617,1.917162,[260 283] ; [100  86],[268.14814815 274.85185185] ; [91.85185185 94.14814815],0
a8,1,0.191853,1.703328,[ 73 409] ; [ 20 159],[ 67.81543116 414.18456884] ; [ 25.18456884 153.81543116],0
u2,1,0.201274,1.633106,[84 56] ; [20 21],[80.44198895 59.55801105] ; [23.55801105 17.44198895],0
v4,1,0.220532,1.500906,[518  23] ; [173  12],[514.91873278  26.08126722] ; [176.08126722   8.91873278],0
d2,1,0.223261,1.483285,[286 257] ; [107  78],[293.13049451 249.86950549] ; [99.86950549 85.13049451],0
p10,1,0.247357,1.338172,[441  94] ; [143  39],[435.76011158  99.23988842] ; [148.23988842  33.76011158],0
p9,1,0.273077,1.201222,[455  78] ; [150  33],[450.37011173  82.62988827] ; [154.62988827  28.37011173],0
b4,1,0.276484,1.184289,[326 218] ; [103  83],[319.69315068 224.30684932] ; [109.30684932  76.69315068],0
v2,1,0.288019,1.12886,[313 204] ; [102  80],[306.94563662 210.05436338] ; [108.05436338  73.94563662],0
n4,1,0.290225,1.118577,[417 126] ; [149  36],[422.16758242 120.83241758] ; [143.83241758  41.16758242],0
n5,1,0.304958,1.052388,[393 147] ; [141  43],[398.28729282 141.71270718] ; [135.71270718  48.28729282],0
p8,1,0.309415,1.033172,[282 253] ; [87 93],[276.1048951 258.8951049] ; [92.8951049 87.1048951],0
p5,1,0.312209,1.021307,[ 53 485] ; [ 23 161],[ 56.63157895 481.36842105] ; [ 19.36842105 164.63157895],0
s3,1,0.317287,1.000099,[292 242] ; [109  76],[297.82197497 236.17802503] ; [103.17802503  81.82197497],0
a1,1,0.346204,0.887321,[ 23 521] ; [ 11 175],[ 25.3369863 518.6630137] ; [  8.6630137 177.3369863],0
p4,1,0.349832,0.874066,[338 204] ; [107  76],[332.67586207 209.32413793] ; [112.32413793  70.67586207],0
p6,1,0.360073,0.83764,[190 345] ; [ 70 108],[195.0911641 339.9088359] ; [ 64.9088359 113.0911641],0
v3,1,0.367854,0.810901,[203 315] ; [ 77 102],[208.09182209 309.90817791] ; [ 71.90817791 107.09182209],0
a3,1,0.40399,0.696418,[403 139] ; [144  42],[407.24450549 134.75549451] ; [139.75549451  46.24450549],0
p7,1,0.407955,0.684754,[333 195] ; [121  61],[337.62253521 190.37746479] ; [116.37746479  65.62253521],0
u4,1,0.438754,0.59954,[ 12 532] ; [  6 180],[ 13.41369863 530.58630137] ; [  4.58630137 181.41369863],0
p1,1,0.450336,0.569805,[ 41 498] ; [ 11 174],[ 38.71270718 500.28729282] ; [ 13.28729282 171.71270718],0
p12,1,0.461849,0.541409,[ 42 499] ; [ 11 169],[ 39.76837725 501.23162275] ; [ 13.23162275 166.76837725],0
p11,1,0.468137,0.526371,[425 119] ; [150  36],[428.49315068 115.50684932] ; [146.50684932  39.49315068],0
d4,1,0.476813,0.506144,[487  57] ; [163  23],[484.38356164  59.61643836] ; [165.61643836  20.38356164],0
s2,1,0.503498,0.447556,[276 263] ; [100  85],[279.92265193 259.07734807] ; [96.07734807 88.92265193],0
n6,1,0.671774,0.179534,[457  84] ; [153  31],[455.1862069  85.8137931] ; [154.8137931  29.1862069],0
p3,1,0.688251,0.160985,[273 268] ; [96 88],[275.35034483 265.64965517] ; [93.64965517 90.35034483],0
s1,1,0.756443,0.096196,[ 15 521] ; [  6 179],[ 15.61165049 520.38834951] ; [  5.38834951 179.61165049],0
n3,1,0.815425,0.054491,[86 29] ; [38 14],[85.38922156 29.61077844] ; [38.61077844 13.38922156],0
s6,1,0.900219,0.015721,[367 168] ; [123  55],[367.67180926 167.32819074] ; [122.32819074  55.67180926],0
a5,1,0.952187,0.003595,[420 124] ; [144  42],[420.29589041 123.70410959] ; [143.70410959  42.29589041],0
v1,1,0.974862,0.000993,[291 237] ; [100  81],[291.1819464 236.8180536] ; [99.8180536 81.1819464],0
