Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.487473,[25 28] ; [62 11],[36.5952381 16.4047619] ; [50.4047619 22.5952381],1
r2,1,0.00028,13.197117,[35 18] ; [67  6],[42.9047619 10.0952381] ; [59.0952381 13.9047619],1
v4,1,0.000708,11.469218,[35 18] ; [66  7],[42.48412698 10.51587302] ; [58.51587302 14.48412698],1
s8,1,0.002992,8.812127,[ 7 46] ; [27 46],[14.3015873 38.6984127] ; [19.6984127 53.3015873],0
u3,1,0.004767,7.965842,[12 21] ; [29 13],[18.04 14.96] ; [22.96 19.04],0
s6,1,0.010971,6.470009,[18 35] ; [41 31],[25.016 27.984] ; [33.984 38.016],0
d5,1,0.020081,5.404882,[27 26] ; [52 21],[33.23015873 19.76984127] ; [45.76984127 27.23015873],0
d1,1,0.020509,5.368043,[12 41] ; [31 42],[18.08730159 34.91269841] ; [24.91269841 48.08730159],0
u2,1,0.035309,4.430155,[12 21] ; [25 16],[16.5 16.5] ; [20.5 20.5],0
b3,1,0.041437,4.158056,[14 13] ; [ 8 23],[10.24137931 16.75862069] ; [11.75862069 19.24137931],0
b2,1,0.041437,4.158056,[14 13] ; [ 8 23],[10.24137931 16.75862069] ; [11.75862069 19.24137931],0
a6,1,0.047135,3.940553,[21 32] ; [42 31],[26.5 26.5] ; [36.5 36.5],0
r3,1,0.047236,3.936975,[39 14] ; [63  9],[43.248  9.752] ; [58.752 13.248],0
s1,1,0.073827,3.195818,[ 1 52] ; [ 7 64],[ 3.41935484 49.58064516] ; [ 4.58064516 66.41935484],0
a4,1,0.079687,3.071279,[ 6 47] ; [17 55],[ 9.752 43.248] ; [13.248 58.752],0
a7,1,0.083691,2.991727,[28 25] ; [49 23],[32.648 20.352] ; [44.352 27.648],0
s7,1,0.097841,2.740388,[ 9 43] ; [21 48],[12.89256198 39.10743802] ; [17.10743802 51.89256198],0
p6,1,0.123357,2.374174,[ 8 44] ; [ 5 68],[ 5.408 46.592] ; [ 7.592 65.408],0
s2,1,0.151418,2.057912,[13 40] ; [26 45],[16.66935484 36.33064516] ; [22.33064516 48.66935484],0
v2,1,0.158133,1.991992,[14 37] ; [26 39],[17.5862069 33.4137931] ; [22.4137931 42.5862069],0
p3,1,0.170307,1.880235,[ 9 44] ; [20 53],[12.1984127 40.8015873] ; [16.8015873 56.1984127],0
a1,1,0.175075,1.838943,[ 3 50] ; [ 1 72],[ 1.68253968 51.31746032] ; [ 2.31746032 70.68253968],0
d4,1,0.20507,1.605893,[31 22] ; [50 22],[34.344 18.656] ; [46.656 25.344],0
s3,1,0.217686,1.519563,[18 34] ; [32 38],[21.31147541 30.68852459] ; [28.68852459 41.31147541],0
p2,1,0.228063,1.4529,[30 23] ; [49 24],[33.23015873 19.76984127] ; [45.76984127 27.23015873],0
