Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,34.958788,[25 26] ; [149  21],[40.15384615 10.84615385] ; [133.84615385  36.15384615],1
a4,1,1e-06,24.338881,[ 4 46] ; [79 91],[18.86363636 31.13636364] ; [ 64.13636364 105.86363636],1
a3,1,1.4e-05,18.839221,[22 28] ; [129  40],[34.47488584 15.52511416] ; [116.52511416  52.47488584],1
d2,1,1.9e-05,18.261852,[ 7 44] ; [80 90],[20.07692308 30.92307692] ; [ 66.92307692 103.07692308],1
a5,1,5.5e-05,16.269918,[22 29] ; [125  45],[33.92307692 17.07692308] ; [113.07692308  56.92307692],1
d3,1,0.000263,13.318733,[19 32] ; [112  58],[30.23076923 20.76923077] ; [100.76923077  69.23076923],1
s8,1,0.004372,8.122408,[16 35] ; [92 78],[24.92307692 26.07692308] ; [83.07692308 86.92307692],0
u1,1,0.004666,8.004527,[ 1 50] ; [ 30 140],[ 7.15384615 43.84615385] ; [ 23.84615385 146.15384615],0
b5,1,0.005642,7.661224,[26 25] ; [122  48],[34.15384615 16.84615385] ; [113.84615385  56.15384615],0
r2,1,0.025929,4.960718,[45  6] ; [160   6],[48.1797235  2.8202765] ; [156.8202765   9.1797235],0
r3,1,0.073361,3.206161,[45  6] ; [160   8],[47.73972603  3.26027397] ; [157.26027397  10.73972603],0
s4,1,0.082077,3.023289,[16 35] ; [ 33 134],[11.46330275 39.53669725] ; [ 37.53669725 129.46330275],0
s2,1,0.093101,2.819916,[24 25] ; [106  64],[29.08675799 19.91324201] ; [100.91324201  69.08675799],0
p2,1,0.119015,2.430239,[33 18] ; [128  41],[37.32272727 13.67727273] ; [123.67727273  45.32272727],0
b4,1,0.125924,2.342051,[26 25] ; [107  63],[30.69230769 20.30769231] ; [102.30769231  67.69230769],0
p9,1,0.170969,1.87443,[39 12] ; [139  25],[42.22325581  8.77674419] ; [135.77674419  28.22325581],0
s1,1,0.177365,1.819565,[ 4 45] ; [  6 162],[ 2.25806452 46.74193548] ; [  7.74193548 160.25806452],0
p1,1,0.17834,1.811403,[ 5 46] ; [  8 161],[ 3.01363636 47.98636364] ; [  9.98636364 159.01363636],0
a7,1,0.219025,1.510745,[32 19] ; [122  48],[35.53846154 15.46153846] ; [118.46153846  51.53846154],0
r1,1,0.226229,1.464412,[37 14] ; [136  33],[40.10454545 10.89545455] ; [132.89545455  36.10454545],0
p8,1,0.256392,1.288135,[21 30] ; [ 53 110],[17.63551402 33.36448598] ; [ 56.36448598 106.63551402],0
n6,1,0.26658,1.234259,[39 12] ; [140  28],[41.68493151  9.31506849] ; [137.31506849  30.68493151],0
a8,1,0.271022,1.211566,[ 5 43] ; [ 26 127],[ 7.40298507 40.59701493] ; [ 23.59701493 129.40298507],0
r4,1,0.275182,1.190733,[42  9] ; [150  20],[44.30769231  6.69230769] ; [147.69230769  22.30769231],0
p7,1,0.27609,1.186238,[22 27] ; [85 73],[25.32850242 23.67149758] ; [81.67149758 76.32850242],0
v2,1,0.285425,1.141077,[23 25] ; [89 68],[26.22439024 21.77560976] ; [85.77560976 71.22439024],0
a1,1,0.315145,1.008989,[ 1 50] ; [  9 161],[ 2.30769231 48.69230769] ; [  7.69230769 162.30769231],0
n3,1,0.35244,0.864653,[10  6] ; [38 13],[11.46268657  4.53731343] ; [36.53731343 14.46268657],0
p11,1,0.386849,0.748822,[40 11] ; [123  47],[37.61538462 13.38461538] ; [125.38461538  44.61538462],0
n1,1,0.397681,0.715327,[ 5 11] ; [22 29],[6.44776119 9.55223881] ; [20.55223881 30.44776119],0
s7,1,0.423012,0.641933,[24 26] ; [92 77],[26.48401826 23.51598174] ; [89.51598174 79.48401826],0
a6,1,0.423565,0.640401,[31 20] ; [113  56],[33.38181818 17.61818182] ; [110.61818182  58.38181818],0
n5,1,0.430119,0.622503,[37 14] ; [112  56],[34.69863014 16.30136986] ; [114.30136986  53.69863014],0
u2,1,0.44381,0.586413,[17 11] ; [20 19],[15.46268657 12.53731343] ; [21.53731343 17.46268657],0
n2,1,0.517686,0.418501,[14  2] ; [41 10],[13.13432836  2.86567164] ; [41.86567164  9.13432836],0
s3,1,0.523999,0.406015,[32 16] ; [120  48],[33.77777778 14.22222222] ; [118.22222222  49.77777778],0
b1,1,0.555597,0.347385,[20 31] ; [ 59 111],[18.23076923 32.76923077] ; [ 60.76923077 109.23076923],0
n4,1,0.610272,0.259779,[34 17] ; [119  50],[35.46818182 15.53181818] ; [117.53181818  51.46818182],0
p6,1,0.639067,0.219965,[10 39] ; [ 29 137],[ 8.88837209 40.11162791] ; [ 30.11162791 135.88837209],0
p12,1,0.65557,0.19895,[ 3 48] ; [ 13 155],[ 3.7260274 47.2739726] ; [ 12.2739726 155.7260274],0
b2,1,0.657654,0.196385,[ 7 16] ; [36 66],[ 7.912 15.088] ; [35.088 66.912],0
b3,1,0.657654,0.196385,[ 7 16] ; [36 66],[ 7.912 15.088] ; [35.088 66.912],0
p3,1,0.691688,0.157264,[11 40] ; [ 41 128],[12.05454545 38.94545455] ; [ 39.94545455 129.05454545],0
s5,1,0.735587,0.114044,[18 32] ; [ 63 100],[19.01408451 30.98591549] ; [ 61.98591549 101.01408451],0
p10,1,0.781549,0.076896,[39 12] ; [130  36],[39.71889401 11.28110599] ; [129.28110599  36.71889401],0
