Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.950169,[5 5] ; [69  3],[9.02439024 0.97560976] ; [64.97560976  7.02439024],1
v2,1,0.005775,7.619048,[2 8] ; [46 24],[6. 4.] ; [42. 28.],0
a6,1,0.006999,7.273178,[3 7] ; [53 20],[6.74698795 3.25301205] ; [49.25301205 23.74698795],0
n6,1,0.017831,5.612678,[8 2] ; [70  2],[9.51219512 0.48780488] ; [68.48780488  3.51219512],0
p7,1,0.025678,4.977592,[6 4] ; [63  9],[8.41463415 1.58536585] ; [60.58536585 11.41463415],0
a5,1,0.02958,4.733547,[5 5] ; [59 14],[7.71084337 2.28915663] ; [56.28915663 16.71084337],0
p9,1,0.049912,3.844416,[8 2] ; [69  3],[9.3902439 0.6097561] ; [67.6097561  4.3902439],0
n2,1,0.052261,3.767399,[1 2] ; [12  2],[2.29411765 0.70588235] ; [10.70588235  3.29411765],0
s5,1,0.054397,3.700467,[3 5] ; [47 19],[5.40540541 2.59459459] ; [44.59459459 21.40540541],0
a3,1,0.054664,3.692307,[6 4] ; [62 11],[8.19277108 1.80722892] ; [59.80722892 13.19277108],0
b5,1,0.084605,2.974134,[7 3] ; [30 43],[4.45783133 5.54216867] ; [32.54216867 40.45783133],0
s4,1,0.110665,2.544702,[3 7] ; [ 8 62],[1.375 8.625] ; [ 9.625 60.375],0
u1,1,0.209875,1.57229,[4 6] ; [16 57],[2.40963855 7.59036145] ; [17.59036145 55.40963855],0
b1,1,0.223397,1.482414,[6 4] ; [29 44],[4.21686747 5.78313253] ; [30.78313253 42.21686747],0
v3,1,0.231402,1.432225,[4 6] ; [42 28],[5.75 4.25] ; [40.25 29.75],0
p6,1,0.232409,1.426056,[5 5] ; [49 22],[6.66666667 3.33333333] ; [47.33333333 23.66666667],0
s3,1,0.233401,1.420017,[8 2] ; [43 28],[6.2962963 3.7037037] ; [44.7037037 26.2962963],0
b3,1,0.246373,1.343756,[2 5] ; [28 26],[3.44262295 3.55737705] ; [26.55737705 27.44262295],0
b2,1,0.246373,1.343756,[2 5] ; [28 26],[3.44262295 3.55737705] ; [26.55737705 27.44262295],0
b4,1,0.406035,0.690381,[7 3] ; [41 32],[5.78313253 4.21686747] ; [42.21686747 30.78313253],0
d3,1,0.410312,0.677895,[8 2] ; [49 24],[6.86746988 3.13253012] ; [50.13253012 22.86746988],0
p12,1,0.507268,0.439699,[2 8] ; [22 51],[2.89156627 7.10843373] ; [21.10843373 51.89156627],0
p1,1,0.528272,0.397715,[4 6] ; [22 51],[3.13253012 6.86746988] ; [22.86746988 50.13253012],0
d5,1,0.536317,0.382409,[9 1] ; [60 13],[8.31325301 1.68674699] ; [60.68674699 12.31325301],0
a1,1,0.536317,0.382409,[1 9] ; [13 60],[1.68674699 8.31325301] ; [12.31325301 60.68674699],0
s8,1,0.565422,0.330403,[7 3] ; [43 28],[6.17283951 3.82716049] ; [43.82716049 27.17283951],0
r3,1,0.591175,0.288514,[9 1] ; [67  4],[9.38271605 0.61728395] ; [66.61728395  4.38271605],0
a8,1,0.59403,0.284094,[2 8] ; [ 9 57],[1.44736842 8.55263158] ; [ 9.55263158 56.44736842],0
d4,1,0.599335,0.276,[9 1] ; [61 12],[8.43373494 1.56626506] ; [61.56626506 11.43373494],0
d1,1,0.666272,0.185994,[7 3] ; [46 27],[6.38554217 3.61445783] ; [46.61445783 26.38554217],0
u2,1,0.679708,0.170455,[3 1] ; [7 4],[2.66666667 1.33333333] ; [7.33333333 3.66666667],0
d2,1,0.695502,0.153194,[6 4] ; [39 34],[5.42168675 4.57831325] ; [39.57831325 33.42168675],0
p2,1,0.718238,0.130187,[9 1] ; [68  5],[9.27710843 0.72289157] ; [67.72289157  5.27710843],0
a4,1,0.756116,0.096463,[4 6] ; [33 40],[4.45783133 5.54216867] ; [32.54216867 40.45783133],0
v1,1,0.767438,0.087455,[6 4] ; [46 25],[6.41975309 3.58024691] ; [45.58024691 25.41975309],0
p8,1,0.792934,0.068908,[8 2] ; [60 12],[8.29268293 1.70731707] ; [59.70731707 12.29268293],0
r1,1,0.792934,0.068908,[8 2] ; [60 12],[8.29268293 1.70731707] ; [59.70731707 12.29268293],0
s2,1,0.826756,0.047901,[6 4] ; [40 31],[5.67901235 4.32098765] ; [40.32098765 30.67901235],0
s7,1,0.835543,0.043097,[7 3] ; [49 18],[7.27272727 2.72727273] ; [48.72727273 18.27272727],0
s1,1,0.849271,0.036119,[1 9] ; [ 6 67],[0.84337349 9.15662651] ; [ 6.15662651 66.84337349],0
r2,1,0.870325,0.026649,[9 1] ; [65  6],[9.13580247 0.86419753] ; [64.86419753  6.13580247],0
a7,1,0.935723,0.006504,[7 3] ; [52 21],[7.10843373 2.89156627] ; [51.89156627 21.10843373],0
a2,1,0.967881,0.001621,[2 8] ; [15 58],[2.04819277 7.95180723] ; [14.95180723 58.04819277],0
