Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.63796,[82 22] ; [18 28],[69.33333333 34.66666667] ; [30.66666667 15.33333333],1
p10,1,7.9e-05,15.592568,[87 14] ; [26 20],[77.63945578 23.36054422] ; [35.36054422 10.63945578],1
n6,1,0.001953,9.592952,[92 12] ; [31 15],[85.28 18.72] ; [37.72  8.28],0
s7,1,0.00336,8.600639,[47 49] ; [10 34],[39.08571429 56.91428571] ; [17.91428571 26.08571429],0
p8,1,0.004606,8.027852,[60 40] ; [16 30],[52.05479452 47.94520548] ; [23.94520548 22.05479452],0
d2,1,0.004818,7.946519,[31 73] ; [ 4 42],[24.26666667 79.73333333] ; [10.73333333 35.26666667],0
v1,1,0.025602,4.982707,[52 50] ; [14 31],[45.79591837 56.20408163] ; [20.20408163 24.79591837],0
p9,1,0.036563,4.370643,[87 14] ; [33 13],[82.44897959 18.55102041] ; [37.55102041  8.44897959],0
a1,1,0.05096,3.809574,[  2 102] ; [ 4 42],[ 4.16 99.84] ; [ 1.84 44.16],0
a5,1,0.055504,3.666884,[60 43] ; [19 27],[54.61073826 48.38926174] ; [24.38926174 21.61073826],0
s6,1,0.058866,3.569059,[64 37] ; [21 24],[58.80136986 42.19863014] ; [26.19863014 18.80136986],0
s2,1,0.063921,3.432619,[48 53] ; [14 31],[42.89041096 58.10958904] ; [19.10958904 25.89041096],0
p4,1,0.067241,3.34913,[52 50] ; [16 30],[46.86486486 55.13513514] ; [21.13513514 24.86486486],0
v2,1,0.067884,3.333448,[51 48] ; [15 28],[46.01408451 52.98591549] ; [19.98591549 23.01408451],0
v3,1,0.092241,2.834825,[37 65] ; [10 35],[32.6122449 69.3877551] ; [14.3877551 30.6122449],0
s3,1,0.12454,2.35928,[56 44] ; [19 26],[51.72413793 48.27586207] ; [23.27586207 21.72413793],0
a6,1,0.136491,2.217081,[67 36] ; [24 22],[62.90604027 40.09395973] ; [28.09395973 17.90604027],0
p5,1,0.15313,2.040788,[15 86] ; [ 3 43],[12.36734694 88.63265306] ; [ 5.63265306 40.36734694],0
a4,1,0.164647,1.931017,[26 76] ; [ 7 39],[22.74324324 79.25675676] ; [10.25675676 35.74324324],0
p3,1,0.186881,1.742037,[45 57] ; [15 31],[41.35135135 60.64864865] ; [18.64864865 27.35135135],0
p1,1,0.19837,1.654337,[17 85] ; [ 4 42],[14.47297297 87.52702703] ; [ 6.52702703 39.47297297],0
a2,1,0.211169,1.563395,[11 93] ; [ 2 44],[ 9.01333333 94.98666667] ; [ 3.98666667 42.01333333],0
p6,1,0.221863,1.492282,[36 66] ; [11 33],[32.83561644 69.16438356] ; [14.16438356 29.83561644],0
b5,1,0.247772,1.335825,[55 49] ; [29 17],[58.24 45.76] ; [25.76 20.24],0
a3,1,0.284405,1.145917,[59 44] ; [22 24],[55.99328859 47.00671141] ; [25.00671141 20.99328859],0
n1,1,0.304979,1.052296,[ 9 12] ; [3 9],[ 7.63636364 13.36363636] ; [4.36363636 7.63636364],0
s1,1,0.314799,1.010433,[ 6 94] ; [ 1 45],[ 4.79452055 95.20547945] ; [ 2.20547945 43.79452055],0
p12,1,0.319555,0.990767,[12 89] ; [ 3 43],[10.30612245 90.69387755] ; [ 4.69387755 41.30612245],0
n2,1,0.356957,0.848571,[17  4] ; [8 4],[15.90909091  5.09090909] ; [9.09090909 2.90909091],0
u2,1,0.365028,0.820522,[23 22] ; [15  9],[24.7826087 20.2173913] ; [13.2173913 10.7826087],0
s5,1,0.391006,0.735812,[30 69] ; [10 33],[27.88732394 71.11267606] ; [12.11267606 30.88732394],0
n3,1,0.408937,0.681888,[17  4] ; [11  1],[17.81818182  3.18181818] ; [10.18181818  1.81818182],0
b4,1,0.420943,0.64768,[66 38] ; [26 20],[63.78666667 40.21333333] ; [28.21333333 17.78666667],0
s8,1,0.421174,0.647037,[38 64] ; [14 32],[35.83783784 66.16216216] ; [16.16216216 29.83783784],0
r4,1,0.428287,0.627464,[89 15] ; [37  9],[87.36 16.64] ; [38.64  7.36],0
d1,1,0.448935,0.57334,[ 8 96] ; [ 2 44],[ 6.93333333 97.06666667] ; [ 3.06666667 42.93333333],0
b2,1,0.513681,0.426562,[26 38] ; [ 9 18],[24.61538462 39.38461538] ; [10.38461538 16.61538462],0
b3,1,0.513681,0.426562,[26 38] ; [ 9 18],[24.61538462 39.38461538] ; [10.38461538 16.61538462],0
a8,1,0.518114,0.417646,[10 88] ; [ 6 37],[11.12056738 86.87943262] ; [ 4.87943262 38.12056738],0
b1,1,0.53841,0.378495,[44 60] ; [17 29],[42.29333333 61.70666667] ; [18.70666667 27.29333333],0
r2,1,0.546493,0.363637,[91 12] ; [39  7],[89.86577181 13.13422819] ; [40.13422819  5.86577181],0
v4,1,0.562238,0.335843,[96  7] ; [44  2],[96.77852349  6.22147651] ; [43.22147651  2.77852349],0
s4,1,0.576857,0.311343,[22 81] ; [ 8 38],[20.73825503 82.26174497] ; [ 9.26174497 36.73825503],0
a7,1,0.608783,0.261952,[65 38] ; [27 19],[63.59731544 39.40268456] ; [28.40268456 17.59731544],0
p7,1,0.697504,0.151081,[59 41] ; [25 20],[57.93103448 42.06896552] ; [26.06896552 18.93103448],0
r1,1,0.728557,0.120441,[74 30] ; [34 12],[74.88 29.12] ; [33.12 12.88],0
d4,1,0.764231,0.089958,[51 52] ; [24 22],[51.84563758 51.15436242] ; [23.15436242 22.84563758],0
r3,1,0.847397,0.037033,[95  8] ; [42  4],[94.70469799  8.29530201] ; [42.29530201  3.70469799],0
d3,1,0.863202,0.029687,[41 62] ; [19 27],[41.47651007 61.52348993] ; [18.52348993 27.47651007],0
u3,1,0.929935,0.007731,[23 22] ; [12 12],[22.82608696 22.17391304] ; [12.17391304 11.82608696],0
p2,1,0.960894,0.002404,[75 27] ; [34 12],[75.12162162 26.87837838] ; [33.87837838 12.12162162],0
