Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,70.136264,[174 128] ; [ 49 180],[126.82862524 175.17137476] ; [ 96.17137476 132.82862524],1
v1,1,0.0,35.083773,[208  96] ; [ 97 130],[174.61393597 129.38606403] ; [130.38606403  96.61393597],1
b1,1,0.001536,10.034947,[ 99 211] ; [105 127],[116.67896679 193.32103321] ; [ 87.32103321 144.67896679],0
a6,1,0.005419,7.734035,[221  86] ; [140  91],[205.99814126 101.00185874] ; [155.00185874  75.99814126],0
a5,1,0.007372,7.180063,[249  60] ; [164  68],[235.8909427  73.1090573] ; [177.1090573  54.8909427],0
r1,1,0.009367,6.751567,[280  29] ; [192  39],[270.08888889  38.91111111] ; [201.91111111  29.08888889],0
p10,1,0.011282,6.420381,[271  36] ; [184  45],[260.60634328  46.39365672] ; [194.39365672  34.60634328],0
d1,1,0.013431,6.111371,[206 104] ; [130 102],[192.17712177 117.82287823] ; [143.82287823  88.17712177],0
p3,1,0.014471,5.979762,[180 128] ; [111 121],[165.97777778 142.02222222] ; [125.02222222 106.97777778],0
s1,1,0.014676,5.954938,[  7 297] ; [ 15 214],[ 12.5478424 291.4521576] ; [  9.4521576 219.5478424],0
a7,1,0.019591,5.447957,[241  67] ; [161  71],[229.28888889  78.71111111] ; [172.71111111  59.28888889],0
p9,1,0.022788,5.184611,[278  27] ; [195  35],[269.65420561  35.34579439] ; [203.34579439  26.65420561],0
d5,1,0.025052,5.020311,[267  42] ; [182  48],[257.40445269  51.59554731] ; [191.59554731  38.40445269],0
u1,1,0.02706,4.886993,[ 78 232] ; [ 40 192],[ 67.49077491 242.50922509] ; [ 50.50922509 181.49077491],0
d4,1,0.03011,4.703014,[270  38] ; [186  44],[261.05576208  46.94423792] ; [194.94423792  35.05576208],0
s4,1,0.031182,4.642901,[ 55 253] ; [ 58 169],[ 65.05420561 242.94579439] ; [ 47.94579439 179.05420561],0
s7,1,0.034599,4.46487,[197 101] ; [126  95],[185.46050096 112.53949904] ; [137.53949904  83.46050096],0
a3,1,0.034663,4.461684,[237  71] ; [159  72],[226.28571429  81.71428571] ; [169.71428571  61.28571429],0
d2,1,0.043966,4.057863,[167 141] ; [105 126],[155.42857143 152.57142857] ; [116.57142857 114.42857143],0
p12,1,0.044129,4.051608,[ 39 269] ; [ 17 215],[ 31.94074074 276.05925926] ; [ 24.05925926 207.94074074],0
a2,1,0.089548,2.882484,[ 91 219] ; [ 53 179],[ 82.36162362 227.63837638] ; [ 61.63837638 170.36162362],0
d3,1,0.095044,2.78679,[227  81] ; [155  76],[218.28571429  89.71428571] ; [163.71428571  67.28571429],0
