Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.003731,8.410533,[50 12] ; [6 8],[45.68421053 16.31578947] ; [10.31578947  3.68421053],0
s5,1,0.003989,8.289017,[38 19] ; [ 3 10],[33.38571429 23.61428571] ; [7.61428571 5.38571429],0
a5,1,0.016769,5.72043,[50 12] ; [7 7],[46.5 15.5] ; [10.5  3.5],0
d5,1,0.03196,4.600622,[57  5] ; [10  4],[54.65789474  7.34210526] ; [12.34210526  1.65789474],0
s2,1,0.035092,4.440685,[49 13] ; [6 6],[46.08108108 15.91891892] ; [8.91891892 3.08108108],0
p9,1,0.036964,4.352055,[55  5] ; [10  4],[52.7027027  7.2972973] ; [12.2972973  1.7027027],0
a6,1,0.062737,3.4635,[39 23] ; [5 9],[35.89473684 26.10526316] ; [8.10526316 5.89473684],0
d2,1,0.095521,2.778786,[33 29] ; [ 4 10],[30.18421053 31.81578947] ; [6.81578947 7.18421053],0
a4,1,0.095521,2.778786,[33 29] ; [ 4 10],[30.18421053 31.81578947] ; [6.81578947 7.18421053],0
s6,1,0.095676,2.776182,[51  8] ; [8 4],[49.02816901  9.97183099] ; [9.97183099 2.02816901],0
u1,1,0.107007,2.597878,[17 45] ; [ 1 13],[14.68421053 47.31578947] ; [ 3.31578947 10.68421053],0
v2,1,0.114218,2.494863,[36 25] ; [5 9],[33.34666667 27.65333333] ; [7.65333333 6.34666667],0
a3,1,0.119673,2.421593,[48 14] ; [8 6],[45.68421053 16.31578947] ; [10.31578947  3.68421053],0
a2,1,0.157531,1.997773,[15 47] ; [ 1 13],[13.05263158 48.94736842] ; [ 2.94736842 11.05263158],0
v4,1,0.165762,1.920861,[59  3] ; [11  2],[57.86666667  4.13333333] ; [12.13333333  0.86666667],0
p3,1,0.168047,1.900282,[39 23] ; [6 8],[36.71052632 25.28947368] ; [8.28947368 5.71052632],0
p8,1,0.216523,1.527265,[36 23] ; [6 8],[33.94520548 25.05479452] ; [8.05479452 5.94520548],0
p10,1,0.23877,1.387839,[54  6] ; [11  3],[52.7027027  7.2972973] ; [12.2972973  1.7027027],0
v3,1,0.294755,1.097775,[22 39] ; [ 3 11],[20.33333333 40.66666667] ; [4.66666667 9.33333333],0
p11,1,0.305348,1.050691,[48 14] ; [9 5],[46.5 15.5] ; [10.5  3.5],0
u3,1,0.357197,0.847724,[10  4] ; [3 3],[9.1 4.9] ; [3.9 2.1],0
n6,1,0.388053,0.745036,[52 10] ; [13  1],[53.02631579  8.97368421] ; [11.97368421  2.02631579],0
u2,1,0.394305,0.725624,[5 9] ; [1 5],[4.2 9.8] ; [1.8 4.2],0
b4,1,0.417389,0.657655,[34 28] ; [6 8],[32.63157895 29.36842105] ; [7.36842105 6.63157895],0
s3,1,0.426574,0.632132,[45 17] ; [8 5],[43.81333333 18.18666667] ; [9.18666667 3.81333333],0
r1,1,0.444859,0.583717,[50 12] ; [10  4],[48.94736842 13.05263158] ; [11.05263158  2.94736842],0
p2,1,0.444859,0.583717,[50 12] ; [10  4],[48.94736842 13.05263158] ; [11.05263158  2.94736842],0
s7,1,0.450118,0.570355,[39 21] ; [7 6],[37.80821918 22.19178082] ; [8.19178082 4.80821918],0
p4,1,0.450232,0.570067,[42 20] ; [8 6],[40.78947368 21.21052632] ; [9.21052632 4.78947368],0
s1,1,0.505789,0.442769,[ 2 59] ; [ 1 13],[ 2.44 58.56] ; [ 0.56 13.44],0
s8,1,0.50771,0.438783,[37 25] ; [7 7],[35.89473684 26.10526316] ; [8.10526316 5.89473684],0
n5,1,0.537464,0.38026,[49 13] ; [10  4],[48.13157895 13.86842105] ; [10.86842105  3.13157895],0
n4,1,0.565531,0.330217,[44 18] ; [11  3],[44.86842105 17.13157895] ; [10.13157895  3.86842105],0
p7,1,0.612939,0.255917,[42 17] ; [9 5],[41.21917808 17.78082192] ; [9.78082192 4.21917808],0
b1,1,0.668788,0.183024,[26 36] ; [5 9],[25.28947368 36.71052632] ; [5.71052632 8.28947368],0
b5,1,0.688607,0.160597,[39 23] ; [8 6],[38.34210526 23.65789474] ; [8.65789474 5.34210526],0
a7,1,0.712466,0.135827,[43 19] ; [9 5],[42.42105263 19.57894737] ; [9.57894737 4.42105263],0
r2,1,0.727297,0.121608,[59  3] ; [13  1],[58.73684211  3.26315789] ; [13.26315789  0.73684211],0
p1,1,0.767072,0.087739,[ 6 56] ; [ 1 13],[ 5.71052632 56.28947368] ; [ 1.28947368 12.71052632],0
r4,1,0.924927,0.008879,[58  4] ; [13  1],[57.92105263  4.07894737] ; [13.07894737  0.92105263],0
n1,1,0.95218,0.003596,[5 8] ; [2 3],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
