Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.182714,[78 38] ; [57 97],[58. 58.] ; [77. 77.],1
s2,1,2.3e-05,17.92662,[70 49] ; [ 53 106],[52.65107914 66.34892086] ; [70.34892086 88.65107914],1
v3,1,0.000127,14.688372,[52 62] ; [ 36 118],[37.43283582 76.56716418] ; [ 50.56716418 103.43283582],1
s6,1,0.000298,13.083776,[82 37] ; [75 84],[67.20503597 51.79496403] ; [89.79496403 69.20503597],1
p2,1,0.000598,11.781534,[94 28] ; [92 68],[80.46808511 41.53191489] ; [105.53191489  54.46808511],1
p12,1,0.010913,6.479487,[ 14 106] ; [  6 154],[  8.57142857 111.42857143] ; [ 11.42857143 148.57142857],0
p9,1,0.011784,6.343148,[96 23] ; [106  52],[86.77978339 32.22021661] ; [115.22021661  42.77978339],0
p3,1,0.013698,6.07663,[46 75] ; [ 39 121],[36.60142349 84.39857651] ; [ 48.39857651 111.60142349],0
p4,1,0.018479,5.55015,[60 62] ; [ 56 103],[50.36298932 71.63701068] ; [65.63701068 93.36298932],0
v4,1,0.018928,5.508109,[114   8] ; [135  25],[107.72340426  14.27659574] ; [141.27659574  18.72340426],0
r3,1,0.02031,5.385058,[116   6] ; [139  21],[110.31914894  11.68085106] ; [144.68085106  15.31914894],0
s5,1,0.020499,5.36889,[39 74] ; [ 33 119],[30.70188679 82.29811321] ; [ 41.29811321 110.70188679],0
p5,1,0.031132,4.645676,[ 11 109] ; [  5 155],[  6.85714286 113.14285714] ; [  9.14285714 150.85714286],0
r4,1,0.039299,4.247875,[105  17] ; [122  38],[98.20567376 23.79432624] ; [128.79432624  31.20567376],0
s3,1,0.046341,3.969172,[65 55] ; [67 92],[56.77419355 63.22580645] ; [75.22580645 83.77419355],0
p8,1,0.06874,3.312864,[36 86] ; [ 32 127],[29.52313167 92.47686833] ; [ 38.47686833 120.52313167],0
s7,1,0.105982,2.613142,[49 63] ; [ 52 101],[42.68679245 69.31320755] ; [58.31320755 94.68679245],0
p6,1,0.118253,2.440302,[23 96] ; [ 20 140],[ 18.34050179 100.65949821] ; [ 24.65949821 135.34050179],0
r2,1,0.124298,2.362316,[114   8] ; [139  19],[110.23571429  11.76428571] ; [142.76428571  15.23571429],0
a5,1,0.134709,2.237386,[93 29] ; [109  51],[87.39007092 34.60992908] ; [114.60992908  45.39007092],0
b3,1,0.170167,1.881473,[32 39] ; [31 59],[27.7826087 43.2173913] ; [35.2173913 54.7826087],0
b2,1,0.170167,1.881473,[32 39] ; [31 59],[27.7826087 43.2173913] ; [35.2173913 54.7826087],0
p11,1,0.186116,1.748098,[84 38] ; [98 62],[78.73758865 43.26241135] ; [103.26241135  56.73758865],0
b5,1,0.190021,1.717454,[81 41] ; [94 66],[75.70921986 46.29078014] ; [99.29078014 60.70921986],0
s1,1,0.192947,1.694971,[  3 118] ; [  9 150],[  5.18571429 115.81428571] ; [  6.81428571 152.18571429],0
r1,1,0.197632,1.659789,[95 27] ; [113  46],[90.30604982 31.69395018] ; [117.69395018  41.30604982],0
u3,1,0.201996,1.627884,[25 12] ; [27 23],[22.11494253 14.88505747] ; [29.88505747 20.11494253],0
u2,1,0.205931,1.599804,[25 11] ; [28 22],[22.18604651 13.81395349] ; [30.81395349 19.18604651],0
a8,1,0.205959,1.599603,[11 98] ; [  9 144],[  8.32061069 100.67938931] ; [ 11.67938931 141.32061069],0
a2,1,0.268219,1.225832,[32 90] ; [ 33 127],[28.12056738 93.87943262] ; [ 36.87943262 123.12056738],0
n4,1,0.272216,1.205547,[89 33] ; [107  53],[84.79432624 37.20567376] ; [111.20567376  48.79432624],0
s8,1,0.274348,1.194879,[45 75] ; [ 50 110],[40.71428571 79.28571429] ; [ 54.28571429 105.71428571],0
p10,1,0.304856,1.05283,[84 36] ; [102  57],[80. 40.] ; [106.  53.],0
a4,1,0.329809,0.94965,[67 55] ; [78 81],[62.95373665 59.04626335] ; [82.04626335 76.95373665],0
s4,1,0.380125,0.770297,[ 17 102] ; [ 29 130],[19.69064748 99.30935252] ; [ 26.30935252 132.69064748],0
b4,1,0.407379,0.686438,[75 47] ; [106  54],[78.30496454 43.69503546] ; [102.69503546  57.30496454],0
n2,1,0.415743,0.662317,[24 10] ; [38 23],[22.18947368 11.81052632] ; [39.81052632 21.18947368],0
u4,1,0.452882,0.56343,[  4 118] ; [  3 157],[  3.02836879 118.97163121] ; [  3.97163121 156.02836879],0
