Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,131.19627,[373   4] ; [32 22],[354.2575406  22.7424594] ; [50.7424594  3.2575406],1
r1,1,0.0,77.332626,[311  63] ; [16 39],[285.07692308  88.92307692] ; [41.92307692 13.07692308],1
r2,1,0.0,76.135028,[369   8] ; [36 17],[355.08139535  21.91860465] ; [49.91860465  3.08139535],1
p11,1,3e-06,21.732844,[275 102] ; [23 32],[260.06018519 116.93981481] ; [37.93981481 17.06018519],1
p10,1,0.000267,13.290271,[277  94] ; [28 27],[265.62206573 105.37793427] ; [39.37793427 15.62206573],1
n6,1,0.000584,11.826649,[308  68] ; [34 21],[298.35730858  77.64269142] ; [43.64269142 11.35730858],1
a5,1,0.000791,11.261837,[264 113] ; [26 29],[253.0787037 123.9212963] ; [36.9212963 18.0787037],1
s6,1,0.001737,9.808051,[245 129] ; [24 31],[234.51282051 139.48717949] ; [34.48717949 20.51282051],0
a7,1,0.002173,9.397426,[272 104] ; [28 26],[262.3255814 113.6744186] ; [37.6744186 16.3255814],0
u1,1,0.002921,8.856386,[ 76 301] ; [ 2 53],[ 68.06944444 308.93055556] ; [ 9.93055556 45.06944444],0
s2,1,0.003272,8.648992,[194 178] ; [17 38],[183.82201405 188.17798595] ; [27.17798595 27.82201405],0
b1,1,0.004431,8.098064,[137 240] ; [31 24],[146.61111111 230.38888889] ; [21.38888889 33.61111111],0
a2,1,0.004863,7.929746,[100 277] ; [ 5 50],[ 91.63194444 285.36805556] ; [13.36805556 41.63194444],0
p9,1,0.005695,7.64442,[295  77] ; [33 20],[287.09647059  84.90352941] ; [40.90352941 12.09647059],0
a6,1,0.007242,7.21193,[266 110] ; [29 26],[257.3549884 118.6450116] ; [37.6450116 17.3549884],0
s8,1,0.007937,7.047608,[152 224] ; [12 43],[143.07192575 232.92807425] ; [20.92807425 34.07192575],0
p4,1,0.009387,6.747725,[172 203] ; [15 40],[163.08139535 211.91860465] ; [23.91860465 31.08139535],0
n4,1,0.014098,6.025871,[272 103] ; [31 24],[264.24418605 110.75581395] ; [38.75581395 16.24418605],0
p3,1,0.021171,5.31268,[139 238] ; [11 42],[131.51162791 245.48837209] ; [18.48837209 34.51162791],0
u3,1,0.027325,4.870167,[72 37] ; [ 8 12],[67.59689922 41.40310078] ; [12.40310078  7.59689922],0
s7,1,0.038223,4.295093,[162 200] ; [15 36],[155.14285714 206.85714286] ; [21.85714286 29.14285714],0
s3,1,0.045914,3.984729,[209 163] ; [23 32],[202.11709602 169.88290398] ; [29.88290398 25.11709602],0
p7,1,0.047228,3.937253,[162 207] ; [16 38],[155.27659574 213.72340426] ; [22.72340426 31.27659574],0
a8,1,0.060634,3.519945,[ 43 299] ; [ 2 51],[ 38.96202532 303.03797468] ; [ 6.03797468 46.96202532],0
