Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,9e-06,19.643369,[20 55] ; [35 18],[32.2265625 42.7734375] ; [22.7734375 30.2265625],1
p9,1,0.000427,12.408088,[60 15] ; [25 25],[51. 24.] ; [34. 16.],1
p2,1,0.000666,11.583195,[60 14] ; [28 25],[51.27559055 22.72440945] ; [36.72440945 16.27559055],1
r3,1,0.001047,10.741909,[69  6] ; [37 16],[62.109375 12.890625] ; [43.890625  9.109375],0
p10,1,0.002273,9.314489,[54 20] ; [24 28],[45.80952381 28.19047619] ; [32.19047619 19.80952381],0
p8,1,0.005781,7.617471,[37 38] ; [13 39],[29.52755906 45.47244094] ; [20.47244094 31.52755906],0
s1,1,0.014371,5.991981,[ 1 74] ; [ 6 47],[ 4.1015625 70.8984375] ; [ 2.8984375 50.1015625],0
r4,1,0.022528,5.204534,[58 17] ; [31 22],[52.1484375 22.8515625] ; [36.8515625 16.1484375],0
n6,1,0.023188,5.154348,[53 22] ; [27 26],[46.875 28.125] ; [33.125 19.875],0
a8,1,0.108947,2.569435,[ 6 63] ; [ 1 52],[ 3.95901639 65.04098361] ; [ 3.04098361 49.95901639],0
s8,1,0.148443,2.088176,[23 52] ; [10 42],[19.48818898 55.51181102] ; [13.51181102 38.48818898],0
p7,1,0.150595,2.06621,[39 30] ; [23 30],[35.06557377 33.93442623] ; [26.93442623 26.06557377],0
n5,1,0.203557,1.616669,[29 45] ; [15 38],[25.63779528 48.36220472] ; [18.36220472 34.63779528],0
a2,1,0.213761,1.54577,[ 4 71] ; [ 6 47],[ 5.859375 69.140625] ; [ 4.140625 48.859375],0
b5,1,0.224654,1.474395,[43 32] ; [36 17],[46.2890625 28.7109375] ; [32.7109375 20.2890625],0
r2,1,0.230605,1.437127,[63 12] ; [40 13],[60.3515625 14.6484375] ; [42.6484375 10.3515625],0
s6,1,0.253271,1.30517,[38 37] ; [21 31],[34.84251969 40.15748031] ; [24.15748031 27.84251969],0
s7,1,0.256307,1.288595,[22 51] ; [10 38],[19.30578512 53.69421488] ; [12.69421488 35.30578512],0
a6,1,0.282011,1.157373,[44 31] ; [26 27],[41.015625 33.984375] ; [28.984375 24.015625],0
a3,1,0.313034,1.01783,[35 40] ; [29 23],[37.79527559 37.20472441] ; [26.20472441 25.79527559],0
a7,1,0.323366,0.975283,[44 31] ; [35 17],[46.65354331 28.34645669] ; [32.34645669 19.65354331],0
s4,1,0.337926,0.918285,[17 58] ; [16 37],[19.3359375 55.6640625] ; [13.6640625 39.3359375],0
a5,1,0.347566,0.882324,[36 39] ; [21 32],[33.3984375 41.6015625] ; [23.6015625 29.3984375],0
u2,1,0.349156,0.876522,[24 16] ; [11 12],[22.22222222 17.77777778] ; [12.77777778 10.22222222],0
n2,1,0.38646,0.750052,[18  7] ; [17 11],[16.50943396  8.49056604] ; [18.49056604  9.50943396],0
p3,1,0.40225,0.70159,[25 50] ; [14 39],[22.8515625 52.1484375] ; [16.1484375 36.8515625],0
a4,1,0.43489,0.609728,[18 57] ; [16 37],[19.921875 55.078125] ; [14.078125 38.921875],0
p6,1,0.440299,0.595503,[18 55] ; [10 43],[16.22222222 56.77777778] ; [11.77777778 41.22222222],0
v4,1,0.442593,0.58955,[65  9] ; [44  9],[63.51181102 10.48818898] ; [45.48818898  7.51181102],0
