Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,6.8e-05,15.867331,[15 14] ; [83 13],[22.736  6.264] ; [75.264 20.736],1
d4,1,0.000155,14.307776,[16 13] ; [83 12],[23.15322581  5.84677419] ; [75.84677419 19.15322581],1
d5,1,0.000311,13.003948,[16 13] ; [82 13],[22.91935484  6.08064516] ; [75.08064516 19.91935484],1
p3,1,0.000612,11.738588,[10 19] ; [67 29],[17.864 11.136] ; [59.136 36.864],1
d1,1,0.002826,8.916859,[ 9 20] ; [60 36],[16.008 12.992] ; [52.992 43.008],0
b2,1,0.003281,8.644096,[ 4 15] ; [43 30],[9.70652174 9.29347826] ; [37.29347826 35.70652174],0
b3,1,0.003281,8.644096,[ 4 15] ; [43 30],[9.70652174 9.29347826] ; [37.29347826 35.70652174],0
p11,1,0.006445,7.421364,[19 10] ; [84 12],[23.896  5.104] ; [79.104 16.896],0
d2,1,0.010467,6.553654,[10 19] ; [59 37],[16.008 12.992] ; [52.992 43.008],0
v3,1,0.021112,5.317521,[ 9 19] ; [53 40],[14.34710744 13.65289256] ; [47.65289256 45.34710744],0
a4,1,0.02625,4.939504,[ 8 21] ; [49 47],[13.224 15.776] ; [43.776 52.224],0
a6,1,0.049993,3.841707,[ 6 23] ; [39 57],[10.44 18.56] ; [34.56 61.44],0
p9,1,0.089328,2.886441,[22  6] ; [86  9],[24.58536585  3.41463415] ; [83.41463415 11.58536585],0
s5,1,0.093721,2.809274,[ 8 19] ; [44 48],[11.79831933 15.20168067] ; [40.20168067 51.79831933],0
n3,1,0.097254,2.75,[4 5] ; [18  6],[6. 3.] ; [16.  8.],0
n6,1,0.211828,1.558888,[23  6] ; [84 11],[25.02419355  3.97580645] ; [81.97580645 13.02419355],0
n5,1,0.237417,1.395864,[22  7] ; [81 14],[24.08870968  4.91129032] ; [78.91129032 16.08870968],0
n2,1,0.248397,1.332296,[5 4] ; [19  6],[6.35294118 2.64705882] ; [17.64705882  7.35294118],0
s4,1,0.254867,1.296425,[ 8 21] ; [17 78],[ 5.84677419 23.15322581] ; [19.15322581 75.84677419],0
n4,1,0.280928,1.162593,[23  6] ; [83 12],[24.79032258  4.20967742] ; [81.20967742 13.79032258],0
p4,1,0.281421,1.160214,[21  8] ; [59 37],[18.56 10.44] ; [61.44 34.56],0
b5,1,0.290314,1.118164,[15 14] ; [39 57],[12.528 16.472] ; [41.472 54.528],0
p6,1,0.29882,1.079451,[11 18] ; [46 48],[13.43902439 15.56097561] ; [43.56097561 50.43902439],0
v2,1,0.314418,1.012027,[12 15] ; [51 41],[14.29411765 12.70588235] ; [48.70588235 43.29411765],0
u2,1,0.344503,0.893601,[10  4] ; [7 6],[8.81481481 5.18518519] ; [8.18518519 4.81481481],0
r3,1,0.363714,0.825027,[27  2] ; [93  3],[27.84  1.16] ; [92.16  3.84],0
r1,1,0.37138,0.799043,[21  8] ; [77 19],[22.736  6.264] ; [75.264 20.736],0
p1,1,0.391738,0.733541,[ 4 25] ; [ 8 87],[ 2.80645161 26.19354839] ; [ 9.19354839 85.80645161],0
d3,1,0.392214,0.732067,[15 14] ; [41 55],[12.992 16.008] ; [43.008 52.992],0
b1,1,0.395997,0.720448,[18 11] ; [51 45],[16.008 12.992] ; [52.992 43.008],0
b4,1,0.415457,0.66313,[12 17] ; [48 48],[13.92 15.08] ; [46.08 49.92],0
r2,1,0.432184,0.616947,[25  3] ; [89  6],[25.95121951  2.04878049] ; [88.04878049  6.95121951],0
s2,1,0.444158,0.585518,[20  9] ; [73 23],[21.576  7.424] ; [71.424 24.576],0
u1,1,0.458644,0.549202,[ 1 28] ; [ 7 89],[ 1.856 27.144] ; [ 6.144 89.856],0
p2,1,0.46139,0.54252,[21  8] ; [75 20],[22.4516129  6.5483871] ; [73.5483871 21.4516129],0
s3,1,0.48932,0.478022,[23  6] ; [70 26],[21.576  7.424] ; [71.424 24.576],0
p12,1,0.489974,0.476584,[ 4 24] ; [ 9 84],[ 3.00826446 24.99173554] ; [ 9.99173554 83.00826446],0
s1,1,0.546723,0.36322,[ 2 27] ; [ 4 92],[ 1.392 27.608] ; [ 4.608 91.392],0
u3,1,0.581206,0.304289,[9 5] ; [7 6],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
p10,1,0.582978,0.301445,[23  5] ; [82 13],[23.90243902  4.09756098] ; [81.09756098 13.90243902],0
a8,1,0.618122,0.248516,[ 3 24] ; [14 80],[ 3.79338843 23.20661157] ; [13.20661157 80.79338843],0
s7,1,0.639856,0.21893,[20  6] ; [77 18],[20.84297521  5.15702479] ; [76.15702479 18.84297521],0
v1,1,0.668774,0.183039,[17 12] ; [58 34],[17.97520661 11.02479339] ; [57.02479339 34.97520661],0
p8,1,0.701842,0.146563,[18 11] ; [54 39],[17.1147541 11.8852459] ; [54.8852459 38.1147541],0
n1,1,0.71615,0.132212,[5 4] ; [15  9],[5.45454545 3.54545455] ; [14.54545455  9.45454545],0
v4,1,0.722465,0.126143,[27  1] ; [91  5],[26.64516129  1.35483871] ; [91.35483871  4.64516129],0
r4,1,0.734556,0.11497,[25  4] ; [85 11],[25.52  3.48] ; [84.48 11.52],0
p7,1,0.737518,0.112321,[21  8] ; [65 29],[20.27642276  8.72357724] ; [65.72357724 28.27642276],0
s6,1,0.830439,0.045855,[24  4] ; [79 15],[23.63934426  4.36065574] ; [79.36065574 14.63934426],0
p5,1,0.935402,0.006569,[ 4 24] ; [13 82],[ 3.8699187 24.1300813] ; [13.1300813 81.8699187],0
