Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,32.785714,[58 42] ; [10 60],[40. 60.] ; [28. 42.],1
r1,1,7.9e-05,15.571281,[87 15] ; [41 29],[75.90697674 26.09302326] ; [52.09302326 17.90697674],1
p11,1,8.6e-05,15.427144,[93  9] ; [48 23],[83.13294798 18.86705202] ; [57.86705202 13.13294798],1
v1,1,0.000136,14.560659,[64 36] ; [24 46],[51.76470588 48.23529412] ; [36.23529412 33.76470588],1
v4,1,0.000219,13.657962,[101   1] ; [60 11],[94.92485549  7.07514451] ; [66.07514451  4.92485549],1
n4,1,0.002472,9.161059,[83 19] ; [43 28],[74.28901734 27.71098266] ; [51.71098266 19.28901734],0
b5,1,0.002752,8.965072,[50 52] ; [51 20],[59.54913295 42.45086705] ; [41.45086705 29.54913295],0
p10,1,0.002993,8.811894,[83 18] ; [44 27],[74.5755814 26.4244186] ; [52.4244186 18.5755814],0
r4,1,0.003049,8.777745,[94  8] ; [54 17],[87.26011561 14.73988439] ; [60.73988439 10.26011561],0
a5,1,0.008087,7.014014,[77 25] ; [40 31],[68.98265896 33.01734104] ; [48.01734104 22.98265896],0
a3,1,0.011456,6.393206,[79 23] ; [41 28],[71.57894737 30.42105263] ; [48.42105263 20.57894737],0
s8,1,0.013093,6.156439,[31 71] ; [10 61],[24.1734104 77.8265896] ; [16.8265896 54.1734104],0
r3,1,0.018017,5.594466,[97  5] ; [60 11],[92.56647399  9.43352601] ; [64.43352601  6.56647399],0
p3,1,0.024628,5.049844,[63 38] ; [32 39],[55.78488372 45.21511628] ; [39.21511628 31.78488372],0
s5,1,0.043379,4.080559,[20 82] ; [ 6 65],[15.32947977 86.67052023] ; [10.67052023 60.32947977],0
d4,1,0.051305,3.798297,[81 21] ; [47 24],[75.46820809 26.53179191] ; [52.53179191 18.46820809],0
a4,1,0.052784,3.750737,[45 57] ; [21 50],[38.9132948 63.0867052] ; [27.0867052 43.9132948],0
p2,1,0.061555,3.494979,[91 10] ; [56 14],[86.8245614 14.1754386] ; [60.1754386  9.8245614],0
