Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,114.598766,[173  73] ; [ 22 127],[121.44303797 124.55696203] ; [73.55696203 75.44303797],1
d4,1,0.0,106.894226,[244   2] ; [90 59],[208.01012658  37.98987342] ; [125.98987342  23.01012658],1
d3,1,0.0,95.640213,[216  31] ; [61 88],[172.77525253  74.22474747] ; [104.22474747  44.77525253],1
d5,1,0.0,84.856616,[238   8] ; [91 58],[204.89620253  41.10379747] ; [124.10379747  24.89620253],1
a5,1,0.0,37.07922,[219  29] ; [93 56],[194.90176322  53.09823678] ; [117.09823678  31.90176322],1
a4,1,0.0,29.449,[143 104] ; [ 44 104],[116.93417722 130.06582278] ; [70.06582278 77.93417722],1
u1,1,0.0,26.025489,[ 69 179] ; [ 10 139],[ 49.35012594 198.64987406] ; [ 29.64987406 119.35012594],1
a2,1,0.0,25.689536,[ 83 165] ; [ 16 133],[ 61.84382872 186.15617128] ; [ 37.15617128 111.84382872],1
p4,1,7e-06,20.296693,[187  58] ; [80 67],[166.875  78.125] ; [100.125  46.875],1
a7,1,0.000682,11.538029,[192  56] ; [91 57],[177.23232323  70.76767677] ; [105.76767677  42.23232323],1
n5,1,0.000984,10.856771,[217  30] ; [111  37],[205.10379747  41.89620253] ; [122.89620253  25.10379747],1
v3,1,0.001889,9.654591,[136  99] ; [62 87],[121.171875 113.828125] ; [76.828125 72.171875],0
s5,1,0.00471,7.987703,[106 137] ; [ 41 100],[ 93.0234375 149.9765625] ; [53.9765625 87.0234375],0
a3,1,0.005172,7.818409,[201  46] ; [103  46],[189.61616162  57.38383838] ; [114.38383838  34.61616162],0
s2,1,0.007601,7.125133,[144 101] ; [65 80],[131.29487179 113.70512821] ; [77.70512821 67.29487179],0
p8,1,0.008397,6.946729,[162  80] ; [77 67],[149.83937824  92.16062176] ; [89.16062176 54.83937824],0
v2,1,0.012324,6.263663,[179  61] ; [90 54],[168.125  71.875] ; [100.875  43.125],0
p10,1,0.01256,6.229984,[226  19] ; [122  23],[218.61538462  26.38461538] ; [129.38461538  15.61538462],0
p9,1,0.012801,6.196382,[231  14] ; [128  19],[224.375  20.625] ; [134.625  12.375],0
p7,1,0.013091,6.156748,[181  58] ; [92 52],[170.35770235  68.64229765] ; [102.64229765  41.35770235],0
r4,1,0.014845,5.934773,[236  12] ; [132  17],[229.88413098  18.11586902] ; [138.11586902  10.88413098],0
a6,1,0.015464,5.86278,[179  67] ; [91 58],[168.15189873  77.84810127] ; [101.84810127  47.15189873],0
n6,1,0.018403,5.557368,[224  22] ; [123  25],[216.65482234  29.34517766] ; [130.34517766  17.65482234],0
p3,1,0.023131,5.158604,[151  95] ; [73 74],[140.21374046 105.78625954] ; [83.78625954 63.21374046],0
