Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.834078,[ 2 14] ; [69 27],[10.14285714  5.85714286] ; [60.85714286 35.14285714],1
v4,1,0.00119,10.50568,[10  6] ; [87  8],[13.98198198  2.01801802] ; [83.01801802 11.98198198],0
n2,1,0.005023,7.871,[2 5] ; [26  6],[5.02564103 1.97435897] ; [22.97435897  9.02564103],0
s8,1,0.006476,7.412802,[ 1 15] ; [40 56],[ 5.85714286 10.14285714] ; [35.14285714 60.85714286],0
r2,1,0.007778,7.083958,[9 7] ; [78 14],[12.88888889  3.11111111] ; [74.11111111 17.88888889],0
s7,1,0.016837,5.713272,[ 2 13] ; [42 49],[6.22641509 8.77358491] ; [37.77358491 53.22641509],0
p10,1,0.027234,4.875887,[8 8] ; [72 22],[11.63636364  4.36363636] ; [68.36363636 25.63636364],0
p9,1,0.035599,4.416219,[9 7] ; [77 19],[12.28571429  3.71428571] ; [73.71428571 22.28571429],0
s6,1,0.054954,3.683486,[ 6 10] ; [58 34],[9.48148148 6.51851852] ; [54.51851852 37.48148148],0
v2,1,0.058362,3.583336,[ 4 12] ; [48 47],[7.4954955 8.5045045] ; [44.5045045 50.4954955],0
v3,1,0.076563,3.136398,[ 2 14] ; [33 62],[ 5.04504505 10.95495495] ; [29.95495495 65.04504505],0
a7,1,0.092833,2.824554,[ 6 10] ; [57 38],[9.08108108 6.91891892] ; [53.91891892 41.08108108],0
d1,1,0.094264,2.8,[ 3 13] ; [39 57],[ 6. 10.] ; [36. 60.],0
d3,1,0.099792,2.70887,[ 6 10] ; [56 38],[9.01818182 6.98181818] ; [52.98181818 41.01818182],0
n6,1,0.103097,2.656968,[9 6] ; [76 20],[11.48648649  3.51351351] ; [73.51351351 22.48648649],0
d4,1,0.119158,2.428348,[8 8] ; [67 29],[10.71428571  5.28571429] ; [64.28571429 31.71428571],0
s3,1,0.142867,2.146802,[ 5 10] ; [51 44],[7.63636364 7.36363636] ; [48.36363636 46.63636364],0
s1,1,0.170515,1.878407,[ 2 14] ; [ 4 92],[ 0.85714286 15.14285714] ; [ 5.14285714 90.85714286],0
p2,1,0.18067,1.792104,[11  5] ; [78 16],[12.94545455  3.05454545] ; [76.05454545 17.94545455],0
n3,1,0.249479,1.326216,[4 3] ; [25  7],[5.20512821 1.79487179] ; [23.79487179  8.20512821],0
d5,1,0.25554,1.292758,[9 7] ; [67 28],[10.95495495  5.04504505] ; [65.04504505 29.95495495],0
p6,1,0.303649,1.0581,[ 5 11] ; [41 50],[6.87850467 9.12149533] ; [39.12149533 51.87850467],0
u2,1,0.324463,0.97087,[5 2] ; [20 19],[3.80434783 3.19565217] ; [21.19565217 17.80434783],0
p11,1,0.342913,0.899509,[10  6] ; [71 25],[11.57142857  4.42857143] ; [69.42857143 26.57142857],0
b1,1,0.352613,0.864031,[9 7] ; [42 54],[7.28571429 8.71428571] ; [43.71428571 52.28571429],0
a6,1,0.43297,0.614844,[8 8] ; [58 38],[9.42857143 6.57142857] ; [56.57142857 39.42857143],0
s5,1,0.51734,0.419194,[ 3 13] ; [24 67],[ 4.03738318 11.96261682] ; [22.96261682 68.03738318],0
s2,1,0.53474,0.385376,[ 6 10] ; [44 52],[7.14285714 8.85714286] ; [42.85714286 53.14285714],0
p3,1,0.555393,0.347744,[8 8] ; [55 40],[9.08108108 6.91891892] ; [53.91891892 41.08108108],0
u3,1,0.566082,0.329283,[2 5] ; [16 24],[2.68085106 4.31914894] ; [15.31914894 24.68085106],0
p4,1,0.58991,0.290485,[11  5] ; [58 36],[10.03636364  5.96363636] ; [58.96363636 35.03636364],0
p8,1,0.648446,0.207864,[8 7] ; [56 38],[8.80733945 6.19266055] ; [55.19266055 38.80733945],0
a8,1,0.74391,0.106719,[ 1 15] ; [ 8 84],[ 1.33333333 14.66666667] ; [ 7.66666667 84.33333333],0
p1,1,0.776558,0.080547,[ 1 15] ; [ 8 88],[ 1.28571429 14.71428571] ; [ 7.71428571 88.28571429],0
a1,1,0.776558,0.080547,[ 1 15] ; [ 8 88],[ 1.28571429 14.71428571] ; [ 7.71428571 88.28571429],0
s4,1,0.777914,0.079545,[ 3 13] ; [21 75],[ 3.42857143 12.57142857] ; [20.57142857 75.42857143],0
n5,1,0.806901,0.059744,[11  5] ; [63 33],[10.57142857  5.42857143] ; [63.42857143 32.57142857],0
n4,1,0.808068,0.059009,[10  6] ; [63 33],[10.42857143  5.57142857] ; [62.57142857 33.42857143],0
a5,1,0.816501,0.053846,[9 7] ; [51 45],[8.57142857 7.42857143] ; [51.42857143 44.57142857],0
n1,1,0.839318,0.041114,[3 4] ; [12 19],[2.76315789 4.23684211] ; [12.23684211 18.76315789],0
a3,1,0.83943,0.041056,[9 7] ; [56 39],[9.36936937 6.63063063] ; [55.63063063 39.36936937],0
b5,1,0.874478,0.024955,[10  6] ; [58 38],[9.71428571 6.28571429] ; [58.28571429 37.71428571],0
b4,1,0.876883,0.024001,[9 7] ; [52 44],[8.71428571 7.28571429] ; [52.28571429 43.71428571],0
a4,1,0.929826,0.007755,[ 4 12] ; [25 71],[ 4.14285714 11.85714286] ; [24.85714286 71.14285714],0
d2,1,0.93417,0.006823,[ 5 11] ; [31 65],[ 5.14285714 10.85714286] ; [30.85714286 65.14285714],0
p5,1,0.982488,0.000482,[ 2 13] ; [13 83],[ 2.02702703 12.97297297] ; [12.97297297 83.02702703],0
b3,1,0.984134,0.000395,[3 8] ; [17 46],[2.97297297 8.02702703] ; [17.02702703 45.97297297],0
b2,1,0.984134,0.000395,[3 8] ; [17 46],[2.97297297 8.02702703] ; [17.02702703 45.97297297],0
v1,1,0.992089,9.8e-05,[7 9] ; [41 53],[6.98181818 9.01818182] ; [41.01818182 52.98181818],0
