Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,54.937455,[321   9] ; [5 5],[316.41176471  13.58823529] ; [9.58823529 0.41176471],1
r4,1,1.8e-05,18.390192,[316  19] ; [6 4],[312.66666667  22.33333333] ; [9.33333333 0.66666667],1
d3,1,0.004123,8.229015,[263  72] ; [4 6],[259.26086957  75.73913043] ; [7.73913043 2.26086957],0
d1,1,0.005124,7.835124,[261  74] ; [4 6],[257.31884058  77.68115942] ; [7.68115942 2.31884058],0
s2,1,0.006994,7.274608,[246  87] ; [3 6],[242.44736842  90.55263158] ; [6.55263158 2.44736842],0
p4,1,0.009591,6.709381,[230 104] ; [3 7],[226.22674419 107.77325581] ; [6.77325581 3.22674419],0
v1,1,0.028914,4.772711,[207 117] ; [3 7],[203.71257485 120.28742515] ; [6.28742515 3.71257485],0
p3,1,0.057218,3.616239,[201 134] ; [3 7],[198.08695652 136.91304348] ; [5.91304348 4.08695652],0
a5,1,0.07659,3.135822,[275  60] ; [6 4],[272.85507246  62.14492754] ; [8.14492754 1.85507246],0
p9,1,0.134868,2.235555,[305  27] ; [7 2],[303.76539589  28.23460411] ; [8.23460411 0.76539589],0
r1,1,0.157462,1.998434,[288  47] ; [7 3],[286.44927536  48.55072464] ; [8.55072464 1.44927536],0
p2,1,0.170552,1.878085,[286  48] ; [7 3],[284.48255814  49.51744186] ; [8.51744186 1.48255814],0
b4,1,0.173081,1.856051,[196 139] ; [8 2],[198.08695652 136.91304348] ; [5.91304348 4.08695652],0
p7,1,0.177275,1.820325,[226  97] ; [5 5],[224.06306306  98.93693694] ; [6.93693694 3.06306306],0
a8,1,0.181165,1.788038,[ 50 255] ; [3 6],[ 51.48089172 253.51910828] ; [1.51910828 7.48089172],0
v3,1,0.192147,1.701076,[156 162] ; [7 3],[158.0304878 159.9695122] ; [4.9695122 5.0304878],0
a4,1,0.196025,1.671742,[170 165] ; [3 7],[167.98550725 167.01449275] ; [5.01449275 4.98550725],0
s7,1,0.293989,1.101262,[250  70] ; [5 3],[248.7804878  71.2195122] ; [6.2195122 1.7804878],0
s5,1,0.307011,1.04349,[146 169] ; [3 7],[144.41538462 170.58461538] ; [4.58461538 5.41538462],0
p12,1,0.340384,0.908986,[ 39 293] ; [2 7],[ 39.91788856 292.08211144] ; [1.08211144 7.91788856],0
p10,1,0.361787,0.831681,[291  40] ; [7 2],[290.11176471  40.88823529] ; [7.88823529 1.11176471],0
v2,1,0.393532,0.728002,[203 118] ; [5 5],[201.71601208 119.28398792] ; [6.28398792 3.71601208],0
a7,1,0.426373,0.632682,[239  95] ; [6 4],[237.87790698  96.12209302] ; [7.12209302 2.87790698],0
b5,1,0.474776,0.510839,[205 130] ; [5 5],[203.91304348 131.08695652] ; [6.08695652 3.91304348],0
p11,1,0.4926,0.470841,[273  62] ; [9 1],[273.82608696  61.17391304] ; [8.17391304 1.82608696],0
u2,1,0.49541,0.464754,[44 17] ; [1 1],[43.57142857 17.42857143] ; [1.42857143 0.57142857],0
b3,1,0.510659,0.432717,[103 128] ; [4 3],[103.85294118 127.14705882] ; [3.14705882 3.85294118],0
b2,1,0.510659,0.432717,[103 128] ; [4 3],[103.85294118 127.14705882] ; [3.14705882 3.85294118],0
a2,1,0.513011,0.42792,[ 99 236] ; [2 8],[ 98.07246377 236.92753623] ; [2.92753623 7.07246377],0
n4,1,0.570667,0.321567,[278  56] ; [9 1],[278.65697674  55.34302326] ; [8.34302326 1.65697674],0
s6,1,0.575111,0.314205,[281  51] ; [7 2],[280.39882698  51.60117302] ; [7.60117302 1.39882698],0
s3,1,0.585473,0.29747,[248  84] ; [6 3],[247.29618768  84.70381232] ; [6.70381232 2.29618768],0
p6,1,0.5968,0.279849,[160 170] ; [4 6],[159.17647059 170.82352941] ; [4.82352941 5.17647059],0
a6,1,0.639973,0.218778,[224 110] ; [6 4],[223.31395349 110.68604651] ; [6.68604651 3.31395349],0
n1,1,0.723555,0.125112,[31 40] ; [1 2],[30.7027027 40.2972973] ; [1.2972973 1.7027027],0
p5,1,0.738916,0.111082,[ 53 277] ; [2 8],[ 53.38235294 276.61764706] ; [1.61764706 8.38235294],0
n2,1,0.876578,0.024121,[51 21] ; [2 1],[50.88 21.12] ; [2.12 0.88],0
a3,1,0.888741,0.019571,[273  61] ; [8 2],[272.83139535  61.16860465] ; [8.16860465 1.83139535],0
p1,1,0.914241,0.011597,[ 30 303] ; [1 9],[ 30.09620991 302.90379009] ; [0.90379009 9.09620991],0
d5,1,0.936107,0.006426,[304  31] ; [9 1],[303.92753623  31.07246377] ; [9.07246377 0.92753623],0
d2,1,0.969632,0.001449,[203 132] ; [6 4],[202.94202899 132.05797101] ; [6.05797101 3.94202899],0
b1,1,0.969779,0.001435,[136 199] ; [4 6],[135.94202899 199.05797101] ; [4.05797101 5.94202899],0
p8,1,0.978448,0.00073,[196 133] ; [6 4],[196.04129794 132.95870206] ; [5.95870206 4.04129794],0
n5,1,0.988765,0.000198,[267  66] ; [8 2],[266.98250729  66.01749271] ; [8.01749271 1.98250729],0
